"Rank","Country and (Argentine provinces)","Intl. $ , URL: /wiki/International_dollar
"
"1","Qatar , URL: /wiki/Qatar
","86,008"
"2","Luxembourg , URL: /wiki/Luxembourg
","82,441"
"3","Norway , URL: /wiki/Norway
","53,738"
"4","Singapore , URL: /wiki/Singapore
","51,226"
"5","Brunei , URL: /wiki/Brunei
","50,199"
"6","United States , URL: /wiki/United_States
","47,440"
"—","Hong Kong","43,847"
"7","Switzerland , URL: /wiki/Switzerland
","43,196"
"8","Ireland , URL: /wiki/Republic_of_Ireland
","42,110"
"9","Netherlands , URL: /wiki/Netherlands
","40,558"
"10","Iceland , URL: /wiki/Iceland
","40,471"
"11","Kuwait , URL: /wiki/Kuwait
","39,915"
"12","Austria , URL: /wiki/Austria
","39,887"
"13","Canada , URL: /wiki/Canada
","39,098"
"14","United Arab Emirates , URL: /wiki/United_Arab_Emirates
","38,894"
"15","Sweden , URL: /wiki/Sweden
","37,334"
"16","Denmark , URL: /wiki/Denmark
","37,304"
"17","Australia , URL: /wiki/Australia
","36,918"
"18","Belgium , URL: /wiki/Belgium
","36,416"
"19","United Kingdom , URL: /wiki/United_Kingdom
","36,358"
"20","Finland , URL: /wiki/Finland
","36,320"
"21","Germany , URL: /wiki/Germany
","35,539"
"22","Bahrain , URL: /wiki/Bahrain
","34,662"
"23","France , URL: /wiki/France
","34,205"
"24","Japan , URL: /wiki/Japan
","34,116"
"25","China, Republic of , URL: /wiki/Taiwan
Taiwan , URL: /wiki/Taiwan
","30,912"
"26","Greece , URL: /wiki/Greece
","30,681"
"27","Italy , URL: /wiki/Italy
","30,631"
"28","Spain , URL: /wiki/Spain
","30,589"
"29","Cyprus , URL: /wiki/Cyprus
","29,853"
"30","Slovenia , URL: /wiki/Slovenia
","29,521"
"31","Israel , URL: /wiki/Israel
","28,474"
"32","The Bahamas , URL: /wiki/The_Bahamas
","27,735"
"33","South Korea , URL: /wiki/South_Korea
","27,692"
"34","New Zealand , URL: /wiki/New_Zealand
","27,083"
"-","Santa Cruz , URL: /wiki/Santa_Cruz_Province_(Argentina)
","26,438"
"-","Tierra del Fuego , URL: /wiki/Tierra_del_Fuego_Province,_Argentina
","25,993"
"35","Czech Republic , URL: /wiki/Czech_Republic
","25,118"
"36","Oman , URL: /wiki/Oman
","24,674"
"37","Malta , URL: /wiki/Malta
","23,971"
"38","Saudi Arabia , URL: /wiki/Saudi_Arabia
","23,814"
"—","Neuquén , URL: /wiki/Neuqu%C3%A9n_Province
","23,380"
"—","Chubut , URL: /wiki/Chubut_Province
","22,983"
"39","Portugal , URL: /wiki/Portugal
","22,232"
"40","Slovakia , URL: /wiki/Slovakia
","22,097"
"41","Seychelles , URL: /wiki/Seychelles
","20,829"
"42","Estonia , URL: /wiki/Estonia
","20,561"
"43","Trinidad and Tobago , URL: /wiki/Trinidad_and_Tobago
","20,338"
"—","Buenos Aires City , URL: /wiki/Buenos_Aires_City
","20,036"
"44","Hungary , URL: /wiki/Hungary
","19,553"
"45","Antigua and Barbuda , URL: /wiki/Antigua_and_Barbuda
","19,340"
"46","Barbados , URL: /wiki/Barbados
","18,977"
"47","Lithuania , URL: /wiki/Lithuania
","18,977"
"48","Croatia , URL: /wiki/Croatia
","18,575"
"49","Equatorial Guinea , URL: /wiki/Equatorial_Guinea
","18,058"
"50","Poland , URL: /wiki/Poland
","17,537"
"51","Latvia , URL: /wiki/Latvia
","17,106"
"52","Russia , URL: /wiki/Russia
","15,948"
"—","Río Negro , URL: /wiki/R%C3%ADo_Negro_Province
","15,046"
"53","Botswana , URL: /wiki/Botswana
","14,907"
"—","Buenos Aires , URL: /wiki/Buenos_Aires_Province
","14,773"
"—","San Luis , URL: /wiki/San_Luis_Province
","14,649"
"54","Gabon , URL: /wiki/Gabon
","14,545"
"55","Mexico , URL: /wiki/Mexico
","14,534"
"56","Chile , URL: /wiki/Chile
","14,529"
"-","Argentina , URL: /wiki/Argentina
","14,408"
"57","Santa Fe , URL: /wiki/Santa_Fe_Province
","14,216"
"58","Libya , URL: /wiki/Libya
","14,192"
"—","San Juan , URL: /wiki/San_Juan_Province_(Argentina)
","14,154"
"59","Malaysia , URL: /wiki/Malaysia
","14,081"
"—","Catamarca , URL: /wiki/Catamarca_Province
","14,105"
"60","Saint Kitts and Nevis , URL: /wiki/Saint_Kitts_and_Nevis
","13,826"
"—","Mendoza , URL: /wiki/Mendoza_Province
","13,795"
"—","Córdoba , URL: /wiki/C%C3%B3rdoba_Province_(Argentina)
","13,708"
"—","La Pampa , URL: /wiki/La_Pampa_Province
","13,658"
"61","Turkey , URL: /wiki/Turkey
","13,139"
"—","Jujuy , URL: /wiki/Jujuy_Province
","13,089"
"62","Lebanon , URL: /wiki/Lebanon
","13,006"
"63","Venezuela , URL: /wiki/Venezuela
","12,806"
"64","Uruguay , URL: /wiki/Uruguay
","12,785"
"65","Romania , URL: /wiki/Romania
","12,600"
"—","Salta , URL: /wiki/Salta_Province
","12,594"
"—","Santiago del Estero , URL: /wiki/Santiago_del_Estero_Province
","12,532"
"—","Entre Ríos , URL: /wiki/Entre_R%C3%ADos_Province
","12,420"
"66","Bulgaria , URL: /wiki/Bulgaria
","12,322"
"67","Belarus , URL: /wiki/Belarus
","12,313"
"—","Corrientes , URL: /wiki/Corrientes_Province
","12,148"
"—","Misiones , URL: /wiki/Misiones
","12,099"
"68","Mauritius , URL: /wiki/Mauritius
","12,011"
"—","Formosa , URL: /wiki/Formosa_Province
","11,616"
"—","Chaco , URL: /wiki/Chaco_Province
","11,516"
"69","Grenada , URL: /wiki/Grenada
","11,464"
"70","Kazakhstan , URL: /wiki/Kazakhstan
","11,434"
"71","Panama , URL: /wiki/Panama
","11,362"
"72","Montenegro , URL: /wiki/Montenegro
","11,111"
"73","Iran , URL: /wiki/Iran
","11,052"
"74","Serbia , URL: /wiki/Serbia
","10,810"
"75","Saint Lucia , URL: /wiki/Saint_Lucia
","10,750"
"76","Costa Rica , URL: /wiki/Costa_Rica
","10,735"
"—","Tucuman , URL: /wiki/Tucum%C3%A1n_Province
","10,811"
"77","Brazil , URL: /wiki/Brazil
","10,466"
"—","World[2]","10,433"
"—","La Rioja , URL: /wiki/La_Rioja_Province_(Argentina)
","10,414"
"78","Saint Vincent and the Grenadines , URL: /wiki/Saint_Vincent_and_the_Grenadines
","10,163"
