"Ido","IPA , URL: /wiki/International_Phonetic_Alphabet
","Interlingua"
"A, a","a , URL: /wiki/Open_front_unrounded_vowel
","A, a"
"B, b","b , URL: /wiki/Voiced_bilabial_plosive
","B, b"
"C, c","ts , URL: /wiki/Voiceless_alveolar_affricate
","C, c before e, i, or y"
"Ch, ch","tʃ , URL: /wiki/Voiceless_postalveolar_affricate
","Ch, ch"
"D, d","d , URL: /wiki/Voiced_alveolar_plosive
","D, d"
"E, e","e , URL: /wiki/Close-mid_front_unrounded_vowel
ɛ , URL: /wiki/Open-mid_front_unrounded_vowel
","E, e"
"F, f","f , URL: /wiki/Voiceless_labiodental_fricative
","F, f; Ph, ph"
"G, g","g , URL: /wiki/Voiced_velar_plosive
","G, g"
"H, h","h , URL: /wiki/Voiceless_glottal_fricative
","H, h"
"I, i","i , URL: /wiki/Close_front_unrounded_vowel
","I, i"
"J, j","ʒ , URL: /wiki/Voiced_postalveolar_fricative
","J, j"
"K, k","k , URL: /wiki/Voiceless_velar_plosive
","C,c; Ch,ch Q,q; K,k (Q,q almost always appears before U,u)"
"L, l","l , URL: /wiki/Alveolar_lateral_approximant
","L, l"
"M, m","m , URL: /wiki/Bilabial_nasal
","M, m"
"N, n","n , URL: /wiki/Alveolar_nasal
","N, n"
"O, o","o , URL: /wiki/Close-mid_back_rounded_vowel
ɒ , URL: /wiki/Open_back_rounded_vowel
","O, o"
"P, p","p , URL: /wiki/Voiceless_bilabial_plosive
","P, p"
"Qu,qu","k , URL: /wiki/Voiceless_velar_plosive
w , URL: /wiki/Labial-velar_approximant
k , URL: /wiki/Voiceless_velar_plosive
v , URL: /wiki/Voiced_labiodental_fricative
","Qu, qu"
"R, r","r , URL: /wiki/Alveolar_trill
","R, r"
"S, s","s , URL: /wiki/Voiceless_alveolar_fricative
","S, s; optionally C, c before i, e, y"
"Sh, sh","ʃ , URL: /wiki/Voiceless_postalveolar_fricative
","Ch, ch; Sh, sh (Sh, sh is rare)"
"T, t","t , URL: /wiki/Voiceless_alveolar_plosive
","T, t; Th, th"
"U, u","u , URL: /wiki/Close_back_rounded_vowel
","U, u"
"V, v","v , URL: /wiki/Voiced_labiodental_fricative
","V, v"
"W, w; U, u (before a vowel)","w , URL: /wiki/Labial-velar_approximant
","U, u; W, w (W, w is rare)"
"X,x","k , URL: /wiki/Voiceless_velar_plosive
s , URL: /wiki/Voiceless_alveolar_fricative
g , URL: /wiki/Voiced_velar_plosive
z , URL: /wiki/Voiced_alveolar_fricative
","X, x"
"Y, y; I, i (before a vowel)","j , URL: /wiki/Palatal_approximant
","I,i; Y, y"
"Z, z","z , URL: /wiki/Voiced_alveolar_fricative
","Z, z; S, s"
