"Application","Latest release date and version","Developed by","Platforms","Mainly Used For","License"
"3ds Max","2020-08-27 v 2021.2","Autodesk , URL: /wiki/Autodesk
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Animation (Video Games and Movies), FX Simulations, Lighting, Rendering","Proprietary , URL: /wiki/Proprietary_software
"
"AC3D","2020-11-01 v 8.6","Inivis , URL: /w/index.php?title=Inivis&action=edit&redlink=1
","Linux , URL: /wiki/Linux
Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling","Proprietary , URL: /wiki/Proprietary_software
"
"Alibre Design","2018-07-16 v 2018","Alibre, LLC , URL: /w/index.php?title=Alibre,_LLC&action=edit&redlink=1
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Computer Aided Design","Proprietary , URL: /wiki/Proprietary_software
"
"AutoCAD","2020-03-28 v 2021","Autodesk , URL: /wiki/Autodesk
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","2D Computer Aided Design, 3D Modeling, Basic Rendering, Rudimentary Animation (of Camera, not objects)","Proprietary , URL: /wiki/Proprietary_software
"
"Blender","2022-01-28 v 3.0.1","Blender Foundation , URL: /wiki/Blender_Foundation
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
BSD , URL: /wiki/BSD
Solaris , URL: /wiki/Solaris_(operating_system)
AmigaOS 4 , URL: /wiki/AmigaOS_4
MorphOS , URL: /wiki/MorphOS
","2D/3D toon Animation, Lighting, Modeling, Node based Material Creation / Texturing / 3D Texture Painting/ UV Mapping, Rendering (Internal, External, 3D Anaglyph and VR), 3D Rigging and Animation, Sculpting, Visual 3D Effects, Basic Post-Production Video Editing, Motion Tracking, Python Scripting, Fluid Simulation, Particles, Physics, Compositing","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
"
"Carrara","2013-08-26 8.5.1.19","Daz 3D , URL: /wiki/Daz_3D
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
","Animation, Modeling","Proprietary , URL: /wiki/Proprietary_software
"
"Cheetah 3D","2019-08-24 v 7.4","Martin Wengenmayer , URL: /w/index.php?title=Martin_Wengenmayer&action=edit&redlink=1
","Mac OS X , URL: /wiki/Mac_OS_X
","Animation, Modeling, Rendering","Proprietary , URL: /wiki/Proprietary_software
"
"Cinema 4D","2020-09-11 R23","Maxon , URL: /wiki/Maxon_Computer_GmbH
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Amiga OS , URL: /wiki/Amiga_OS
","Animation, Lighting, Modeling, Visual 3D Effects, Rendering, Simulation","Proprietary , URL: /wiki/Proprietary_software
"
"CityEngine","2018-09-18 v 2018.1","Procedural , URL: /wiki/Procedural_programming
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Procedural Modeling of 3D Cities","Proprietary , URL: /wiki/Proprietary_software
"
"Clara.io","redesigned in 2015-03-31","Exocortex","Mozilla FireFox , URL: /wiki/Mozilla_FireFox
Google Chrome , URL: /wiki/Google_Chrome
Microsoft Internet Explorer , URL: /wiki/Microsoft_Internet_Explorer
","Modeling, Animation, Rendering","Proprietary , URL: /wiki/Proprietary_software
"
"Cobalt","2020-02-04 v11","Ashlar-Vellum , URL: /wiki/Ashlar-Vellum
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Computer Aided Design, Animation","Proprietary , URL: /wiki/Proprietary_software
"
"DesignSpark Mechanical","2020-07-13 v5.0","SpaceClaim , URL: /wiki/SpaceClaim
RS Components , URL: /wiki/RS_Components
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Computer Aided Design, Rapid Prototyping, 3D Printing","Proprietary , URL: /wiki/Proprietary_software
"
"Electric Image Animation System","2013-06 v9.1.0","EIAS3D , URL: /w/index.php?title=EIAS3D&action=edit&redlink=1
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Animation, Lighting, Rendering, Film, Television, Visual 3D Effects","Proprietary , URL: /wiki/Proprietary_software
"
"FreeCAD","2021-02-26 v 0.18.6","Jürgen Riegel, Werner Mayer, Yorik van Havre","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
unix , URL: /wiki/Unix
Linux , URL: /wiki/Linux
","Calculix , URL: /wiki/Calculix
","LGPL-2.0-or-later , URL: /wiki/GNU_Lesser_General_Public_License
"
"form-Z pro/jr/free","2020-02-? 9.0.2","Autodessys, Inc. , URL: /w/index.php?title=Autodessys,_Inc.&action=edit&redlink=1
","Mac OS X , URL: /wiki/Mac_OS_X
Microsoft Windows , URL: /wiki/Microsoft_Windows
","Animation, Modeling, Lighting, Render, Fabrication, Set Design","Proprietary , URL: /wiki/Proprietary_software
"
"Hexagon","2018-02-16 2.5.2.109","Daz 3D , URL: /wiki/Daz_3D
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
","Subdivision Modeling, UV Mapping","Proprietary , URL: /wiki/Proprietary_software
"
"HiCAD","2017-02-13 v HiCAD 2017","ISD Software und Systeme , URL: /w/index.php?title=ISD_Software_und_Systeme&action=edit&redlink=1
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","2D/3D Modeling, Computer Aided Design, Automatic drawing generation, BIM, Animation, HELiOS PDM integration, API scripting","Proprietary , URL: /wiki/Proprietary_software
"
"Houdini","2020-10-13 v 18.5.361","Side Effects Software , URL: /w/index.php?title=Side_Effects_Software&action=edit&redlink=1
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
","Animation, Lighting, Modeling, Visual 3D Effects","Proprietary , URL: /wiki/Proprietary_software
"
"iClone","2019-12-17 v 7.71.3626.1","Reallusion , URL: /wiki/Reallusion
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Animation, Film and Television Previz, Videogame Asset Creation, Lighting, Visual 3D Effects","Proprietary , URL: /wiki/Proprietary_software
"
"Inventor","2021-01 v 2021.2.1","Autodesk , URL: /wiki/Autodesk
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Modeling, Computer Aided Design, Rapid Prototyping, 3D Printing","Proprietary , URL: /wiki/Proprietary_software
"
