"Name","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","Unix , URL: /wiki/Unix
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Other"
"3ds Max , URL: /wiki/3ds_Max
","Yes","No","No","No","No","No"
"AC3D , URL: /wiki/AC3D
","Yes","Yes","Yes","No","No","No"
"Art of Illusion , URL: /wiki/Art_of_Illusion_(software)
","N/A","N/A","N/A","N/A","N/A","Java virtual machine , URL: /wiki/Java_virtual_machine
"
"AutoCAD","Yes","Yes","No","No","No","No"
"Blender , URL: /wiki/Blender_(software)
","Yes","Yes","Yes","Yes","Yes","Solaris , URL: /wiki/Solaris_(operating_system)
AmigaOS 4 , URL: /wiki/AmigaOS_4
MorphOS , URL: /wiki/MorphOS
"
"Carrara , URL: /wiki/Carrara
","Yes","Yes","No","No","No","No"
"Cheetah 3D , URL: /wiki/Cheetah_3D
","No","Yes","No","No","No","No"
"Cinema 4D , URL: /wiki/Cinema_4D
","Yes","Yes","No","No","No","Amiga OS , URL: /wiki/Amiga_OS
"
"Clara.io , URL: /wiki/Clara.io
","Yes","Yes","Yes","Yes","Yes","Chrome OS , URL: /wiki/Chrome_OS
Android , URL: /wiki/Android_(operating_system)
"
"DesignSpark Mechanical , URL: /wiki/DesignSpark_Mechanical
","Yes","No","No","No","No","No"
"Electric Image Animation System , URL: /wiki/Electric_Image_Animation_System
","Yes","Yes","No","No","No","No"
"form-Z , URL: /wiki/Form-Z
","Yes","Yes","No","No","No","No"
"HiCAD , URL: /wiki/HiCAD
","Yes","No","No","No","No","No"
"Houdini , URL: /wiki/Houdini_(software)
","Yes","Yes","Yes","No","No","No"
"IClone , URL: /wiki/IClone
","Yes","No","No","No","No","No"
"LightWave 3D , URL: /wiki/LightWave_3D
","Yes","Yes","No","No","No","AmigaOS , URL: /wiki/AmigaOS
"
"MakeHuman , URL: /wiki/MakeHuman
","Yes","Yes","Yes","No","No","No"
"Massive , URL: /wiki/Massive_(software)
","Yes","No","Yes","No","No","No"
"Maya , URL: /wiki/Maya_(software)
","Yes","Yes","Yes","No","No","No"
"Metasequoia , URL: /wiki/Metasequoia_(software)
","Yes","Yes","No","No","No","No"
"Modo , URL: /wiki/Modo_(software)
","Yes","Yes","Yes","No","No","No"
"POV-Ray , URL: /wiki/POV-Ray
","Yes","Yes","Yes","No","No","Amiga OS , URL: /wiki/Amiga_OS
Atari TOS , URL: /wiki/Atari_TOS
"
"Remo 3D , URL: /wiki/Remo_3D
","Yes","No","Yes","No","No","No"
"Shade , URL: /wiki/Shade_3D
","Yes","Yes","No","No","No","No"
"Silo , URL: /wiki/Silo_(software)
","Yes","Yes","Yes","No","No","No"
"SketchUp , URL: /wiki/SketchUp
","Yes","Yes","No","No","No","No"
"SketchUp , URL: /wiki/SketchUp
","Yes","Yes","No","No","No","No"
"Softimage , URL: /wiki/Autodesk_Softimage
","Yes","No","Yes","No","No","No"
"Solid Edge , URL: /wiki/Solid_Edge
","Yes","No","No","No","No","No"
"solidWorks , URL: /wiki/SolidWorks
","Yes","No","No","No","No","No"
"solidThinking , URL: /wiki/SolidThinking
","Yes","Yes","No","No","No","No"
"SpaceClaim , URL: /wiki/SpaceClaim
","Yes","No","No","No","No","No"
"trueSpace , URL: /wiki/TrueSpace
","Yes","No","No","No","No","Amiga OS , URL: /wiki/Amiga_OS
"
"Verto Studio 3D , URL: /wiki/Verto_Studio_3D
","No","Yes","No","No","No","iOS , URL: /wiki/IOS
"
"E-on Vue , URL: /wiki/E-on_Vue
","Yes","Yes","No","No","No","No"
"Wings 3D , URL: /wiki/Wings_3D
","Yes","Yes","Yes","No","No","No"
"ZBrush , URL: /wiki/ZBrush
","Yes","Yes","No","No","No","No"
