"","Modeling , URL: /wiki/Computer_model
","3D Painting , URL: /wiki/Glossary_of_computer_graphics#3D_paint_tool
","Animation , URL: /wiki/Animation
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","3D Tracking , URL: /wiki/Match_moving
","Compositing , URL: /wiki/Compositing
"
"3ds Max , URL: /wiki/3ds_Max
","Yes","Yes","Yes","Yes","No","Some"
"AC3D , URL: /wiki/AC3D
","Yes","?","?","No","No","No"
"Blender , URL: /wiki/Blender_(software)
","Yes","Yes","Yes","Yes","Yes","Yes"
"Electric Image Animation System , URL: /wiki/Electric_Image_Animation_System
","dropped[5]","?","Yes","Yes","No","?"
"Cinema 4D , URL: /wiki/Cinema_4D
","Yes","Yes","Yes","Yes","R16 or later","No"
"Clara.io , URL: /wiki/Clara.io
","Yes","?","Yes","Yes","No","?"
"Cobalt , URL: /wiki/Cobalt_(CAD_program)
","Yes","?","Yes","Yes","No","?"
"HiCAD , URL: /wiki/HiCAD
","Yes","Yes","Yes","Yes","No","No"
"Houdini , URL: /wiki/Houdini_(software)
","Yes","No","Yes","Yes","No","Yes"
"IClone , URL: /wiki/IClone
","Yes","?","Yes","Yes","?","?"
"Lightwave 3D , URL: /wiki/Lightwave_3D
","Yes","No","Yes","Yes","No","Yes"
"MakeHuman , URL: /wiki/MakeHuman
","parameter-based","No","No","No","No","No"
"Maya , URL: /wiki/Maya_(software)
","Yes","Yes","Yes","Yes","dropped (Maya Live)","Maya Fusion , URL: /wiki/Blackmagic_Fusion
Maya Composite , URL: /wiki/Autodesk_Toxik
"
"Metasequoia , URL: /wiki/Metasequoia_(software)
","Yes","No","No","Yes","No","No"
"Modo , URL: /wiki/Modo_(software)
","Yes","Yes","Yes","Yes","No","No"
"Remo 3D , URL: /wiki/Remo_3D
","Yes","No","Yes","Yes","No","No"
"Shade , URL: /wiki/Shade_3D
","Yes","No","Yes","Yes","No","No"
"Softimage , URL: /wiki/Softimage
","Yes","3.7 or later","Yes","Yes","No","Yes"
"Solid Edge , URL: /wiki/Solid_Edge
","Yes","?","Yes","Yes","No","?"
"SketchUp Make , URL: /wiki/SketchUp
","Yes[6][7]","?","Yes[6]","Yes[6]","No","No"
"SketchUp , URL: /wiki/SketchUp
","Yes[6][7]","?","Yes[6]","Yes[6]","No","No"
"Wings3D , URL: /wiki/Wings3D
","Yes","?","No","Yes","No","?"
