"","Imports , URL: /wiki/Imports
","Imports , URL: /wiki/Imports
","Imports , URL: /wiki/Imports
","Exports , URL: /wiki/Exports
","Exports , URL: /wiki/Exports
","Exports , URL: /wiki/Exports
","Exports , URL: /wiki/Exports
"
"","OpenFlight , URL: /wiki/OpenFlight
","other 3D game files","3D renderer files","OpenFlight , URL: /wiki/OpenFlight
","OGRE , URL: /wiki/OGRE
","other 3D game files","3D renderer files"
"3ds Max , URL: /wiki/3ds_Max
","Yes","","","Yes","No","",""
"AC3D , URL: /wiki/AC3D
","No","Irrlicht , URL: /wiki/Irrlicht_Engine
SMF , URL: /wiki/4x4_Evolution
","","No","Yes","DirectX X , URL: /wiki/.x
Second Life , URL: /wiki/Second_Life
","POV-Ray , URL: /wiki/POV-Ray
RenderMan , URL: /wiki/RenderMan_Interface_Specification
"
"Blender , URL: /wiki/Blender_(software)
","dropped","","","dropped","(blender2ogre addon)","","POV-Ray POV"
"Electric Image Animation System , URL: /wiki/Electric_Image_Animation_System
","?","","","?","?","",""
"Cinema 4D , URL: /wiki/Cinema_4D
","?","","","?","?","",""
"Clara.io , URL: /wiki/Clara.io
","?","DirectX X, Irrlicht irrmesh","POV-Ray POV","?","?","Quake II (MD2), Quake III Mesh (MD3), Doom 3 (MD5)",""
"Cobalt , URL: /wiki/Cobalt_(CAD_program)
","?","","","?","?","",""
"Houdini , URL: /wiki/Houdini_(software)
","?","","","?","?","",""
"IClone , URL: /wiki/IClone
","?","","","?","?","",""
"Lightwave 3D , URL: /wiki/Lightwave_3D
","?","Quake II (MD2)","","?","?","Quake II (MD2)",""
"MakeHuman , URL: /wiki/MakeHuman
","No","","","?","Yes","Doom 3 (MD5)",""
"Maya , URL: /wiki/Maya_(software)
","Yes","","","Yes","No","","Mental Ray , URL: /wiki/Mental_Ray
"
"Metasequoia , URL: /wiki/Metasequoia_(software)
","No","[io 6]","","No","No","DirectX X[io 6]","RenderMan RIB[io 7]"
"Modo , URL: /wiki/Modo_(software)
","?","","","?","?","",""
"Remo 3D , URL: /wiki/Remo_3D
","?","DirectX X, Quake II (MD2)","","?","","",""
"Shade , URL: /wiki/Shade_3D
","?","","","?","?","Blue Mars , URL: /wiki/Blue_Mars_(video_game)
","RenderMan RIB"
"Softimage , URL: /wiki/Softimage
","?","","","?","?","",""
"Solid Edge , URL: /wiki/Solid_Edge
","?","","","?","?","",""
"SketchUp Make , URL: /wiki/SketchUp
","?","","","?","?","",""
"SketchUp , URL: /wiki/SketchUp
","?","","","?","?","dotXSI , URL: /wiki/DotXSI
",""
"E-on Vue , URL: /wiki/E-on_Vue
","?","?","?","?","?","?","?"
"Wings3D , URL: /wiki/Wings3D
","?","","","?","?","BZFlag, DirectX X, Renderware","Kerkythea, POV-Ray POV"
