"Manufacturer","Module","SOC/SIP Chip","MCU core","RAM","Flash","Antenna","Sleep","TX","RX","TX Power","Sensitivity","PCB Size","Released","Interfacing","Firmware options"
"Anaren , URL: /wiki/Anaren
","data sheet , URL: http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf
","data sheet , URL: http://www.ti.com/lit/ds/symlink/cc2530.pdf
","32 MHz 8-bit 8051","8 kB","256 kB","Printed Trace","1 μA","34 mA","25 mA","4 dBm","-90 dBm","11 mm × 19 mm","July, 2012","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","AIR-ZNP, based on TI Z-Stack"
"Anaren , URL: /wiki/Anaren
","data sheet , URL: http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf
","data sheet , URL: http://www.ti.com/lit/ds/symlink/cc2530.pdf
","32 MHz 8-bit 8051","8 kB","256 kB","","1 μA","34 mA","25 mA","4 dBm","-90 dBm","11 mm × 19 mm","July, 2012","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","AIR-ZNP, based on TI Z-Stack"
"Anaren , URL: /wiki/Anaren
","data sheet , URL: http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf
","data sheet , URL: http://www.ti.com/lit/ds/symlink/cc2530.pdf
","32 MHz 8-bit 8051","8 kB","256 kB","Printed Trace","1 μA","130 mA","28 mA","15 dBm","-95 dBm","11 mm × 19 mm","July, 2012","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","AIR-ZNP, based on TI Z-Stack"
"Anaren , URL: /wiki/Anaren
","data sheet , URL: http://www.anaren.com/sites/default/files/Part-Datasheets/2530E24AZ1_Product_Brief.pdf
","data sheet , URL: http://www.ti.com/lit/ds/symlink/cc2530.pdf
","32 MHz 8-bit 8051","8 kB","256 kB","U.FL connector , URL: /wiki/U.FL
","1 μA","106 mA","28 mA","13 dBm","-95 dBm","11 mm × 19 mm","July, 2012","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","AIR-ZNP, based on TI Z-Stack"
"Atmel , URL: /wiki/Atmel
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc8226.pdf
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc5131.pdf
","8-bit ATmega 1281v","8 kB","128 kB","RF output","< 6 μA","18 mA","19 mA","-17 dBm to 3 dBm","-101 dBm","18.8 mm × 13.5 mm × 2.0 mm","2009","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
JTAG , URL: /wiki/Joint_Test_Action_Group
","BitCloud - ZigBee PRO , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4495&family_id=676
Wireless MCU Software , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4373&family_id=676
BitCloud stack , URL: http://www.meshnetics.com/wsn-software/bitcloud/
SerialNet , URL: http://www.meshnetics.com/wsn-software/at-commands/
OpenMAC , URL: http://www.meshnetics.com/opensource/mac/
"
"Atmel , URL: /wiki/Atmel
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc8226.pdf
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc5131.pdf
","8-bit ATmega 1281v","8 kB","128 kB","","< 6 μA","18 mA","19 mA","-17 dBm to 3 dBm","-101 dBm","","2009","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
JTAG , URL: /wiki/Joint_Test_Action_Group
","BitCloud - ZigBee PRO , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4495&family_id=676
Wireless MCU Software , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4373&family_id=676
BitCloud stack , URL: http://www.meshnetics.com/wsn-software/bitcloud/
SerialNet , URL: http://www.meshnetics.com/wsn-software/at-commands/
OpenMAC , URL: http://www.meshnetics.com/opensource/mac/
"
"Atmel , URL: /wiki/Atmel
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc8228.pdf
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc5131.pdf
","8-bit ATmega 1281v","8 kB","128 kB","RF output","< 6 μA","50 mA","23 mA","Up to 20 dBm","-104 dBm","38 mm × 13.5 mm × 2.0 mm","2009","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
JTAG , URL: /wiki/Joint_Test_Action_Group
","BitCloud - ZigBee PRO , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4495&family_id=676
Wireless MCU Software , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4373&family_id=676
BitCloud stack , URL: http://www.meshnetics.com/wsn-software/bitcloud/
SerialNet , URL: http://www.meshnetics.com/wsn-software/at-commands/
OpenMAC , URL: http://www.meshnetics.com/opensource/mac/
"
"Atmel , URL: /wiki/Atmel
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc8228.pdf
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc5131.pdf
","8-bit ATmega 1281v","8 kB","128 kB","","< 6 μA","50 mA","23 mA","Up to 20 dBm","-104 dBm","38 mm × 13.5 mm × 2.0 mm","2009","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
JTAG , URL: /wiki/Joint_Test_Action_Group
","BitCloud - ZigBee PRO , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4495&family_id=676
Wireless MCU Software , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4373&family_id=676
BitCloud stack , URL: http://www.meshnetics.com/wsn-software/bitcloud/
SerialNet , URL: http://www.meshnetics.com/wsn-software/at-commands/
OpenMAC , URL: http://www.meshnetics.com/opensource/mac/
"
"Atmel , URL: /wiki/Atmel
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc8227.pdf
","datasheet , URL: http://www.atmel.com/dyn/resources/prod_documents/doc8168.pdf
","8-bit ATmega 1281v","8 kB","128 kB","RF output","< 6 μA","26 mA","11 mA","Up to 11 dBm","–110 dBm","24 mm × 13.5 mm × 2.8 mm","2009","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
JTAG , URL: /wiki/Joint_Test_Action_Group
","BitCloud - ZigBee PRO , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4495&family_id=676
Wireless MCU Software , URL: http://www.atmel.com/dyn/products/tools_card.asp?tool_id=4373&family_id=676
BitCloud stack , URL: http://www.meshnetics.com/wsn-software/bitcloud/
SerialNet , URL: http://www.meshnetics.com/wsn-software/at-commands/
OpenMAC , URL: http://www.meshnetics.com/opensource/mac/
"
"California Eastern Laboratories , URL: http://www.cel.com/
","datasheet , URL: http://www.cel.com/pdf/datasheets/MeshConnect_EM357_Mini_Modules_DS.pdf
brochure , URL: http://www.cel.com/pdf/brochures/meshconnect_em357_mini_pb.pdf
","datasheet , URL: http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x.pdf
brochure , URL: http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x-short.pdf
","ARM Cortex -M3 , URL: /wiki/ARM_Cortex-M#Cortex-M3
","12 kB","192 kB","PCB Trace Antenna or RF Port for External Antenna","1 μA","58 mA","34 mA","20 dBm","–103 dBm","23.9 mm × 16.6 mm","Apr, 2012 , URL: http://www.cel.com/pdf/press/cel133.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
TWI , URL: /wiki/Two-wire_Serial_Interface
","ZigBee PRO stack: EmberZNet PRO , URL: http://www.silabs.com/products/wireless/zigbee/Pages/default.aspx
"
