"ADC hub","FOSS , URL: /wiki/Free_and_open_source_software
","Software license , URL: /wiki/Software_license
","Active","Last Update","Notes"
"ADCH++","Yes","GPL , URL: /wiki/GNU_General_Public_License
","Yes","2021-10-08 / 3.0.0",""
"ADCH++ GUI","Yes","GPL , URL: /wiki/GNU_General_Public_License
","No","",""
"DSHub","Yes","GPL , URL: /wiki/GNU_General_Public_License
","No","2008-10-09 / RC1",""
"FlexHub","Yes","AGPL , URL: /wiki/Affero_General_Public_License
","No","2013-10-20 / 0.2 svn 1469",""
"Luadch","Yes","GPLv3 , URL: /wiki/GNU_General_Public_License
","Yes","2021-09-16 / 2.22",""
"Nexthub","Yes","MIT License , URL: /wiki/MIT_License
","No","",""
"uhub","Yes","GPL , URL: /wiki/GNU_General_Public_License
","No","2019-12-13 / 0.5.1-git-35d8088","Debian , URL: /wiki/Debian
OpenWrt , URL: /wiki/OpenWrt
"
"ErlHub","Yes","GPL , URL: /wiki/GNU_General_Public_License
","?","",""
"Qhub","Yes","GPL , URL: /wiki/GNU_General_Public_License
","No","2006-07-09 / 0.10",""
"Starlet ADC Hub","No","Proprietary , URL: /wiki/Proprietary_software
","No","",""
"Starhub","No","source code available","No","",""
"RusHub","Yes","GPL , URL: /wiki/GNU_General_Public_License
","No","2012-07-10 / 2.3.10",""
"ADC hub","FOSS","Software license","Active","",""
