"Model","Codename","Released","CPU support","Fab , URL: /wiki/Fabrication_process
nm , URL: /wiki/Nanometer
","HT , URL: /wiki/HyperTransport
","IGP , URL: /wiki/Graphics_processing_unit#Integrated_graphics_solutions
","CrossFire , URL: /wiki/ATI_CrossFire
","Southbridge","Features / Notes"
"480X , URL: /wiki/AMD_580_chipset_series
","RD480","Oct 2006","Athlon 64 , URL: /wiki/Athlon_64
","110","1000 (HT 2.0)","No","x8 + x8","ULi , URL: /wiki/ULi
","?"
"570X/550X , URL: /wiki/AMD_580_chipset_series
","RD570","Jun 2007","Phenom , URL: /wiki/AMD_Phenom
","?","1000 (HT 2.0)","No","x16 + x8","SB600","?"
"580X , URL: /wiki/AMD_580_chipset_series
","RD580","Oct 2006","Phenom , URL: /wiki/AMD_Phenom
","?","1000 (HT 2.0)","No","","SB600","?"
"","","","","","","","","",""
"690V , URL: /wiki/AMD_690_chipset_series
","RS690C","Feb 2007","Athlon 64, Sempron","80","1000 (HT 2.0)","Radeon X1200 (350MHz)","No","SB600","DirectX , URL: /wiki/DirectX
AVIVO , URL: /wiki/AVIVO
HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
LVDS , URL: /wiki/LVDS
"
"690G , URL: /wiki/AMD_690_chipset_series
","RS690","Feb 2007","Phenom, Athlon 64, Sempron","80","1000 (HT 2.0)","Radeon X1250 (400MHz)","No","SB600","DirectX 9.0, AVIVO, HDMI/HDCP"
"M690V , URL: /wiki/AMD_690_chipset_series
","RS690MC","Feb 2007","Turion 64 X2 , URL: /wiki/Turion_64_X2
Athlon 64 X2 mobile , URL: /wiki/List_of_AMD_Turion_microprocessors#""Tyler""_(65_nm)
","80","800 (HT 2.0)","Radeon X1200 (350 MHz)","No","SB600","LVDS , URL: /wiki/LVDS
"
"M690 , URL: /wiki/AMD_690_chipset_series
","RS690M","Feb 2007","Turion 64 X2 , URL: /wiki/Turion_64_X2
Athlon 64 X2 mobile , URL: /wiki/List_of_AMD_Turion_microprocessors#""Tyler""_(65_nm)
","80","800 (HT 2.0)","","No","SB600",""
"M690E , URL: /wiki/AMD_690_chipset_series
","RS690T","Feb 2007","Athlon Neo, Mobile Sempron","80","800 (HT 2.0)","Radeon X1250 (350Mhz)","No","SB600","HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
"
"M690T , URL: /wiki/AMD_690_chipset_series
","RS690T","Feb 2007","Turion 64 X2 , URL: /wiki/Turion_64_X2
Athlon 64 X2 mobile , URL: /wiki/List_of_AMD_Turion_microprocessors#""Tyler""_(65_nm)
","80","800 (HT 2.0)","Radeon X1270 (400Mhz)","No","SB600","HDMI , URL: /wiki/HDMI
HDCP , URL: /wiki/HDCP
"
"","","","","","","","","",""
