"Product","Formats total #",".cbr",".cbz",".umd",".chm",".djvu",".epub",".fb2",".html",".mobi",".oeb",".rtf",".pdf",".txt",".doc",".docx",".pdb"
"Aldiko Book Reader , URL: /wiki/Aldiko
","02+","?","?","?","No","No","Yes","No","No","No","No","No","Yes","No","?","?","?"
"AlReader , URL: /w/index.php?title=AlReader&action=edit&redlink=1
","09+","?","?","?","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Bookari , URL: /w/index.php?title=Bookari_Ebook_Reader_Premium&action=edit&redlink=1
","02+","?","?","?","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Cool Reader , URL: /wiki/CoolReader
","07+","?","?","?","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes"
"EBookDroid , URL: /w/index.php?title=EBookDroid&action=edit&redlink=1
","05+","?","?","?","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","?","?","?"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","02+","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"eReader Prestigio , URL: /w/index.php?title=EReader_Prestigio&action=edit&redlink=1
","09+","?","?","?","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?"
"ezPDF Reader , URL: /w/index.php?title=EzPDF_Reader&action=edit&redlink=1
","04+","?","?","?","No","No","Yes","No","Yes","No","No","No","Yes","Yes","?","?","?"
"FBReader , URL: /wiki/FBReader
","11+","Yes","Yes","?","No","Plugin[10]","Yes","Yes","Yes","Yes","Yes","Yes","Plugin[11]","Yes","Yes","No","Yes"
"Google Play Books , URL: /wiki/Google_Play_Books
","02+","?","?","?","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"iReader , URL: /w/index.php?title=IReader&action=edit&redlink=1
","02+","?","?","?","?","?","Yes","?","Yes","Yes","?","?","?","Yes","?","?","?"
"Kindle , URL: /wiki/Amazon_Kindle
","02+","?","?","?","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","?","?"
"KOReader","13","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Kobo Books","05+","?","?","?","No","No","Yes","No","Yes","No","No","Yes","No","Yes","?","?","?"
"Lektz eBook Reader , URL: /wiki/Lektz
","02+","?","?","?","No","No","Yes","No","No","No","No","No","Yes","No","?","?","?"
"Librera , URL: /w/index.php?title=Librera&action=edit&redlink=1
","13","Yes","Yes","?","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Moon+ reader Pro , URL: /w/index.php?title=Moon%2B_reader_Pro&action=edit&redlink=1
","14","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"MReader , URL: /w/index.php?title=MReader&action=edit&redlink=1
","10+","?","?","?","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"PocketBook , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","07+","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes"
"Snapplify","07+","?","?","?","No","No","Yes","No","Yes","No","No","No","Yes","Yes","?","?","?"
"Socio eReader , URL: /w/index.php?title=Socio_eReader&action=edit&redlink=1
","01+","?","?","?","No","No","Yes","No","No","No","No","No","No","No","?","?","?"
"Product","Formats total #",".cbr",".cbz",".umd",".chm",".djvu",".epub",".fb2",".html",".mobi",".oeb",".rtf",".pdf",".txt",".doc",".docx",".pdb"
