"Product","Highlight","Annotate","Metadata edit","Dictionary online","Dictionary offline","Wikipedia lookup","Translate","Share","Gesture command","TTS Support (read aloud)","Support DRM"
"Aldiko Book Reader , URL: /wiki/Aldiko
","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes"
"AlReader , URL: /w/index.php?title=AlReader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"Bookari , URL: /w/index.php?title=Bookari_Ebook_Reader_Premium&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Cool Reader , URL: /wiki/CoolReader
","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"EBookDroid , URL: /w/index.php?title=EBookDroid&action=edit&redlink=1
","?","?","?","?","?","?","?","?","?","?","?"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Yes"
"eReader Prestigio , URL: /w/index.php?title=EReader_Prestigio&action=edit&redlink=1
","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"FBReader , URL: /wiki/FBReader
","No","No","Yes","No","Yes","No","No","Yes","No","Plugin[23]","No"
"iReader , URL: /w/index.php?title=IReader&action=edit&redlink=1
","?","?","?","?","?","?","?","?","?","?","?"
"Kindle , URL: /wiki/Amazon_Kindle
","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Kobo Books","Yes","Yes","?","Yes","Yes","Yes","No","Yes","?","?","?"
"KOReader","Yes","No[24]","?","No","Yes","Yes","Yes","?","Yes","No","No"
"Lektz eBook Reader , URL: /wiki/Lektz
","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"Librera , URL: /w/index.php?title=Librera&action=edit&redlink=1
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Moon+ reader , URL: /w/index.php?title=Moon%2B_reader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"MReader , URL: /w/index.php?title=MReader&action=edit&redlink=1
","Yes","No","No","No","No","No","No","No","No","No","No"
"PocketBook , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes"
"Snapplify","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"Socio eReader , URL: /w/index.php?title=Socio_eReader&action=edit&redlink=1
","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No"
"Product","Highlight","Annotate","Metadata edit","Dictionary online","Dictionary offline","Wikipedia lookup","Translate","Share","Gesture command","TTS Support (read aloud)","Support DRM"
