"Product","Local books","Book file search","Epub downloading","Browser downloading","OPDS catalog","Books tag","Books sort","Books manage metadata"
"Aldiko Book Reader , URL: /wiki/Aldiko
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"AlReader , URL: /w/index.php?title=AlReader&action=edit&redlink=1
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"Bookari , URL: /w/index.php?title=Bookari_Ebook_Reader_Premium&action=edit&redlink=1
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Cool Reader , URL: /wiki/CoolReader
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"EBookDroid , URL: /w/index.php?title=EBookDroid&action=edit&redlink=1
","Yes","?","?","?","Yes","?","?","?"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"eReader Prestigio , URL: /w/index.php?title=EReader_Prestigio&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"FBReader , URL: /wiki/FBReader
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"iReader , URL: /w/index.php?title=IReader&action=edit&redlink=1
","?","?","?","?","?","?","?","?"
"Kindle , URL: /wiki/Amazon_Kindle
","?","?","?","?","?","?","?","?"
"Kobo Books","?","?","?","?","?","?","?","?"
"KOReader","Yes","?","No","No","Yes","?","?","?"
"Lektz eBook Reader , URL: /wiki/Lektz
","Yes","Yes","Yes","?","?","?","?","?"
"Librera , URL: /w/index.php?title=Librera&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Moon+ reader , URL: /w/index.php?title=Moon%2B_reader&action=edit&redlink=1
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"MReader , URL: /w/index.php?title=MReader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","No","No","No","No"
"PocketBook , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Socio eReader , URL: /w/index.php?title=Socio_eReader&action=edit&redlink=1
","Yes","Yes","Yes","No","No","No","Yes","No"
"Product","Local books","Book file search","Epub downloading","Browser downloading","OPDS catalog","Books tag","Books sort","Books manage metadata"
