"Country","Official Name","Acronym","Founded","Terminated","Capabilities","Capabilities","Capabilities","Capabilities","Remarks"
"Country","Official Name","Acronym","Founded","Terminated","Astronauts","Operates Satellites","Sounding Rockets capable","Recoverable Biological Sounding Rockets capable","Remarks"
"Bangladesh , URL: /wiki/Bangladesh
","Space Research and Remote Sensing Organization , URL: /wiki/Space_Research_and_Remote_Sensing_Organization
","SPARRSO","1980","—","No","Yes","No","No","[4]"
"People's Republic of China , URL: /wiki/China
","China National Space Administration , URL: /wiki/China_National_Space_Administration
Chinese , URL: /wiki/Simplified_Chinese_character
","CNSA","22 April 1993","—","Yes","Yes","Yes","Yes","[5]"
"India , URL: /wiki/India
","Indian Space Research Organisation , URL: /wiki/Indian_Space_Research_Organisation
Hindi , URL: /wiki/Hindi_language
","ISRO इसरो","15 August 1969","—","Yes","Yes","Yes","Yes","[6][7][8]"
"Indonesia , URL: /wiki/Indonesia
","Indonesian , URL: /wiki/Indonesian_language
National Institute of Aeronautics and Space , URL: /wiki/National_Institute_of_Aeronautics_and_Space
","LAPAN","27 November 1964","—","Yes","Yes","Yes","No","[citation needed]"
"Iran , URL: /wiki/Iran
","Iranian Space Agency , URL: /wiki/Iranian_Space_Agency
Persian , URL: /wiki/Persian_language
","ISA","2003","—","Yes","Yes","Yes","Yes","[9][10][11]"
"Israel , URL: /wiki/Israel
","Israeli Space Agency , URL: /wiki/Israeli_Space_Agency
Hebrew , URL: /wiki/Hebrew_language
","ISA סל""ה","April 1983","—","Yes","Yes","Yes","No","[citation needed]"
"Japan , URL: /wiki/Japan
","Japan Aerospace Exploration Agency , URL: /wiki/Japan_Aerospace_Exploration_Agency
Japanese , URL: /wiki/Japanese_language
","JAXA","1 October 2003","—","Yes","Yes","Yes","Yes","[12][13]"
"Malaysia , URL: /wiki/Malaysia
","Malaysian National Space Agency , URL: /wiki/Malaysian_National_Space_Agency
Malay , URL: /wiki/Malay_language
","ANGKASA","2002","—","Yes","Yes","No","No","[14]"
"North Korea , URL: /wiki/North_Korea
","Korean Committee of Space Technology , URL: /wiki/Korean_Committee_of_Space_Technology
Korean , URL: /wiki/Korean_language
","KCST","1980s","2013","No","Yes","Yes","No","[15][16][17]"
"Pakistan , URL: /wiki/Pakistan
","Pakistan Space and Upper Atmosphere Research Commission , URL: /wiki/Space_and_Upper_Atmosphere_Research_Commission
Urdu , URL: /wiki/Urdu_language
","SUPARCO سپارکو","16 September 1961","—","No","Yes","Yes","No","[citation needed]"
"Philippines , URL: /wiki/Philippines
","Philippine Space Agency , URL: /wiki/Philippine_Space_Agency
","PhilSA","8 August 2019","—","No","Yes","No","No","[18]"
"South Korea , URL: /wiki/South_Korea
","Korea Aerospace Research Institute , URL: /wiki/Korea_Aerospace_Research_Institute
Korean , URL: /wiki/Korean_language
","KARI","10 October 1989","—","Yes","Yes","Yes","No","[citation needed]"
"Republic of China , URL: /wiki/Taiwan
","National Space Organization , URL: /wiki/National_Space_Organization
Chinese , URL: /wiki/Chinese_language
","NSPO","3 October 1991","—","No","Yes","Yes","No","[19]"
"Thailand , URL: /wiki/Thailand
","Geo-Informatics and Space Technology Development Agency , URL: /wiki/Geo-Informatics_and_Space_Technology_Development_Agency
Thai , URL: /wiki/Thai_language
","GISTDA สทอภ","3 November 2002","—","No","Yes","No","No","[20]"
