"Name","Primary developers","First public release","Based on","Latest stable version","Latest stable version","USD , URL: /wiki/United_States_dollar
","license , URL: /wiki/Software_license
","Purpose","Short description",""
"Name","Primary developers","First public release","Based on","Version","Release Date","USD , URL: /wiki/United_States_dollar
","license , URL: /wiki/Software_license
","Purpose","Short description",""
"FreeBSD , URL: /wiki/FreeBSD
","FreeBSD , URL: /wiki/FreeBSD
","1993-12-01","386BSD , URL: /wiki/386BSD
4.4BSD , URL: /wiki/4.4BSD
","13.0","2021-04-13[39]","Free","Simplified BSD , URL: /wiki/BSD_licenses#2-clause
","Server , URL: /wiki/Server_(computing)
Workstation , URL: /wiki/Computer_workstation
Network Appliance , URL: /wiki/Network-attached_storage
Embedded , URL: /wiki/Embedded_system
","Aims to be usable for any purpose.",""
"OpenBSD , URL: /wiki/OpenBSD
","OpenBSD , URL: /wiki/OpenBSD
","1996-09-01","NetBSD 1.0 , URL: /wiki/NetBSD
","7.0","2021-10-14[40]","Free","ISC , URL: /wiki/ISC_license
","Server , URL: /wiki/Server_(computing)
Workstation , URL: /wiki/Computer_workstation
Network Appliance , URL: /wiki/Network-attached_storage
Embedded , URL: /wiki/Embedded_system
","Aims for maximum correctness in code, bringing simplicity and security.",""
"NetBSD , URL: /wiki/NetBSD
","NetBSD , URL: /wiki/NetBSD
","1993-05-01","386BSD , URL: /wiki/386BSD
4.4BSD , URL: /wiki/4.4BSD
","9.2","2021-05-12","Free","Simplified BSD , URL: /wiki/BSD_licenses#2-clause
","Server , URL: /wiki/Server_(computing)
Workstation , URL: /wiki/Computer_workstation
Network Appliance , URL: /wiki/Network-attached_storage
Embedded , URL: /wiki/Embedded_system
","Aims for maximum portability.",""
"DragonFly BSD , URL: /wiki/DragonFly_BSD
","Matt Dillon , URL: /wiki/Matt_Dillon_(computer_scientist)
","2004-07-12","FreeBSD , URL: /wiki/FreeBSD
","6.0.0","2021-05-10[41]","Free","Modified BSD , URL: /wiki/BSD_licenses#3-clause
","Server , URL: /wiki/Server_(computing)
Workstation , URL: /wiki/Computer_workstation
Network Appliance , URL: /wiki/Network-attached_storage
Embedded , URL: /wiki/Embedded_system
","Aims for maximum scalability.",""
"386BSD , URL: /wiki/386BSD
","William , URL: /wiki/William_Jolitz
Lynne Jolitz , URL: /wiki/Lynne_Jolitz
","1992-03-01","4.3BSD , URL: /wiki/4.3BSD
","2.0","2016-08-05","Free","BSD , URL: /wiki/BSD_License
","Open source general purpose","Historical",""
"BSD/OS , URL: /wiki/BSD/OS
","BSDi , URL: /wiki/BSDi
Wind River Systems , URL: /wiki/Wind_River_Systems
","1993-03-01","4.3BSD , URL: /wiki/4.3BSD
4.4BSD , URL: /wiki/4.4BSD
","5.1","2003-10-01","?","Proprietary , URL: /wiki/Proprietary_software
","General purpose","Historical",""
"SunOS , URL: /wiki/SunOS
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","1982","UNIX System V , URL: /wiki/UNIX_System_V
","4.1.4","1994-11-01","Included in hardware and support charges","Proprietary , URL: /wiki/Proprietary_software
","Server , URL: /wiki/Server_(computing)
Workstation , URL: /wiki/Computer_workstation
","Solaris , URL: /wiki/Solaris_(operating_system)
",""
"Ultrix , URL: /wiki/Ultrix
","Digital Equipment Corporation , URL: /wiki/Digital_Equipment_Corporation
","1984","SVR2 , URL: /wiki/UNIX_System_V
","4.5","1995","?","Proprietary , URL: /wiki/Proprietary_software
","General Purpose","DEC , URL: /wiki/Digital_Equipment_Corporation
VAX , URL: /wiki/VAX
MIPS , URL: /wiki/MIPS_architecture
emulators , URL: /wiki/Emulator
",""
"RISCiX , URL: /wiki/RISC_iX
","Acorn Computers , URL: /wiki/Acorn_Computers
","1988","Unix System V , URL: /wiki/UNIX_System_V
","1.31c","1993-09-07","Cost £1000 GBP (Approx $1400)","Proprietary , URL: /wiki/Proprietary_software
","Workstation , URL: /wiki/Workstation
","Archimedes , URL: /wiki/Acorn_Archimedes
",""
