"Name","Developer","Software license , URL: /wiki/Software_license
","Latest stable software release , URL: /wiki/Latest_stable_software_release
","Latest stable software release , URL: /wiki/Latest_stable_software_release
","Operating system","Year (not dynamic, but easier for sorting)"
"BitComet , URL: /wiki/BitComet
","BitComet Development Group","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","1.86 (February 28, 2022; 17 days ago (2022-02-28)) [±][5]","1.86 (February 28, 2022; 17 days ago (2022-02-28)) [±][5]","Windows, macOS","2020"
"BitLord , URL: /wiki/BitLord
","House of Life","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","Windows: 2.4.6-355 (September 10, 2020; 18 months ago (2020-09-10)) [±] macOS: 2.4.6-348 (October 24, 2019; 2 years ago (2019-10-24)) [±]","Windows: 2.4.6-355 (September 10, 2020; 18 months ago (2020-09-10)) [±] macOS: 2.4.6-348 (October 24, 2019; 2 years ago (2019-10-24)) [±]","Windows, macOS","2017"
"BitTorrent , URL: /wiki/BitTorrent_(software)
","BitTorrent , URL: /wiki/BitTorrent_(company)
","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","Windows","7.10.5.46097 / September 8, 2021; 6 months ago (2021-09-08)[6]","Windows, macOS","2020"
"BitTorrent , URL: /wiki/BitTorrent_(software)
","BitTorrent , URL: /wiki/BitTorrent_(company)
","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","Mac","7.4.3.43797 / September 4, 2019; 2 years ago (2019-09-04)[7]","Windows, macOS","2020"
"BitTorrent , URL: /wiki/BitTorrent_(software)
","BitTorrent , URL: /wiki/BitTorrent_(company)
","Proprietary , URL: /wiki/Proprietary_software
Adware , URL: /wiki/Adware
","Android","6.5.7 / September 9, 2020; 18 months ago (2020-09-09)[8]","Windows, macOS","2020"
"Deluge , URL: /wiki/Deluge_(software)
","various","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","2.0.5 (December 15, 2021; 3 months ago (2021-12-15)) [±]","2.0.5 (December 15, 2021; 3 months ago (2021-12-15)) [±]","Windows, macOS, Linux, BSD","2019"
"FlashGet , URL: /wiki/FlashGet
","Trend Media","Proprietary , URL: /wiki/Proprietary_software
","3.7.0.1220 (May 17, 2013; 8 years ago (2013-05-17)[9]) [±]","3.7.0.1220 (May 17, 2013; 8 years ago (2013-05-17)[9]) [±]","Windows","2013"
"Free Download Manager , URL: /wiki/Free_Download_Manager
","alervd","Proprietary , URL: /wiki/Proprietary_software
","6.13.4.3616 (February 9, 2021; 13 months ago (2021-02-09)) [±][10]","6.13.4.3616 (February 9, 2021; 13 months ago (2021-02-09)) [±][10]","Windows, macOS, Android","2020"
"FrostWire , URL: /wiki/FrostWire
","The FrostWire Project","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","6.9.7 (build 311) (January 9, 2022; 2 months ago (2022-01-09)) [±]","6.9.7 (build 311) (January 9, 2022; 2 months ago (2022-01-09)) [±]","Windows, macOS, Linux, Android","2019"
"KGet , URL: /wiki/KGet
","KDE , URL: /wiki/KDE
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","4.14.38 (November 7, 2017; 4 years ago (2017-11-07)) [±][11]","4.14.38 (November 7, 2017; 4 years ago (2017-11-07)) [±][11]","Linux","2019"
