"BitTorrent client","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
","Other"
"BitComet , URL: /wiki/BitComet
","Yes","Yes","No","No","No","No","No"
"BitLord , URL: /wiki/BitLord
","Yes","Yes","No","No","No","No","No"
"BitTorrent , URL: /wiki/BitTorrent_(software)
","Yes","Yes","No","No","No","Yes[30]","No"
"Deluge , URL: /wiki/Deluge_(software)
","Yes","Yes","Yes","Yes","No","No","Solaris , URL: /wiki/Solaris_(operating_system)
"
"FlashGet , URL: /wiki/FlashGet
","Yes","No","No","No","No","No","No"
"Free Download Manager , URL: /wiki/Free_Download_Manager
","Yes","Yes","Yes","No","No","Yes","No"
"Frostwire , URL: /wiki/Frostwire
","Yes[31]","Yes[31]","Yes[31]","Yes[31]","No[31]","Yes[31]","Unix-like , URL: /wiki/Unix-like
z/OS , URL: /wiki/Z/OS
"
"KGet , URL: /wiki/KGet
","No","No","Yes","Yes","No","No","No"
"KTorrent , URL: /wiki/KTorrent
","No","Yes","Yes","Yes","No","No","No"
"Lftp , URL: /wiki/Lftp
","Yes","Yes","Yes","Yes","No","No","No"
"LimeWire , URL: /wiki/LimeWire
","Yes","Yes","Yes","Yes","No","No","Yes[specify]"
"Miro , URL: /wiki/Miro_(software)
","Yes","Yes","Yes","Yes","No","No","No"
"MLDonkey , URL: /wiki/MLDonkey
","Yes","Yes","Yes","Yes","No","No","MorphOS , URL: /wiki/MorphOS
"
"μTorrent , URL: /wiki/%CE%9CTorrent
","Yes","Yes","Web","No","No","Yes[34]","No"
"Opera 12 , URL: /wiki/Opera_(web_browser)
","Yes[Note 3]","Yes","Yes[Note 3]","Yes[Note 3]","No","Yes[citation needed]","Solaris"
"qBittorrent , URL: /wiki/QBittorrent
","Yes[35]","Yes[35]","Yes[35]","Yes[35]","No[35]","No[36]","OS/2 , URL: /wiki/OS/2
eComStation , URL: /wiki/EComStation
ArcaOS , URL: /wiki/ArcaOS
FreeBSD , URL: /wiki/FreeBSD
Haiku , URL: /wiki/Haiku_(operating_system)
"
"Robert , URL: /wiki/Robert_(P2P_software)
","Yes","Yes","Yes","Yes","No","No","No"
"rTorrent , URL: /wiki/RTorrent
","Cygwin , URL: /wiki/Cygwin
","Yes","Yes","Yes","No","No","Solaris"
"Shareaza , URL: /wiki/Shareaza
","Yes","No","No","No","No","No","No"
"Tixati , URL: /wiki/Tixati
","Yes","No","Yes","No","No","No","No"
"Tonido , URL: /wiki/Tonido
","Yes","Yes","Yes","Yes","No","No","No"
"Transmission , URL: /wiki/Transmission_(BitTorrent_client)
","Yes [Note 3]","Yes","Yes","Yes","Cydia , URL: /wiki/Cydia
","Yes","OpenWrt , URL: /wiki/OpenWrt
"
"Tribler , URL: /wiki/Tribler
","Yes","Yes","Yes","Yes","No","No","No"
"Vuze , URL: /wiki/Vuze
","Yes","Yes","Yes","Yes","No","Yes[38]","No"
"Xunlei , URL: /wiki/Xunlei#Xunlei
","Yes","Yes","No","No","Yes","Yes[citation needed]","No"
"Name","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
","Other"
