"BitTorrent client","Cache , URL: /wiki/Cache_(computing)
","Web seeding , URL: /wiki/Webseeding
","Web seeding , URL: /wiki/Webseeding
","Broad-catching , URL: /wiki/Broadcatching
RSS , URL: /wiki/RSS
","Prioritization","Selective downloads","Sequential downloading","SOCKS , URL: /wiki/SOCKS
","Tracker exchange [73]","Remote control via web","Search engine , URL: /wiki/BitTorrent_(protocol)#Indexing
","Auto updates","Reviews and Comments","Notes"
"BitComet , URL: /wiki/BitComet
","Yes","No","Yes[74]","Beta , URL: /wiki/Software_release_life_cycle#Beta
","Yes","Yes","Yes[Note 19]","Yes","No","Yes","Built-in Web browser","Yes","No","Portable version available"
"BitLord , URL: /wiki/BitLord
","Yes","No","Partial [Note 20][Note 21]","Yes","Yes","Yes","No","Yes","No","No","Built-in Web browser","Yes","No",""
"BitTorrent , URL: /wiki/BitTorrent_(software)
","No","Yes","Partial [Note 21]","No","Yes","Yes","No","No","No","No","Yes","Yes","No",""
"BitTorrent 6","Yes","Yes","","Yes","Yes","Yes","Yes[Note 22]","Yes","No","Yes","Yes","Yes","Yes",""
"Deluge , URL: /wiki/Deluge_(software)
","Yes","Yes","Partial [Note 20]","Plugin","Yes","Yes","Yes","Yes","No","Yes","No","PMS , URL: /wiki/Package_management_system
","No",""
"FlashGet , URL: /wiki/FlashGet
","No","No","","No","No","No","No","No","No","No","No","No","No","FlashGet , URL: /wiki/FlashGet
FlashGot , URL: /wiki/FlashGot
"
"Free Download Manager , URL: /wiki/Free_Download_Manager
","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","Optional","No",""
"KTorrent , URL: /wiki/KTorrent
","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Built-in Web browser","PMS , URL: /wiki/Package_management_system
","No",""
"LimeWire , URL: /wiki/LimeWire
","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No",""
"MLDonkey , URL: /wiki/MLDonkey
","Yes","No","","bash , URL: /wiki/Bash_(Unix_shell)
","Yes","No","No","No[75]","No","Yes","Built-in Web browser","PMS , URL: /wiki/Package_management_system
","No",""
"μTorrent , URL: /wiki/%CE%9CTorrent
","Yes","Yes[76]","Partial [Note 21]","Yes[77]","Yes[78]","Yes","Yes[Note 23]","Yes","No","Yes","Yes","Yes","Yes",""
"Opera 12 , URL: /wiki/Opera_(web_browser)
","No","No","","Yes[Note 24]","No","No","No","No","No","No","built-into Web browser","PMS , URL: /wiki/Package_management_system
","No","Web browser"
"qBittorrent , URL: /wiki/QBittorrent
","Yes","Yes","Partial [Note 20]","Yes","Yes","Yes","Yes","Yes","hard-coded as disabled in newer versions","Yes","Yes","PMS , URL: /wiki/Package_management_system
","No",""
"rTorrent , URL: /wiki/RTorrent
","Partial","No","No","3rd party utility [79]","Yes","Yes","No","No","No","Yes","No","PMS , URL: /wiki/Package_management_system
","No","No built-in disk cache but a delayed sync"
"Shareaza , URL: /wiki/Shareaza
","Yes","Yes","No","No","Yes","Yes[Note 25]","in mod client","No","Yes [Note 26][80][Note 27]","Yes","Yes","Yes","No","[Note 28]"
"Tixati , URL: /wiki/Tixati
","Yes","Yes","Partial [Note 20][Note 29][Note 21]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","lightweight client, Portable version available, option to keep all peers unchoked available Integral encrypted chatrooms that allow streaming audio and video, link sharing and searching"
"Tonido , URL: /wiki/Tonido
","No","No","","No","Yes","Yes","No","No","No","Yes","No","Yes","No",""
"Transmission , URL: /wiki/Transmission_(BitTorrent_client)
","Yes","No","Partial [Note 21][Note 30]","No","Yes","Yes","No","No","No","Yes","No","Yes","No",""
"Tribler , URL: /wiki/Tribler
","Yes","No","No","Yes","Yes","Yes","No","No","No","Partial","Yes (DHT)[81]","Yes","No","Fully distributed keyword search; integrated anti-spam measures[82]"
"Vuze , URL: /wiki/Vuze
","Yes","","Yes[83]","Yes","Yes","Yes","in paid version [84]","Yes","No","Plugin[Note 31]","Yes","Yes","Yes[85]","The only client to bridge between i2p and the clearnet."
"Xunlei , URL: /wiki/Xunlei
","Yes","No","","Yes","Yes","Yes","Yes","","","Yes","No","Yes","No",""
"BitTorrent client","Cache","Hash Web seeding","HTTP Web seeding","Broad-catching (RSS)","Prioritization","Selective downloads","Sequential downloading","SOCKS","Tracker exchange","Remote control via web","Search engine","Auto updates","Reviews and Comments","Notes"
