"Site","Specialization","Is a tracker","Directory","Public","RSS , URL: /wiki/RSS
","One-click download","Sortable","Comments","Multi-tracker index","DMCA , URL: /wiki/Digital_Millennium_Copyright_Act
","Tor-friendly","Registration"
"1337x , URL: /wiki/1337x
","None","No","Yes","Yes","No","No","Yes","Yes","Yes","No[4]","No","Yes"
"apollo.rip[5]","Music","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Demonoid , URL: /wiki/Demonoid
","None","Yes","Yes","Yes","No","Yes","Yes","Yes","?","?","Yes","?"
"etree , URL: /wiki/Etree
","Live concerts , URL: /wiki/Concert
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?"
"ETTV[6]","None","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"EZTV , URL: /wiki/EZTV
","TV Series , URL: /wiki/TV_Series
","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?"
"HDBits[8]","Movies","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"IPTorrents[9]","None","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Kickass Torrent[10]","None","No","Yes","Yes","No","Yes","No","No","No","No","No","?"
"Limetorrents[11]","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"MkvCage[12]","Movies , URL: /wiki/Film
","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","?"
"MVGroup , URL: /wiki/MVGroup
","Documentary films and educational media","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Nyaa , URL: /wiki/Nyaa_Torrents
","CJK , URL: /wiki/CJK_characters
manga , URL: /wiki/Manga
anime , URL: /wiki/Anime
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","?"
"The Pirate Bay , URL: /wiki/The_Pirate_Bay
","None","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Rarbg , URL: /wiki/Rarbg
","None","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"redacted.ch[5]","Music","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"RevolutionTT[13]","None","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Rutracker.org , URL: /wiki/Rutracker.org
","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?"
"Torlock[15]","None","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No[16]","?",""
"Torrent downloads[17]","None","No","Yes","Yes","No","No","No","Yes","No","No","No","?"
"torrentleech.org[18]","None","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Torrentseeker[19]","Search","No","No","Yes","No","No","Yes","No","No","No","No","?"
"Torrents.me[20]","Search","No","Yes","Yes","No","No","Yes","Yes","No","No","No","?"
"Worldwidetorrents.me[21]","None","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"YourBittorrent , URL: /wiki/YourBittorrent
","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No[22]","No","?"
"YIFY , URL: /wiki/YIFY
","Movies , URL: /wiki/Film
","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?"
"Zooqle[23]","Search","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?"
"Tamil Rockers , URL: /wiki/Tamil_Rockers
","None","?","?","Yes","?","Yes","Yes","Yes","?","Yes","Yes","?"
"Site","Specialization","Is a tracker","Directory","Public","RSS","One-click download","Sortable","Comments","Multi-tracker index","Ignores DMCA","Tor friendly","Registration"
