"Name","Creator","Platform / OS","BPMN Version","Features","Features","Features","Features","Diagramme example","First Release","Latest Release","Open source","Software license"
"","","","","Model processes","Execute processes","Monitor processes","Other","","","","",""
"Activiti , URL: /wiki/Activiti_(software)
","Alfresco Software, Inc. , URL: /wiki/Alfresco_(software)
","Cross-platform , URL: /wiki/Cross-platform
SaaS , URL: /wiki/Software_as_a_service
","BPMN 2.0","Y","Y","Y","Modeler , URL: /wiki/Business_process_modeling#Modeling_and_simulation
Simulation , URL: /wiki/Business_process_modeling#Modeling_and_simulation
Execution , URL: /wiki/Business_process_modeling#Programming_language_tools_for_BPM
","
URL: /wiki/File:Activiti.PNG
//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Activiti.PNG/220px-Activiti.PNG
","2010-05-17[1]","2016-01-29[2]","Yes","Apache License , URL: /wiki/Apache_License
"
"ActiveVOS , URL: /wiki/ActiveVOS
","Informatica","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","Y","Y","","","2005","2014","No","Proprietary , URL: /wiki/Proprietary_software
"
"ADONIS (software) , URL: /wiki/ADONIS_(software)
","BOC Information Technologies Consulting AG","Windows , URL: /wiki/Microsoft_Windows
","BPMN 2.0","Y","Y","Y","","","1995","2015","No","Proprietary / Freeware (requires registration)"
"Alfresco Process Services , URL: /wiki/Alfresco_(software)
","Alfresco Software, Inc. , URL: /wiki/Alfresco_(software)
","Cross-platform , URL: /wiki/Cross-platform
SaaS , URL: /wiki/Software_as_a_service
","BPMN 2.0","Y","Y","Y","","","2017","2018-06-14","No","Subscription. Price based on number of users, computing power and support levels."
"ARIS Express , URL: /wiki/ARIS_Express
","Software AG , URL: /wiki/Software_AG
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Mac , URL: /wiki/MacOS
","BPMN 2.0","Y","","","","
URL: /wiki/File:Aris_Express.PNG
//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Aris_Express.PNG/220px-Aris_Express.PNG
","2009-07-28","2017-06-29","No","Freeware (registration needed)"
"BiZZdesign Architect , URL: /wiki/BiZZdesign_Architect
","BiZZdesign , URL: /wiki/BiZZdesign
","Windows , URL: /wiki/Microsoft_Windows
","BPMN 2.0","Y","Y","Y","ArchiMate , URL: /wiki/ArchiMate
","","2012","2014","No","Proprietary , URL: /wiki/Proprietary_software
"
"Bonita BPM , URL: /wiki/Bonita_BPM
","Bonitasoft","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Mac , URL: /wiki/MacOS
","BPMN 2.0","Y","Y","","Supports several formats (read: BPMN, jBPM, Bonita, XPDL; write: Bonita, BPMN2, PNG, JPG, GIF, PDF, BMP, SVG).","
URL: /wiki/File:Bonita_simple_process.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Bonita_simple_process.png/220px-Bonita_simple_process.png
","2001","2019-10-24[4]","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"Borland Together , URL: /wiki/Borland_Together
","Borland , URL: /wiki/Borland
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Mac , URL: /wiki/MacOS
Solaris , URL: /wiki/Solaris_(operating_system)
","","","","","","","","2009-07-04","No","Proprietary , URL: /wiki/Proprietary_software
"
"Camunda , URL: /wiki/Camunda
","Camunda GmbH","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","Y","Y","BPMN 2.0 import and export, support for DMN 1.3, collaborative BPMN & DMN editing, REST & Java APIs, OpenAPI documentation, orchestration of RPA bots, reporting on processes executed by Camunda or by an external tool","Camunda Platform BPMN model snippet","2013-08-31","2021-04-06[6]","Yes","Apache License 2.0 , URL: /wiki/Apache_License_2.0
"
"Edraw Max , URL: /wiki/Edraw_Max
","EdrawSoft , URL: /w/index.php?title=EdrawSoft&action=edit&redlink=1
","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","Y","Y","","","2010","2015","No","Proprietary , URL: /wiki/Proprietary_software
"
"Enterprise Architect , URL: /wiki/Enterprise_Architect_(software)
","Sparx Systems , URL: /wiki/Sparx_Systems
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Mac , URL: /wiki/MacOS
","BPMN 2.0","Y","Y","Y","","","2000","2019-01","No","Proprietary , URL: /wiki/Proprietary_software
"
"Flowable Modeler , URL: /wiki/Flowable
","Flowable , URL: /wiki/Flowable
","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","Y","Y","","Flowable BPMN model snippet","2017-10-13[8]","2018-05-22[9]","Yes","Apache License , URL: /wiki/Apache_License
"
"IBM BlueWorks Live , URL: /wiki/IBM_BlueWorks_Live
","IBM , URL: /wiki/IBM
","Cloud (browser based)","BPMN 2.0","Y","","","","","","","No","Proprietary , URL: /wiki/Proprietary_software
"
"Rational System Architect , URL: /wiki/Rational_System_Architect
","IBM , URL: /wiki/IBM
","Enterprise Architecture tool","BPMN 2.0+","Y","","","","","","2014, September","No","Proprietary , URL: /wiki/Proprietary_software
"
"Imixs-BPMN , URL: /wiki/Imixs-Workflow
","Imixs","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","Y","","","
URL: /wiki/File:Imixs-bpmn-example01.png
//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Imixs-bpmn-example01.png/220px-Imixs-bpmn-example01.png
","2015","2017[11]","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"jBPM , URL: /wiki/JBPM
","Red Hat , URL: /wiki/Red_Hat
","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","Y","","","","","2019-11-27","Yes","Apache License 2.0 , URL: /wiki/Apache_License_2.0
"
"LucidChart , URL: /wiki/LucidChart
","Lucid Software Inc","Cross-platform , URL: /wiki/Cross-platform
","BPMN 2.0","Y","","","","","2011","updated twice a month","No","Proprietary - 14-day free trial on team accounts / Free professional accounts for educators and students / Free version"
