"Methods and properties","Java","C#"
"Static imports","Yes","Yes[53]"
"Virtual methods","Virtual by default","Non-Virtual by default"
"Abstract , URL: /wiki/Abstraction_(computer_science)
","Yes","Yes"
"Sealing","Yes","Yes"
"Explicit interface implementation","Default methods","Yes[54]"
"Value (input) parameters","Yes","Yes"
"Reference (input/output) parameters","No","Yes"
"Output (output) parameters","No","Yes"
"Constant (immutable) parameters","final , URL: #Constant/immutable_parameters
","Yes[55]"
"Variadic methods , URL: /wiki/Variadic_function
","Yes","Yes"
"Optional arguments","No;[56] Instead method overloading or varargs","Yes"
"Named arguments","Yes; with annotations","Yes"
"Generator methods , URL: /wiki/Generator_(computer_programming)
","No","Yes"
"Extension/default methods","Yes","Yes"
"Conditional methods","No","Yes"
"Partial methods","No","Yes"
