"Server name","License , URL: /wiki/Software_license
","Programming language , URL: /wiki/Programming_language
","RFC 2616 HTTP/1.1","RFC 2617 HTTP auth.","RFC 2518 WebDAV","RFC 3253 WebDAV vers.","RFC 3744 WebDAV ACL","RFC 4324 iCal CAP","RFC 4331 WebDAV quota","RFC 4709 WebDAV mount","RFC 4791 CalDAV","RFC 4918 WebDAV ext.","RFC 5397 WebDAV current principal","RFC 5545 rev. iCal (Availability Check)","RFC 5546 iCal iTIP(Group Scheduling)","RFC 5689 WebDAV ext. MKCOL","RFC 5995 WebDAV POST add member","RFC 6352 CardDAV vCard","RFC 6578 WebDAV sync","RFC 6638 CalDAV sched.(Auto-Schedule)","RFC 7529 iCal RSCALE","RFC 7540 HTTP/2","RFC 7809 CalDAV time zones by ref.","RFC 7953 iCal VAVAILABILITY","Free-busy URL , URL: http://www.calconnect.org/pubdocs/CD0903%20Freebusy%20Read%20URL.pdf
"
"Baïkal[22][23]","GNU GPL , URL: /wiki/GNU_General_Public_License
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Yes","Yes","No","Some","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Unknown","Yes [Note 1]","Unknown","Unknown","Yes"
"Bedework[24]","Apache , URL: /wiki/Apache_License
","Java , URL: /wiki/Java_(programming_language)
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Calendar and Contacts Server , URL: /wiki/Calendar_and_Contacts_Server
","Apache , URL: /wiki/Apache_License
","Python , URL: /wiki/Python_(programming_language)
","Yes","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Calypso[26]","GNU GPL , URL: /wiki/GNU_General_Public_License
","Python , URL: /wiki/Python_(programming_language)
","Yes","Yes","Yes","No","Unknown","No","Unknown","No","Yes","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Cyrus IMAP , URL: /wiki/Cyrus_IMAP
","BSD , URL: /wiki/BSD_licenses
","C , URL: /wiki/C_(programming_language)
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DAViCal , URL: /wiki/DAViCal
","GNU GPL , URL: /wiki/GNU_General_Public_License
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes [Note 1]","Unknown","Yes","Yes"
"DavMail[30]","GNU GPL , URL: /wiki/GNU_General_Public_License
","Java , URL: /wiki/Java_(programming_language)
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Fennel[31]","GNU GPLv3 , URL: /wiki/GNU_GPLv3
","JavaScript , URL: /wiki/JavaScript
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Group-Office , URL: /wiki/Group-Office
","AGPL , URL: /wiki/Affero_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Yes","Yes","Unknown","Some","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Yes [Note 1]","Unknown","Unknown","Unknown"
"Horde Groupware , URL: /wiki/Horde_Groupware
","GNU LGPL , URL: /wiki/GNU_LGPL
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Yes","Yes","No","Some","No","No","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes [Note 1]","No","No","No"
"Nextcloud , URL: /wiki/Nextcloud
","AGPL , URL: /wiki/Affero_General_Public_License
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes [Note 1]","Unknown","Unknown","Unknown"
"Open Xchange , URL: /wiki/Open_Xchange
","GNU GPL , URL: /wiki/GNU_General_Public_License
CC , URL: /wiki/Creative_Commons
","Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ownCloud , URL: /wiki/OwnCloud
","AGPL , URL: /wiki/Affero_General_Public_License
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes [Note 1]","Unknown","Unknown","Unknown"
"Radicale , URL: https://radicale.org
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Python , URL: /wiki/Python_(programming_language)
","Yes","Yes","Some","No","Some","No","Unknown","No","Some","Some","Some","No","Some","No","Unknown","Some","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown"
"SabreDAV , URL: /wiki/SabreDAV
","BSD , URL: /wiki/BSD_licenses
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Unknown","Yes [Note 1]","Unknown","Yes","Unknown"
"SOGo , URL: /wiki/SOGo
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Objective-C , URL: /wiki/Objective-C
","Yes","Yes","Unknown","Unknown","Some[38][39]","Unknown","Unknown","Unknown","Some[40][41]","Unknown","Unknown","Some[42][43][44][45]","Unknown","Unknown","Unknown","Unknown","Some[46]","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Xandikos[47]","GNU GPL , URL: /wiki/GNU_General_Public_License
","Python , URL: /wiki/Python_(programming_language)
","Yes","Yes","Yes","Some","Some","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Yes","No","No","Unknown"
"Zarafa , URL: /wiki/Zarafa_(software)
","AGPL , URL: /wiki/Affero_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","PHP , URL: /wiki/PHP
","Yes [Note 1]","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Read only","Unknown","Unknown","Unknown","Yes [Note 1]","Unknown","Unknown","Unknown"
"Zentyal , URL: /wiki/Zentyal
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Perl , URL: /wiki/Perl
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Meishi[49]","BSD , URL: /wiki/BSD_licenses
","Ruby , URL: /wiki/Ruby_(programming_language)
","Yes","Yes'basic'","Someyes","Someno","Yesmuch of","No","Unknown","No","No","Unknown","Yes","No","No","No","Unknown","Some","Unknown","No","No","Unknown","No","No","Unknown"
