"Blacklist operator","DNS blacklist","Zone","Listing goal","Nomination","Listing lifetime","Notes","Collateral listings","Notifies upon listing"
"Abusix , URL: https://lookup.abusix.com
","combined , URL: https://docs.abusix.com/ami-production-zones/zones-combined
","combined.mail.abusix.zone","Aggregate zone","Aggregate zone","Aggregate Zone","Single lookup that contains results from black, exploit and policy lists","No","No"
"Abusix , URL: https://lookup.abusix.com
","black , URL: https://docs.abusix.com/ami-production-zones/black
","black.mail.abusix.zone","Lists individual IP addresses that have sent mail to spam traps, and some manually-added address blocks.","Mostly automatic with some manual additions","For automated, listings 5.6 days after last event. Manual additions are permanent.","","No","No (but planned)"
"Abusix , URL: https://lookup.abusix.com
","exploit , URL: https://docs.abusix.com/ami-production-zones/exploit
","exploit.mail.abusix.zone","Lists IP addresses behaving in a way that indicates they are compromised, infected, proxies, or VPN or TOR exit nodes.","Automatic","5.6 days after last event","","No","No (but planned)"
"Abusix , URL: https://lookup.abusix.com
","policy , URL: https://docs.abusix.com/ami-production-zones/policy
","dynamic.mail.abusix.zone","Lists IP addresses that should not be connecting directly to MX, such as residential IP addresses etc.","Automatic","Permanent (until delist requested)","Lists ranges that have generic or templated rDNS. Individual IP addresses can be delisted immediately via web.","No","No"
"Abusix , URL: https://lookup.abusix.com
","dblack , URL: https://docs.abusix.com/ami-production-zones/dblack
","dblack.mail.abusix.zone","Lists domains seen in spam hitting traps.","Automatic","5.6 days after last event","Can be used as an RHSBL and a URIBL.","No","No (but planned)"
"Abusix , URL: https://lookup.abusix.com
","nod , URL: https://docs.abusix.com/ami-production-zones/nod
","nod.mail.abusix.zone","Lists domains that are newly observed (first use).","Automatic","25 hours","Based on historical passive DNS data, lists domains first seen in the wild within the last 25 hours).","No","No"
"Abusix , URL: https://lookup.abusix.com
","shorthash , URL: https://docs.abusix.com/ami-production-zones/shorthash
","shorthash.mail.abusix.zone","Lists short URLs (SHA-1 hashed) seen in traps.","Automatic","5.6 days after last event","Created to handle popular shorteners that are misused to hide domains from blacklisting","No","No"
"Abusix , URL: https://lookup.abusix.com
","diskhash , URL: https://docs.abusix.com/ami-production-zones/diskhash
","diskhash.mail.abusix.zone","Lists URLs of online drive services (SHA-1 hashed) seen in traps.","Automatic","5.6 days after last event","Current only listing Google Drive and Yandex Disk URLs that are used to avoid domain blacklisting.","No","No"
"GBUdb , URL: http://www.gbudb.com/
","Truncate , URL: http://www.gbudb.com/truncate/
","truncate.gbudb.net","Extremely conservative list of single IP4 addresses that produce exclusively spam/malware as indicated by the GBUdb IP Reputation system. Most systems should be able to safely reject connections based on this list.","Automatic: IP addresses are added when the GBUdb ""cloud"" statistics reach a probability figure that indicates 95% of messages produce a spam/malware pattern match and a confidence figure that indicates sufficient data to trust the probability data.","Automatic: Continuous while reputation statistics remain bad. Warning: Produces false positives, and has no remedy/removal process. IP addresses are dropped quickly if the statistics improve (within an hour). IP addresses are dropped within 36 hours (typ) if no more messages are seen (dead zombie).","Source data is derived from a global network of Message Sniffer[1] filtering nodes in real-time. Truncate data is updated from statistics every 10 minutes. Warning: Unreliable, as it produces false positives. It is impossible to find additional information or to manually troubleshoot the problem. It is based on results created by their proprietary software running a proprietary algorithm.","No","No"
"Metunet , URL: http://www.metunet.com.tr/
","dnsbl , URL: http://rbl.metunet.com/
","rbl.metunet.com","Single IP4 addresses that produce exclusively spam or malware. Mail service providers are protected.","Automatic","Last activities after one year automatic or delist request by mail spam@metunet.com.tr","Removal requests are quickly and manually reviewed and processed without fees.","No","No"
"Mailspike / Anubisnetworks","mailspike.org , URL: https://Mailspike.org/
","rbl.mailspike.org","IP4 / IPv6 addresses that produce spam or malware.","Automatic","List is updated daily. Reputation is gradually restored after days of good / null activity","Immediate delisting via the website","No","No"
"DNSBL , URL: https://web.archive.org/web/20081110134055/http://dnsbl.invaluement.com/
","ivmSIP , URL: https://web.archive.org/web/20081207064801/http://dnsbl.invaluement.com/ivmsip/
","Paid access via rsync","Single IP addresses which only send UBE. Specializing in snowshoe spam and other 'under the radar' spam which evades many other DNSBLs. Has FP-level comparable to Zen.","Automatic (upon receipt of spam to a real person's mailbox), with extensive whitelists and filtering to prevent false positives","Typically an automatic expiration 11 days after the last abuse was seen, but with some exceptions","Spam samples are always kept on file for each listing. Removal requests are manually reviewed and processed without fees.","No","No"
"DNSBL , URL: https://web.archive.org/web/20081110134055/http://dnsbl.invaluement.com/
","ivmSIP/24 , URL: https://web.archive.org/web/20081013135642/http://dnsbl.invaluement.com/ivmsip24/
","Paid access via rsync","Lists /24 blocks of IP addresses which usually only send UBE and containing at least several addresses which are confirmed emitters of junk mail. Collateral listings are kept to a minimum because subsections are often carved from /24 listings when spammers and legit senders share the same /24 block.","Automatic once at least several IP addresses from a given block are individually listed on ivmSIP, with extensive whitelists and filtering to prevent false positives","Expiration time increases to many weeks as the fraction of IP addresses in the /24 block in question sending junk mail increases.","Removal requests are quickly and manually reviewed and processed without fees.","Yes","No"
"DNSBL , URL: https://web.archive.org/web/20081110134055/http://dnsbl.invaluement.com/
","ivmURI , URL: https://web.archive.org/web/20120505190857/http://dnsbl.invaluement.com/ivmuri/
","Paid access via rsync","Comparable to uribl.com and surbl.org, this is a list of IP addresses and domains which are used by spammers in the clickable links found in the body of spam messages","Automatic (upon receipt of spam to a real person's mailbox), with extensive whitelists and filtering to prevent false positives","Typically an automatic expiration several weeks after the last abuse was seen","Spam samples are always kept on file for each listing. Removal requests are quickly and manually reviewed and processed without fees.","No","No"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","dnsbl , URL: http://www.sorbs.net/
","dnsbl.sorbs.net","Unsolicited bulk/commercial e-mail senders","N/A (See individual zones)","N/A (See individual zones)","SORBS , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","As per component list","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","safe.dnsbl , URL: http://www.sorbs.net/
","safe.dnsbl.sorbs.net","Unsolicited bulk/commercial e-mail senders","N/A (See individual zones)","N/A (See individual zones)","""Safe"" Aggregate zone (all zones in dnsbl.sorbs.net except ""recent"", ""old"", ""spam"" and ""escalations"")","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","http.dnsbl , URL: http://www.sorbs.net/
","http.dnsbl.sorbs.net","HTTP , URL: /wiki/HTTP
","Feeder servers","Until delisting requested","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","socks.dnsbl , URL: http://www.sorbs.net/
","socks.dnsbl.sorbs.net","SOCKS , URL: /wiki/SOCKS
","Feeder servers","Until delisting requested","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","misc.dnsbl , URL: http://www.sorbs.net/
","misc.dnsbl.sorbs.net","Additional proxy servers","Feeder servers","Until delisting requested","Those not already listed in the HTTP or SOCKS databases","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","smtp.dnsbl , URL: http://www.sorbs.net/
","smtp.dnsbl.sorbs.net","SMTP , URL: /wiki/SMTP
","Feeder servers","Until delisting requested","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","web.dnsbl , URL: http://www.sorbs.net/
","web.dnsbl.sorbs.net","FormMail , URL: /wiki/FormMail
","Feeder servers","Until delisting requested or automated expiry","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","new.spam.dnsbl , URL: http://www.sorbs.net/
","new.spam.dnsbl.sorbs.net","Hosts that have sent spam to the SORBS spam traps or administrators in the last 48 hours","SORBS administrators and spam traps","Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net'","","No","Via SORBS Report Manager"
"Spam and Open Relay Blocking System , URL: /wiki/Spam_and_Open_Relay_Blocking_System
","recent.spam.dnsbl , URL: http://www.sorbs.net/
","recent.spam.dnsbl.sorbs.net","Hosts that have sent spam to the SORBS spam traps or administrators in the last 28 days","SORBS administrators and spam traps","Renewed every 20 minutes based inclusion in on 'spam.dnsbl.sorbs.net'","","No","Via SORBS Report Manager"
