"Server","BSD , URL: /wiki/Berkeley_Software_Distribution
","Solaris , URL: /wiki/Solaris_(operating_system)
","Linux , URL: /wiki/Linux
","Mac OS X , URL: /wiki/Mac_OS_X
","Windows , URL: /wiki/Microsoft_Windows
"
"BIND , URL: /wiki/BIND
","Yes","Yes","Yes","Yes","Yes[Note 1]"
"Microsoft DNS , URL: /wiki/Microsoft_DNS
","No","No","No","No","Included[Note 2]"
"djbdns , URL: /wiki/Djbdns
","Yes","Yes","Yes","Yes","No"
"Dnsmasq , URL: /wiki/Dnsmasq
","Yes","Yes","Yes","Yes","No"
"Simple DNS Plus , URL: /wiki/Simple_DNS_Plus
","No","No","No","No","Yes"
"NSD , URL: /wiki/NSD
","Yes","Yes","Yes","Yes","No"
"Knot DNS , URL: /wiki/Knot_DNS
","Yes","No","Yes","Yes","No"
"PowerDNS , URL: /wiki/PowerDNS
","Yes","[6] , URL: http://www.solaris4you.dk/dnsservSS.html
","Yes","Beta , URL: /wiki/Software_release_life_cycle#Beta
","No"
"MaraDNS , URL: /wiki/MaraDNS
","Yes","[7] , URL: http://www.solaris4you.dk/dnsservSS.html
","Yes","Yes","Partial"
"pdnsd , URL: /wiki/Pdnsd
","Yes","Partial[17]","Yes","Yes","No"
"Posadis , URL: /wiki/Posadis
","Yes","Yes","Yes","Yes","[8] , URL: http://posadis.sourceforge.net/
"
"Unbound , URL: /wiki/Unbound_(DNS_Server)
","Yes","Yes","Yes","Yes","Yes"
"Cisco Network Registrar , URL: /wiki/Cisco_Network_Registrar
","No","Yes","Yes","No","Yes"
"YADIFA , URL: /wiki/YADIFA
","Yes","Yes","Yes","Yes","No"
"Secure64 DNS Authority , URL: /wiki/Secure64_DNS
","No","No","Yes","No","No"
"Secure64 DNS Cache , URL: /wiki/Secure64_DNS
","No","No","Yes","No","No"
