"Server","Creator","USD , URL: /wiki/United_States_dollar
","Public source code","Software license , URL: /wiki/Software_license
"
"BIND , URL: /wiki/BIND
","Internet Systems Consortium , URL: /wiki/Internet_Systems_Consortium
","Free","Yes","BSD , URL: /wiki/BSD_license
MPL 2.0 , URL: /wiki/Mozilla_Public_License
"
"Microsoft DNS , URL: /wiki/Microsoft_DNS
","Microsoft , URL: /wiki/Microsoft
","Windows Server , URL: /wiki/Windows_Server
","No","Clickwrap license , URL: /wiki/Clickwrap
"
"djbdns , URL: /wiki/Djbdns
","Daniel J. Bernstein , URL: /wiki/Daniel_J._Bernstein
","Free","Yes","Public domain , URL: /wiki/Public_domain
"
"Dnsmasq , URL: /wiki/Dnsmasq
","Simon Kelley","Free","Yes","GPL , URL: /wiki/GNU_General_Public_License
"
"Simple DNS Plus , URL: /wiki/Simple_DNS_Plus
","JH Software","$79 – $379","No","Clickwrap license , URL: /wiki/Clickwrap
"
"NSD , URL: /wiki/NSD
","NLnet Labs","Free","Yes","BSD , URL: /wiki/BSD_licenses
"
"Knot DNS , URL: /wiki/Knot_DNS
","CZ.NIC , URL: /wiki/CZ.NIC
","Free","Yes","GPL , URL: /wiki/GNU_General_Public_License
"
"PowerDNS , URL: /wiki/PowerDNS
","PowerDNS.COM BV / Bert Hubert","Free","Yes","GPL , URL: /wiki/GNU_General_Public_License
"
"MaraDNS , URL: /wiki/MaraDNS
","Sam Trenholme","Free","Yes","BSD , URL: /wiki/BSD_licenses
"
"pdnsd , URL: /wiki/Pdnsd
","Thomas Moestl and Paul Rombouts","Free","Yes","GPL , URL: /wiki/GNU_General_Public_License
"
"Posadis , URL: /wiki/Posadis
","Meilof Veeningen","Free","Yes","GPL , URL: /wiki/GNU_General_Public_License
"
"Unbound , URL: /wiki/Unbound_(DNS_Server)
","NLnet Labs","Free","Yes","BSD , URL: /wiki/BSD_license
"
"YADIFA , URL: /wiki/YADIFA
","EURid","Free","Yes","BSD , URL: /wiki/BSD_license
"
"Secure64 DNS Authority , URL: /wiki/Secure64_DNS
","Secure64 , URL: /wiki/Secure64
","Unpublished price","No","Clickwrap license , URL: /wiki/Clickwrap
"
"Secure64 DNS Cache , URL: /wiki/Secure64_DNS
","Secure64 , URL: /wiki/Secure64
","Unpublished price","No","Clickwrap license , URL: /wiki/Clickwrap
"
