"Name","First public release date","Creator","Owner or maintainer as of 2021[update]","License"
"86-DOS 0.42 , URL: /wiki/86-DOS_0.42
","1981-02-25","Seattle Computer Products , URL: /wiki/Seattle_Computer_Products
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"86-DOS 1.00 , URL: /wiki/86-DOS_1.00
","1981-04-28","Seattle Computer Products , URL: /wiki/Seattle_Computer_Products
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 1.0 , URL: /wiki/PC_DOS_1.0
","1981-08-12","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 1.1 , URL: /wiki/PC_DOS_1.1
","1982-05-??","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 2.0 , URL: /wiki/PC_DOS_2.0
","1983-03-??","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 2.1 , URL: /wiki/PC_DOS_2.1
","1983-10-??","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 3.0 , URL: /wiki/PC_DOS_3.0
","1984-08-??","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 3.1 , URL: /wiki/PC_DOS_3.1
","1985","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 3.2 , URL: /wiki/PC_DOS_3.2
","1986","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 3.3 , URL: /wiki/PC_DOS_3.3
","1987","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"IBM DOS 4.0 , URL: /wiki/IBM_DOS_4.0
","1988","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"IBM DOS 5.0 , URL: /wiki/IBM_DOS_5.0
","1991","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 6.1 , URL: /wiki/PC_DOS_6.1
PC DOS 6.3 , URL: /wiki/PC_DOS_6.3
","1993","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 7.0 , URL: /wiki/PC_DOS_7.0
","1995","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 2000 , URL: /wiki/PC_DOS_2000
","1998","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"PC DOS 7.10 , URL: /wiki/PC_DOS_7.10
","2003","Microsoft , URL: /wiki/Microsoft
IBM , URL: /wiki/IBM
","Support ended by IBM","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 1.25 , URL: /wiki/MS-DOS_1.25
","1982","Microsoft , URL: /wiki/Microsoft
","Support ended","MIT License , URL: /wiki/MIT_License
"
"Z-DOS 1.25","1982-05-??","Zenith Data Systems , URL: /wiki/Zenith_Data_Systems
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 2.0 , URL: /wiki/MS-DOS_2.0
","1983-03-??","Microsoft","Support ended","MIT License , URL: /wiki/MIT_License
"
"MS-DOS 2.11 , URL: /wiki/MS-DOS_2.11
","1983-12-??","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 3.0 , URL: /wiki/MS-DOS_3.0
","1984","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 3.1 , URL: /wiki/MS-DOS_3.1
","1984","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 3.2 , URL: /wiki/MS-DOS_3.2
","1986","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 3.3 , URL: /wiki/MS-DOS_3.3
","1987","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 4.0 , URL: /wiki/MS-DOS_4.0
","1988","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 5.0 , URL: /wiki/MS-DOS_5.0
","1991","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 6.0 , URL: /wiki/MS-DOS_6.0
","1993","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 6.20 , URL: /wiki/MS-DOS_6.20
","1993","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 6.21 , URL: /wiki/MS-DOS_6.21
","March 1994 [2]","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 6.22 , URL: /wiki/MS-DOS_6.22
","April 1994 [2]","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 7.0 , URL: /wiki/MS-DOS_7.0
Windows , URL: /wiki/Microsoft_Windows
","1995","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 7.10 , URL: /wiki/MS-DOS_7.10
","1996","Microsoft","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"MS-DOS 8.0 , URL: /wiki/MS-DOS_8.0
","2000","Microsoft","Support ended by Microsoft[4]","Proprietary , URL: /wiki/Proprietary_software
"
"DOS Plus 1.1 , URL: /wiki/DOS_Plus_1.1
1.2 , URL: /wiki/DOS_Plus_1.2
","1985","Digital Research , URL: /wiki/Digital_Research
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"DOS Plus 2.1 , URL: /wiki/DOS_Plus_2.1
","1986","Digital Research , URL: /wiki/Digital_Research
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"DR DOS 3.31 , URL: /wiki/DR_DOS_3.31
3.35 , URL: /wiki/DR_DOS_3.35
","1988","Digital Research , URL: /wiki/Digital_Research
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"DR DOS 3.40 , URL: /wiki/DR_DOS_3.40
3.41 , URL: /wiki/DR_DOS_3.41
","1989","Digital Research , URL: /wiki/Digital_Research
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"DR DOS 5.0 , URL: /wiki/DR_DOS_5.0
","1990","Digital Research , URL: /wiki/Digital_Research
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"DR DOS 6.0 , URL: /wiki/DR_DOS_6.0
","1991","Digital Research , URL: /wiki/Digital_Research
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"Novell DOS 7 , URL: /wiki/Novell_DOS_7
","1993","Novell , URL: /wiki/Novell
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"Caldera OpenDOS 7.01 , URL: /wiki/Caldera_OpenDOS_7.01
","1997","Caldera , URL: /wiki/Caldera_(company)
Caldera UK , URL: /wiki/Caldera_UK
","Enhanced DR-DOS , URL: /wiki/Enhanced_DR-DOS
","Partial, free non-commercial use"
"Caldera DR-OpenDOS 7.02 , URL: /wiki/Caldera_DR-OpenDOS_7.02
","1997","Caldera , URL: /wiki/Caldera_(company)
Caldera UK , URL: /wiki/Caldera_UK
","","Partial, free non-commercial use"
"Caldera DR-DOS 7.02 , URL: /wiki/Caldera_DR-DOS_7.02
","1998","Caldera , URL: /wiki/Caldera_(company)
Caldera UK , URL: /wiki/Caldera_UK
","Proprietary , URL: /wiki/Proprietary_software
",""
"Caldera DR-DOS 7.03 , URL: /wiki/Caldera_DR-DOS_7.03
","1999, 1998 prereleased","Caldera Thin Clients , URL: /wiki/Caldera_Thin_Clients
Lineo , URL: /wiki/Lineo
","Proprietary , URL: /wiki/Proprietary_software
","DRDOS, Inc."
"DR-DOS 8.0","2004","DeviceLogics , URL: /wiki/DeviceLogics
","Proprietary , URL: /wiki/Proprietary_software
","Support ended"
"DR-DOS 8.1[5]","2005","DRDOS, Inc.","Proprietary , URL: /wiki/Proprietary_software
","Support ended"
"FreeDOS 1.0 , URL: /wiki/FreeDOS_1.0
","2006-09-03","Jim Hall , URL: /wiki/Jim_Hall_(programmer)
","The FreeDOS Project","GPL , URL: /wiki/GNU_General_Public_License
"
"FreeDOS 1.1 , URL: /wiki/FreeDOS_1.1
","2012-01-02","Jim Hall , URL: /wiki/Jim_Hall_(programmer)
","The FreeDOS Project","GPL , URL: /wiki/GNU_General_Public_License
"
"FreeDOS 1.2 , URL: /wiki/FreeDOS_1.2
","2016-12-25","Jim Hall , URL: /wiki/Jim_Hall_(programmer)
","The FreeDOS Project","GPL , URL: /wiki/GNU_General_Public_License
"
"PTS-DOS 6.4 , URL: /wiki/PTS-DOS_6.4
","1993","PhysTechSoft , URL: /wiki/PhysTechSoft
","PhysTechSoft","Proprietary , URL: /wiki/Proprietary_software
"
"PTS-DOS 6.5 , URL: /wiki/PTS-DOS_6.5
","?","PhysTechSoft , URL: /wiki/PhysTechSoft
","PhysTechSoft","Proprietary , URL: /wiki/Proprietary_software
"
"PTS-DOS 6.6 , URL: /wiki/PTS-DOS_6.6
","?","PhysTechSoft , URL: /wiki/PhysTechSoft
","PhysTechSoft","Proprietary , URL: /wiki/Proprietary_software
"
"PTS-DOS 2000 , URL: /wiki/PTS-DOS_2000
","?","PhysTechSoft , URL: /wiki/PhysTechSoft
","PhysTechSoft","Proprietary , URL: /wiki/Proprietary_software
"
"PTS-DOS 32 (7.0)","?","PhysTechSoft , URL: /wiki/PhysTechSoft
","PhysTechSoft","Proprietary , URL: /wiki/Proprietary_software
"
"PTS-DOS 6.51 , URL: /wiki/PTS-DOS_6.51
","ca. 1995","Paragon Technology Systems , URL: /wiki/Paragon_Technology_Systems
","Paragon Technology Systems","Proprietary , URL: /wiki/Proprietary_software
"
"Paragon DOS 2000 Pro , URL: /wiki/Paragon_DOS_2000_Pro
","?","Paragon Technology Systems , URL: /wiki/Paragon_Technology_Systems
","Paragon Technology Systems","Proprietary , URL: /wiki/Proprietary_software
"
"ROM-DOS 6.22 , URL: /wiki/ROM-DOS_6.22
","?","Datalight , URL: /wiki/Datalight
","Datalight","Proprietary , URL: /wiki/Proprietary_software
"
"ROM-DOS 7.1 , URL: /wiki/ROM-DOS_7.1
","?","Datalight , URL: /wiki/Datalight
","Datalight","Proprietary , URL: /wiki/Proprietary_software
"
"Embedded DOS , URL: /wiki/Embedded_DOS
","?","General Software , URL: /wiki/General_Software
","General Software","Proprietary , URL: /wiki/Proprietary_software
"
"DIP DOS 2.11 , URL: /wiki/DIP_DOS_2.11
","1989","DIP Research , URL: /wiki/DIP_Research
Atari Corporation , URL: /wiki/Atari_Corporation
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
"RxDOS , URL: /wiki/RxDOS
","1994","Michael Podanoffsky","Support ended","GPL , URL: /wiki/GNU_General_Public_License
"
"SISNE plus , URL: /wiki/SISNE_plus
","?","Itautec , URL: /wiki/Itautec
Scopus Tecnologia , URL: /w/index.php?title=Scopus_Tecnologia&action=edit&redlink=1
","Support ended","Proprietary , URL: /wiki/Proprietary_software
"
