"null","null","null","null","null","null","null"
"null","null","null","null","null","null","null"
"Daniel Stenberg","1998","7.82.0[2]","2022-03-05","curl","Yes","CLI"
"David V. Kocher","2001","8.0.1[3]","2021-11-03","GPL-3.0-or-later","Yes","GUI and CLI"
"Eugene Roshal / FAR Group","1996","3.0.5757","2021-03-10","BSD-3-Clause","Yes","TUI"
"Community","2001 (January)","3.58.0[4]","2022-02-11","GPL-2.0-or-later","Yes","GUI"
"Mime Čuvalo","2004 (September)","2.0.32[5]","2019-02-01","MPL-1.1, Charityware","Yes (since version 2.0.5)","Waterfox, Firefox pre-version 57 addon"
"University of Michigan Research Systems Unix Group","2003","1.2.0[6]","2005-05-02","Fugu[7]","?","GUI"
"Brian Masney","1998","2.0.19[8]","2008-11-30","GPL-2.0-or-later","Yes","GTK+"
"Alexander V. Lukyanov","1996 (August)","4.9.2[9]","2020-08-13","GPL-3.0-or-later","Yes","CLI"
"Michael Gorbach","0 ?","2.0.4[10]","2010-12-03","Apache-2.0","?","GUI"
"NcFTP Software Inc.","1991","3.2.6[11]","2016-11-27","ClArtistic","Yes","CLI"
"David C. Gartner","2003 (January)","1.3[12]","2019-07-15","GPL-2.0-or-later","?","Web application"
"Nick Craig-Wood","2014 (July)","1.57.0[13]","2021-11-01","MIT","Yes","CLI"
"Luke Mewburn","1999","20210827[14]","2021-08-27","BSD-4-Clause","Yes","CLI"
"Martin Přikryl","2000","5.19.5[15]","2021-11-25","GPL-3.0-only","Yes","GUI and CLI"
