"v t e Nuclear power in Japan","v t e Nuclear power in Japan","v t e Nuclear power in Japan"
"Energy in Japan Nuclear power","Energy in Japan Nuclear power","Energy in Japan Nuclear power"
"Reactors , URL: /wiki/List_of_nuclear_reactors#Japan
","LWR , URL: /wiki/Light_water_reactor
","Hokkaido , URL: /wiki/Hokkaido_Electric_Power_Company

Tomari

Tohoku , URL: /wiki/Tohoku_Electric_Power

Onagawa Higashidōri

TEPCO , URL: /wiki/Tokyo_Electric_Power_Company

Fukushima Daiichi Fukushima Daini Kashiwazaki-Kariwa

Chubu , URL: /wiki/Chubu_Electric_Power

Hamaoka

Hokuriku , URL: /wiki/Hokuriku_Electric_Power_Company

Shika

Kansai , URL: /wiki/Kansai_Electric_Power_Company

Ōi Mihama Takahama

Chugoku , URL: /wiki/Chugoku_Electric_Power_Company

Shimane

Shikoku , URL: /wiki/Shikoku_Electric_Power

Ikata

Kyushu , URL: /wiki/Kyushu_Electric_Power

Sendai Genkai

JAPC , URL: /wiki/Japan_Atomic_Power_Company

Tōkai Tsuruga


"
"Reactors , URL: /wiki/List_of_nuclear_reactors#Japan
","Closed","Fugen ATR Monju prototype fast (breeder) reactor"
"Reactors , URL: /wiki/List_of_nuclear_reactors#Japan
","Canceled","Maki Namie-Odaka"
"Reactors , URL: /wiki/List_of_nuclear_reactors#Japan
","Under construction","Ōma"
"Reactors , URL: /wiki/List_of_nuclear_reactors#Japan
","Other","Jōyō research fast reactor"
"Organisations","Regulatory bodies","Japanese Atomic Energy Commission(JAEC) Nuclear Regulation Authority(NRA) formerly Japan's NSC and NISA"
"Organisations","Companies","Hitachi Toshiba Mitsubishi FBR Systems Japan Nuclear Fuel Limited JCO"
"Organisations","Research institutions","Japan Atomic Energy Agency(JAEA) Dōnen (abolished)"
"Organisations","Other","Japan Electric Association(JEA) membership organization Rokkasho reprocessing"
"Accidents","Fukushima Daiichi nuclear disaster Tokaimura nuclear accident Mihama nuclear accidents Japanese nuclear incidents","Fukushima Daiichi nuclear disaster Tokaimura nuclear accident Mihama nuclear accidents Japanese nuclear incidents"
"Anti-nuclear movement , URL: /wiki/Anti-nuclear_power_movement_in_Japan
","Ashes to Honey Japanese Communist Party Genpatsu-shinsai Mizuho Fukushima Katsumi Furitsu Nobuto Hosaka Tetsunari Iida Kiyoshiro Imawano Project Sunshine for Japan Sanshiro Kume Kenzaburō Ōe Rokkasho Rhapsody Ryuichi Sakamoto Sayonara Nuclear Power Plants Jinzaburo Takagi","Ashes to Honey Japanese Communist Party Genpatsu-shinsai Mizuho Fukushima Katsumi Furitsu Nobuto Hosaka Tetsunari Iida Kiyoshiro Imawano Project Sunshine for Japan Sanshiro Kume Kenzaburō Ōe Rokkasho Rhapsody Ryuichi Sakamoto Sayonara Nuclear Power Plants Jinzaburo Takagi"
"Category Commons","Category Commons","Category Commons"
