"Specification","HTML 3.2 , URL: /wiki/HTML_3.2
","HTML 4.01 , URL: /wiki/HTML_4.01
","HTML 4.01 , URL: /wiki/HTML_4.01
","HTML 4.01 , URL: /wiki/HTML_4.01
","HTML 5 , URL: /wiki/HTML_5
","XHTML 1.0 , URL: /wiki/XHTML_1.0
","XHTML 1.0 , URL: /wiki/XHTML_1.0
","XHTML 1.0 , URL: /wiki/XHTML_1.0
","XHTML 1.1 , URL: /wiki/XHTML_1.1
","Validating"
"Variant","","strict","trans.","f.set","","strict","trans.","f.set","",""
"Amaya , URL: /wiki/Amaya_(web_browser)
","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"Aptana , URL: /wiki/Aptana
","?","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?"
"Arachnophilia , URL: /wiki/Arachnophilia
","?","?","?","?","No","Yes","?","?","?","Yes"
"Bluefish , URL: /wiki/Bluefish_(text_editor)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[14]"
"BlueGriffon , URL: /wiki/BlueGriffon
","No","Yes","Yes","?","Yes","Yes","Yes","?","?","?"
"Brackets , URL: /wiki/Adobe_Brackets
","?","?","?","?","Yes","?","?","?","?","?"
"Claris Homepage , URL: /wiki/Claris_Homepage
","?","?","?","?","No","?","?","?","?","?"
"Codelobster , URL: /wiki/Codelobster
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CoffeeCup HTML Editor , URL: /wiki/CoffeeCup_HTML_Editor
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Contribute","?","?","?","?","?","?","?","?","?","?"
"Dreamweaver , URL: /wiki/Dreamweaver
","Yes","Yes","Yes","Yes","Yes [15]","Yes","Yes","Yes","Yes","Yes"
"Freeway , URL: /wiki/Freeway_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"GoLive , URL: /wiki/Adobe_GoLive
","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","?"
"HTML-Kit , URL: /wiki/HTML-Kit
","?","?","Yes","?","No","?","Yes","?","?","Yes"
"LibreOffice , URL: /wiki/LibreOffice
","?","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?"
"KompoZer , URL: /wiki/KompoZer
","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes"
"Maqetta , URL: /wiki/Maqetta
","?","?","?","?","Yes","?","?","?","?","?"
"Microsoft Expression Web , URL: /wiki/Microsoft_Expression_Web
","No","Yes","Yes","Yes","Yes[16]","Yes","Yes","Yes","Yes","Yes"
"Microsoft FrontPage , URL: /wiki/Microsoft_FrontPage
","?","?","?","?","No","?","?","?","?","?"
"Microsoft SharePoint Designer , URL: /wiki/Microsoft_SharePoint_Designer
","?","?","?","?","No","?","?","?","?","?"
"Microsoft Visual Web Developer , URL: /wiki/Microsoft_Visual_Web_Developer
","?","?","?","?","No","?","?","?","?","?"
"Mozilla Composer , URL: /wiki/Mozilla_Composer
","?","?","?","?","No","?","?","?","?","?"
"openElement , URL: /wiki/OpenElement
","?","?","?","?","Yes","?","?","?","?","Yes"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","?","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?"
"oXygenXML Editor , URL: /wiki/Oxygen_XML_Editor
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quanta Gold , URL: /wiki/Quanta_Plus
","?","?","?","?","No","?","?","?","?","?"
"Quanta Plus , URL: /wiki/Quanta_Plus
","?","?","?","?","No","?","?","?","?","?"
"RocketCake , URL: /wiki/RocketCake
","?","?","Yes","?","Yes","?","?","?","?","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TOWeb , URL: /wiki/TOWeb
","No","No","No","No","Yes","No","No","No","No","Yes"
"Web Architect","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[17]"
"WebStorm , URL: /wiki/WebStorm
","?","?","?","?","Yes","?","?","?","?","?"
"Variant","","strict","trans.","f.set","","strict","trans.","f.set","",""
"Specification","HTML 3.2 , URL: /wiki/HTML_3.2
","HTML 4.01 , URL: /wiki/HTML_4.01
","HTML 4.01 , URL: /wiki/HTML_4.01
","HTML 4.01 , URL: /wiki/HTML_4.01
","HTML 5 , URL: /wiki/HTML_5
","XHTML 1.0 , URL: /wiki/XHTML_1.0
","XHTML 1.0 , URL: /wiki/XHTML_1.0
","XHTML 1.0 , URL: /wiki/XHTML_1.0
","XHTML 1.1 , URL: /wiki/XHTML_1.1
","Validating"
