"Client","386BSD , URL: /wiki/386BSD
","BSD/OS , URL: /wiki/BSD/OS
","FreeBSD , URL: /wiki/FreeBSD
NetBSD , URL: /wiki/NetBSD
OpenBSD , URL: /wiki/OpenBSD
","SunOS , URL: /wiki/SunOS
","ULTRIX , URL: /wiki/ULTRIX
","AIX , URL: /wiki/AIX
","A/UX , URL: /wiki/A/UX
","HP-UX , URL: /wiki/HP-UX
","IRIX , URL: /wiki/IRIX
","SCO OpenServer , URL: /wiki/SCO_OpenServer
","Solaris , URL: /wiki/Solaris_(operating_system)
","UnixWare , URL: /wiki/UnixWare
","Linux , URL: /wiki/Linux
","NeXTSTEP , URL: /wiki/NeXTSTEP
","OpenVMS , URL: /wiki/OpenVMS
","OSF/1 , URL: /wiki/OSF/1
","QNX , URL: /wiki/QNX
","Tru64 UNIX , URL: /wiki/Tru64_UNIX
"
"Bersirc , URL: /wiki/Bersirc
","?","?","?","?","?","?","?","?","?","?","?","?","Yes","?","No","?","?","?"
"BitchX , URL: /wiki/BitchX
","?","Yes[Note 1]","Yes[Note 1]","Yes[Note 1]","Yes[Note 1]","Yes[Note 1]","?","Yes[Note 1]","Yes[Note 1]","?","Yes[Note 1]","Yes","Yes[Note 1]","Yes","?","Yes[Note 1]","Yes[Note 1]","?"
"ChatZilla , URL: /wiki/ChatZilla
","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"Colloquy , URL: /wiki/Colloquy_(software)
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"degesch","?","?","Yes","?","?","?","?","?","?","?","?","?","Yes","?","?","?","?","?"
"DMDIrc","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ERC , URL: /wiki/ERC_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HexChat , URL: /wiki/HexChat
","?","?","Yes","Yes","?","Yes","?","Yes","Yes","?","Yes","?","Yes","?","?","?","?","Yes"
"HydraIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"IceChat , URL: /wiki/IceChat
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"IRCCloud","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ircII , URL: /wiki/IrcII
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes"
"IRCjr","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ircle , URL: /wiki/Ircle
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Irssi , URL: /wiki/Irssi
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"KiwiIRC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Konversation , URL: /wiki/Konversation
","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","Yes"
"KVIrc , URL: /wiki/KVIrc
","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?"
"LeafChat , URL: /wiki/LeafChat
","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"LimeChat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Linkinus , URL: /wiki/Linkinus
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Mibbit , URL: /wiki/Mibbit
","?","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes"
"mIRC , URL: /wiki/MIRC
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Nettalk , URL: /wiki/Nettalk_(IRC_client)
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"PIRCH , URL: /wiki/PIRCH_(IRC_client)
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"PJIRC , URL: /wiki/PJIRC
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quassel , URL: /wiki/Quassel_IRC
","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?"
"qwebirc","?","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes"
"rcirc , URL: /wiki/Rcirc
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Smuxi , URL: /wiki/Smuxi
","?","?","Yes","?","?","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?"
"Snak , URL: /wiki/Snak
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Visual IRC , URL: /wiki/Visual_IRC
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"WeeChat , URL: /wiki/WeeChat
","?","?","Yes[Note 2]","?","?","?","?","Yes","Partial[Note 3]","?","Yes[Note 2]","?","Yes","?","?","?","Yes[Note 2]","?"
"Client","386BSD","BSD/OS (BSD/386, BSDI)","FreeBSD, NetBSD, OpenBSD","SunOS","ULTRIX","AIX","A/UX","HP-UX","IRIX","SCO OpenServer","Solaris","UnixWare","Linux","NeXTSTEP","OpenVMS","OSF/1","QNX","Tru64 UNIX"
