"Client , URL: /wiki/Client_(computing)
","CHAT , URL: /wiki/Direct_Client-to-Client#DCC_CHAT
","Whiteboard , URL: /wiki/Direct_Client-to-Client#DCC_Whiteboard
","SEND , URL: /wiki/Dcc_send
","RESUME , URL: /wiki/Direct_Client-to-Client#DCC_RESUME
","TSEND , URL: /wiki/Direct_Client-to-Client#DCC_TSEND
","SEND T , URL: /wiki/Direct_Client-to-Client#DCC_SEND_T
","XMIT , URL: /wiki/Direct_Client-to-Client#DCC_XMIT
","Passive DCC , URL: /wiki/Direct_Client-to-Client#Passive_DCC
","Server , URL: /wiki/Direct_Client-to-Client#DCC_Server
","RDCC , URL: /wiki/Direct_Client-to-Client#RDCC
","REVERSE , URL: /wiki/Direct_Client-to-Client#DCC_REVERSE
","RSEND , URL: /wiki/Direct_Client-to-Client#DCC_RSEND
","Reverse / Firewall DCC , URL: /wiki/Direct_Client-to-Client#Reverse_/_Firewall_DCC
","File servers (FSERVs) , URL: /wiki/Direct_Client-to-Client#File_servers_(FSERVs)
","XDCC , URL: /wiki/XDCC
","VOICE , URL: /wiki/Direct_Client-to-Client#DCC_VOICE
"
"Bersirc , URL: /wiki/Bersirc
","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"BitchX , URL: /wiki/BitchX
","Yes","No","Yes","Yes","Yes","Yes","?","No","No","?","?","?","?","?","Yes","?"
"ChatZilla , URL: /wiki/ChatZilla
","Yes","No","Yes","No[49]","?","?","No","No[Note 1]","No","No","No","No","No","No","?","?"
"Colloquy , URL: /wiki/Colloquy_(IRC_client)
","Yes","?","Yes","Yes","?","?","?","Yes","No","?","?","?","?","?","Yes","?"
"degesch","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"DMDirc","Yes","No","Yes","Yes","?","?","No","Yes","No","No","No","No","Yes","No","No","?"
"ERC , URL: /wiki/ERC_(software)
","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"HexChat , URL: /wiki/HexChat
","Yes","No","Yes","Yes","?","?","?","Yes","?","?","?","?","?","?","Yes","?"
"HydraIRC","Yes","No","Yes","Yes","?","?","No","?","?","?","?","?","?","No","No","?"
"IceChat , URL: /wiki/IceChat
","Yes","No","Yes","?","?","?","No","?","?","?","?","?","?","No","No","?"
"IRCCloud","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ircII , URL: /wiki/IrcII
","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"IRCjr","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Ircle , URL: /wiki/Ircle
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Irssi , URL: /wiki/Irssi
","Yes","No","Yes","Yes","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"KiwiIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Konversation , URL: /wiki/Konversation
","Yes","Yes","Yes","Yes","?","?","?","Yes","No","?","?","?","Yes","?","Yes","?"
"KVIrc , URL: /wiki/KVIrc
","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes[Note 2]","Yes[Note 2]","Yes[Note 3]"
"LimeChat","?","?","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"Linkinus , URL: /wiki/Linkinus
","?","?","?","?","?","?","?","Yes","No","?","?","?","?","?","?","?"
"Mibbit , URL: /wiki/Mibbit
","No","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"mIRC , URL: /wiki/MIRC
","Yes","?","Yes","Yes[Note 4]","?","?","?","Yes","Yes","Yes[Note 5]","?","?","Yes","Yes","Yes[Note 5]","?"
"Nettalk , URL: /wiki/Nettalk_(IRC_client)
","Yes","No","Yes","Yes","No","No","No","No","Partial","No","No","No","No","?","?","?"
"PIRCH , URL: /wiki/PIRCH_(IRC_client)
","Yes","No","Yes","Yes[Note 4]","?","?","No","No","No","No","No","No","No","No","No","?"
"PJIRC , URL: /wiki/PJIRC
","Yes","No","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
"Quassel , URL: /wiki/Quassel_IRC
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"qwebirc","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"rcirc , URL: /wiki/Rcirc
","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Smuxi , URL: /wiki/Smuxi
","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"Snak , URL: /wiki/Snak
","Yes","?","Yes","Yes","?","Yes","?","No","No","?","?","?","?","?","?","?"
"Visual IRC , URL: /wiki/Visual_IRC
","?","Yes","?","Yes[Note 4]","?","?","?","Yes","No","?","?","?","Yes","?","?","Yes[Note 3]"
"WeeChat , URL: /wiki/WeeChat
","Yes","?","Yes","?","?","?","?","No","No","?","?","?","?","?","Yes","?"
