"","Creator","Latest release date","Current stable version","Programming language , URL: /wiki/Programming_language
","License"
"bbPress , URL: /wiki/BbPress
","WordPress Foundation","2020-11-20","2.6.6","PHP , URL: /wiki/PHP
","GPL , URL: /wiki/GNU_General_Public_License
"
"Beehive Forum , URL: /wiki/Beehive_Forum
","Project Beehive Forum Developers","2016-11-05","1.5.2","PHP , URL: /wiki/PHP
","GPL , URL: /wiki/GNU_General_Public_License
"
"Discourse , URL: /wiki/Discourse_(software)
","Civilized Discourse Construction Kit, Inc.","2022-02-14[±]","2.8.1[6]","Ruby , URL: /wiki/Ruby_(programming_language)
JavaScript , URL: /wiki/JavaScript
","GPL , URL: /wiki/GNU_General_Public_License
"
"Discuz! , URL: /wiki/Discuz!
","Comsenz Inc.","2018-01-01","X3.4","PHP , URL: /wiki/PHP
","EULA , URL: /wiki/EULA
proprietary , URL: /wiki/Proprietary_software
gratis , URL: /wiki/Gratis_versus_libre
"
"FluxBB , URL: /wiki/FluxBB
","FluxBB.org Developers","2018-12-31","1.5.11","PHP , URL: /wiki/PHP
","GPL , URL: /wiki/GNU_General_Public_License
"
"FUDforum , URL: /wiki/FUDforum
","Advanced Internet Designs Inc.","2021-04-17","3.1.1","PHP , URL: /wiki/PHP
","GPL , URL: /wiki/GNU_General_Public_License
"
"Ikonboard , URL: /wiki/Ikonboard
","Matt Mecham (original creator) Joshua Johnson","2012-10-19","3.1.5A","Perl , URL: /wiki/Perl
","Proprietary , URL: /wiki/Proprietary_software
"
"Invision Power Board , URL: /wiki/Invision_Power_Board
","Invision Power Services Inc. , URL: /wiki/Invision_Power_Services
","2020-02-04","4.4.10","PHP , URL: /wiki/PHP
","Proprietary , URL: /wiki/Proprietary_software
"
"MyBB , URL: /wiki/MyBB
","MyBB Group","2021-10-30","1.8.29[13]","PHP , URL: /wiki/PHP
","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
BSD , URL: /wiki/BSD_License
"
"Phorum , URL: /wiki/Phorum
","Brian Moon","2017-08-23","5.2.23","PHP , URL: /wiki/PHP
","BSD , URL: /wiki/BSD_licenses
"
"phpBB , URL: /wiki/PhpBB
","phpBB Ltd. , URL: /wiki/PhpBB
","2021-10-03","3.3.5","PHP , URL: /wiki/PHP
","GPL , URL: /wiki/GNU_General_Public_License
"
"PunBB , URL: /wiki/PunBB
","PunBB","2015-10-14","1.4.4","PHP , URL: /wiki/PHP
","GPL , URL: /wiki/GNU_General_Public_License
"
"Simple Machines Forum[18]","Simple Machines","2022-02-09[18]","2.1.0[18]","PHP , URL: /wiki/PHP
","BSD License , URL: /wiki/BSD_License
"
"Syndie , URL: /wiki/Syndie
","I2P , URL: /wiki/I2P
","2014-08-14","1.107b","Java , URL: /wiki/Java_(programming_language)
","Open source, multiple licenses"
"Thredded[20]","Joel Oliveira, Gleb Mazovetskiy, et al.","2019-08-17","0.16.13","Ruby , URL: /wiki/Ruby_(programming_language)
","MIT , URL: /wiki/MIT_License
"
"Vanilla Forums , URL: /wiki/Vanilla_Forums
","Vanilla Forums , URL: /wiki/Vanilla_Forums
","2019-07-09","3.1","PHP , URL: /wiki/PHP
","Proprietary , URL: /wiki/Proprietary_software
GPL , URL: /wiki/GNU_General_Public_License
"
"vBulletin , URL: /wiki/VBulletin
","vBulletin Solutions Inc.","2021-10-21","5.6.5","PHP , URL: /wiki/PHP
","Proprietary , URL: /wiki/Proprietary_software
"
"XenForo , URL: /wiki/XenForo
","XenForo Limited, Kier Darby, Mike Sullivan","2021-12-02","2.2.8","PHP , URL: /wiki/PHP
","Proprietary , URL: /wiki/Proprietary_software
"
"","Creator","Latest release date","Current stable version","Programming language , URL: /wiki/Programming_language
","License"
