"Library Name","License , URL: /wiki/Software_license
","Free","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Bar Chart , URL: /wiki/Bar_chart
","Other Features","Other Features","Interactivity , URL: /wiki/Event_(computing)
","Interactivity , URL: /wiki/Event_(computing)
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","Rendering , URL: /wiki/Rendering_(computer_graphics)
","Databinding","HTML 5 Canvas"
"Library Name","License , URL: /wiki/Software_license
","Free","Line , URL: /wiki/Line_chart
","Timeline","Scatter , URL: /wiki/Scatter_plot
","Area , URL: /wiki/Area_chart
","Pie , URL: /wiki/Pie_chart
","Donut , URL: /wiki/Donut_chart#Doughnut_chart
","Bullet , URL: /wiki/Bullet_graph
","Radar , URL: /wiki/Radar_chart
","Funnel , URL: /wiki/Funnel_chart
","Gantt , URL: /wiki/Gantt_chart
","Network , URL: /wiki/Graph_theory
","Grouped","Mind Mapping","Stacked","Negative","Discrete","Horizontal","3D","Legends , URL: /wiki/Legend_(chart)
","Animation","Mouse Over","onClick","HTML5 Canvas , URL: /wiki/Canvas_element
","SVG , URL: /wiki/Scalable_Vector_Graphics
","VML , URL: /wiki/Vector_Markup_Language
","AxisXY , URL: /w/index.php?title=Databinding_on_both_AXIS_x_and_y&action=edit&redlink=1
","WebGL rendering , URL: /wiki/Web_Graphics_Library
"
"amCharts , URL: http://www.amcharts.com
","Proprietary , URL: /wiki/Proprietary_software
","Free with a link [1] or commercial[2]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes[3]","Yes","",""
"AnyChart , URL: http://www.anychart.com
","Proprietary , URL: /wiki/Proprietary_software
","Free for education and non-profit use.[4] Paid for commercial applications.[5]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","Yes","Yes",""
"ApexCharts , URL: https://www.apexcharts.com
","MIT[6]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","",""
"billboard.js , URL: https://naver.github.io/billboard.js/
","MIT[7]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","Yes",""
"C3.js , URL: http://c3js.org
","MIT[8]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","Yes",""
"CanvasJS , URL: https://canvasjs.com
","Proprietary , URL: /wiki/Proprietary_software
","Free for Personal, Educational and Non-Commercial Uses","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes[10]","No","No","Yes",""
"canvasXpress , URL: https://canvasxpress.org
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes[12]","Yes","Yes[13]","",""
"Chartist , URL: https://gionkunz.github.io/chartist-js
","WTFPL[14] or MIT[15]","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","No","","Yes","Yes","No","Yes","No","",""
"Chart.js , URL: http://www.chartjs.org
","MIT[16]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","No","No","No",""
