"v t e Web frameworks","v t e Web frameworks"
"Comparison","Comparison"
".NET , URL: /wiki/.NET_Framework
","ASP.NET Core AJAX Dynamic Data MVC Razor Web Forms Blazor DNN BFC MonoRail OpenRasta Umbraco WebSharper"
"C++ , URL: /wiki/C%2B%2B
","CppCMS Drogon Pistache Wt"
"ColdFusion , URL: /wiki/Adobe_ColdFusion
","CFWheels ColdBox Platform ColdSpring Fusebox Model-Glue"
"Common Lisp , URL: /wiki/Common_Lisp
","CL-HTTP"
"Haskell , URL: /wiki/Haskell_(programming_language)
","Yesod Snap"
"Java , URL: /wiki/Java_(software_platform)
","AppFuse Flexive Grails GWT ICEfaces ItsNat JHipster Jspx JWt Mojarra Play Remote Application Platform RIFE Seam Sling Spring Stripes Struts Tapestry Vaadin Vert.x Wicket WaveMaker ZK"
"JavaScript , URL: /wiki/JavaScript
","Angular/AngularJS Backbone.js Chaplin.js Closure Dojo Toolkit Ember.js Express.js Ext JS jQuery Knockout.js Meteor MooTools Node.js OpenUI5 Prototype React Sencha Touch SproutCore Svelte Vue.js Wakanda"
"Perl , URL: /wiki/Perl
","Catalyst Dancer Mason Maypole Mojolicious WebGUI"
"PHP , URL: /wiki/PHP
","CakePHP CodeIgniter Drupal Fat-Free FuelPHP Flow Grav Gyroscope Horde Joomla Kohana Laminas Laravel Lithium Midgard MODX Nette Phalcon PHP-Fusion Pop PHP PRADO ProcessWire Qcodo Silex SilverStripe Symfony TYPO3 WordPress XOOPS Yii"
"Python , URL: /wiki/Python_(programming_language)
","BlueBream Bottle CherryPy CubicWeb Django FastAPI Flask Grok Nevow Pyjs Pylons Pyramid Quixote TACTIC Tornado TurboGears web2py Webware Zope 2 more..."
"Ruby , URL: /wiki/Ruby_(programming_language)
","Camping Merb Padrino Ruby on Rails Sinatra"
"Rust , URL: /wiki/Rust_(programming_language)
","Rocket"
"Scala , URL: /wiki/Scala_(programming_language)
","Lift Play Scalatra"
"Smalltalk , URL: /wiki/Smalltalk
","AIDA/Web Seaside"
"Other languages","Application Express (PL/SQL) Grails (Groovy) OpenACS (Tcl) Phoenix (Elixir) SproutCore (JavaScript-Ruby) Yaws (Erlang)"
