"Lemmings","Lemmings"
"
URL: /wiki/File:Lemmings-BoxScan.jpg
//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Lemmings-BoxScan.jpg/220px-Lemmings-BoxScan.jpg
","
URL: /wiki/File:Lemmings-BoxScan.jpg
//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Lemmings-BoxScan.jpg/220px-Lemmings-BoxScan.jpg
"
"Developer(s) , URL: /wiki/Video_game_developer
","DMA Design Sunsoft (SNES, SMD) Probe (GG, SMS) Psygnosis (CPC, 3DO, ZX) Ocean Software (NES)"
"Publisher(s) , URL: /wiki/Video_game_publisher
","Psygnosis Sunsoft (SNES, SMD, NES) Sega (GG, SMS) Atari Corporation (LYNX) Ocean Software (GB) Philips Media (CD-i)"
"Designer(s) , URL: /wiki/Video_game_designer
","David Jones , URL: /wiki/David_Jones_(video_game_developer)
"
"Programmer(s) , URL: /wiki/Video_game_programmer
","David Jones Russell Kay Mike Dailly"
"Artist(s) , URL: /wiki/Video_game_artist
","Mike Dailly Gary Timmons Scott Johnston"
"Composer(s) , URL: /wiki/Video_game_composer
","Tim Wright Brian Johnston"
"Platform(s) , URL: /wiki/Computing_platform
","Amiga MS-DOS, Classic Mac OS, Atari ST, ZX Spectrum, Amiga CDTV, Acorn Archimedes, PC-98, FM Towns, Sharp X68000, Apple IIGS, SNES, PC Engine CD-ROM², Mega Drive, Game Gear, Amstrad CPC, Master System, NES, Commodore 64, 3DO, Atari Lynx, SAM Coupé, Game Boy, Philips CD-i, Amiga CD32, Microsoft Windows, PlayStation, J2ME"
"Release","14 February 1991 Amiga EU: 14 February 1991[1] NA: 1992 MS-DOS NA: 1991 Classic Mac OS NA: 1991 Atari ST EU: 1991 ZX Spectrum EU: 1991[2] Archimedes EU: 1991[3] PC-98 JP: 1991[4] Amiga CDTV EU: 1992 FM Towns JP: 1992[5] X68000 JP: 1992[6] PC Engine CD-ROM² NA: 1992[7] JP: 1992 SNES JP: December 1991[citation needed] NA: March 1992 EU: August 1992[8] Mega Drive NA: 1992 EU: 1992 Game Gear NA: 1992 EU: 1992 Amstrad CPC EU: 1992 Master System EU: 1992 NES NA: November 1992 EU: 19 May 1993 Commodore 64 EU: 1992 NA: 1993 3DO NA: 1993 Lynx NA: 1993 SAM Coupé EU: 1993[9] Game Boy EU: 1993 NA: August 1994 Philips CD-i EU: 1993 NA: 1995 Amiga CD32 EU: 1994 J2ME NA: 2005[10]"
"Genre(s) , URL: /wiki/Video_game_genre
","Puzzle , URL: /wiki/Puzzle_video_game
Strategy , URL: /wiki/Strategy_video_game
"
"Mode(s)","Single-player , URL: /wiki/Single-player_video_game
multiplayer , URL: /wiki/Multiplayer_video_game
"
