"Distribution","Compile time buffer checks","Mandatory access control , URL: /wiki/Mandatory_access_control
","executable space protection , URL: /wiki/Executable_space_protection
","grsecurity","RSBAC , URL: /wiki/RSBAC
"
"Alpine Linux , URL: /wiki/Alpine_Linux
","Yes[230]","Unknown","PaX , URL: /wiki/PaX
","Discontinued in 3.8.0","Unknown"
"BLAG , URL: /wiki/BLAG_Linux_and_GNU
","Unknown","Unknown","Unknown","Unknown","Unknown"
"Android (operating system) , URL: /wiki/Android_(operating_system)
","Yes","Android Marshmallow , URL: /wiki/Android_Marshmallow
","Optional","Optional","Optional"
"Clear Linux OS , URL: /wiki/Clear_Linux_OS
","Unknown","Unknown","Unknown","Unknown","Unknown"
"Debian , URL: /wiki/Debian
","Yes","SELinux , URL: /wiki/SELinux
AppArmor , URL: /wiki/AppArmor
","PaX optional","Optional","Optional"
"Dragora GNU/Linux-Libre , URL: /wiki/Dragora_GNU/Linux-Libre
","Unknown","Unknown","Unknown","Unknown","Unknown"
"dyne:bolic , URL: /wiki/Dyne:bolic
","Unknown","Unknown","Unknown","Unknown","Unknown"
"Fedora , URL: /wiki/Fedora_(operating_system)
","Yes","SELinux , URL: /wiki/Security-Enhanced_Linux
","Exec Shield , URL: /wiki/Exec_Shield
","No","No"
"Gentoo , URL: /wiki/Gentoo_Linux
","Optional","SELinux, AppArmor","PaX optional","Optional","Optional"
"gNewSense , URL: /wiki/GNewSense
","Unknown","SELinux, AppArmor[v]","Unknown","Unknown","Unknown"
"Guix System , URL: /wiki/GNU_Guix
","Unknown","Unknown","Unknown","Unknown","Unknown"
"LibreCMC , URL: /wiki/LibreCMC
","Unknown","Unknown","Unknown","Unknown","Unknown"
"Mandriva , URL: /wiki/Mandriva_Linux
","Unknown","AppArmor","Unknown","Unknown","Yes"
"Musix GNU+Linux , URL: /wiki/Musix_GNU%2BLinux
","Unknown","Unknown","Unknown","Unknown","Unknown"
"Parabola GNU/Linux-libre , URL: /wiki/Parabola_GNU/Linux-libre
","Unknown","Optional[233]","Unknown","Optional[233]","Unknown"
"Slackware , URL: /wiki/Slackware
","Unknown","AppArmor, tomoyo","Unknown","Unknown","Optional"
"SUSE Linux , URL: /wiki/SUSE_Linux
","Yes","AppArmor[234]","Hardware NX , URL: /wiki/NX_bit#Linux
","No","No"
"Solus , URL: /wiki/Solus_(operating_system)
","Yes","AppArmor","Unknown","No","Unknown"
"Trisquel , URL: /wiki/Trisquel
","Unknown","SELinux, AppArmor[w]","Unknown","Unknown","Unknown"
"Ubuntu , URL: /wiki/Ubuntu_(operating_system)
","Yes[236]","SELinux , URL: /wiki/SELinux
AppArmor , URL: /wiki/AppArmor
","PaX optional","Optional","Optional"
"Ututo , URL: /wiki/Ututo
","Unknown","Unknown","Unknown","Unknown","Unknown"
