"v t e Linux distributions","v t e Linux distributions","v t e Linux distributions"
"Android , URL: /wiki/Android_(operating_system)
","/e/ Android-IA Android-x86 CalyxOS ColorOS EMUI Fire OS GrapheneOS HarmonyOS LineageOS CyanogenMod MIUI One UI Remix OS Replicant Resurrection Remix OS OmniROM","/e/ Android-IA Android-x86 CalyxOS ColorOS EMUI Fire OS GrapheneOS HarmonyOS LineageOS CyanogenMod MIUI One UI Remix OS Replicant Resurrection Remix OS OmniROM"
"Arch , URL: /wiki/Arch_Linux
","ArchBang ArchLabs Artix BlackArch EndeavourOS Frugalware Garuda Hyperbola GNU LinHES Manjaro Parabola GNU SteamOS SystemRescue","ArchBang ArchLabs Artix BlackArch EndeavourOS Frugalware Garuda Hyperbola GNU LinHES Manjaro Parabola GNU SteamOS SystemRescue"
"Debian , URL: /wiki/Debian
","Ubuntu , URL: /wiki/Ubuntu
","Official: Kubuntu Lubuntu Ubuntu Budgie Ubuntu Kylin Ubuntu MATE Ubuntu Studio Xubuntu Derivatives: Asturix Bodhi Linux elementary OS Emmabuntüs KDE neon Linux Lite Linux Mint LXLE Linux Peppermint OS Pinguy OS Pop! OS Trisquel Ubuntu Phone Ubuntu Unity Uruk Zorin OS"
"Debian , URL: /wiki/Debian
","Other","antiX Astra Bharat Operating System Solutions deepin Devuan Endless OS gNewSense HandyLinux Kali Knoppix MX Linux Parrot OS PureOS Raspberry Pi OS Q4OS Slax SparkyLinux SolydXK Tails UOS"
"Fedora , URL: /wiki/Fedora_Linux
","AlmaLinux BLAG Linux and GNU CentOS Stream ClearOS EulerOS Korora Linpus Linux Oracle Linux Qubes OS Red Hat Enterprise Linux Rocks Cluster Distribution Rocky Linux Sailfish OS Scientific Linux Tizen","AlmaLinux BLAG Linux and GNU CentOS Stream ClearOS EulerOS Korora Linpus Linux Oracle Linux Qubes OS Red Hat Enterprise Linux Rocks Cluster Distribution Rocky Linux Sailfish OS Scientific Linux Tizen"
"Gentoo , URL: /wiki/Gentoo_Linux
","Calculate Linux Chromium OS Chrome OS Nova OS","Calculate Linux Chromium OS Chrome OS Nova OS"
"Slackware , URL: /wiki/Slackware
","Austrumi Linux DNALinux Kongoni NimbleX Porteus Salix OS TopologiLinux VectorLinux Zenwalk","Austrumi Linux DNALinux Kongoni NimbleX Porteus Salix OS TopologiLinux VectorLinux Zenwalk"
"Mandriva , URL: /wiki/Mandriva_Linux
","ALT Linux Mageia OpenMandriva Lx PCLinuxOS ROSA Linux","ALT Linux Mageia OpenMandriva Lx PCLinuxOS ROSA Linux"
"Other","4MLinux Alpine CHAOS Clear Linux OS CRUX Firefox OS (KaiOS) GoboLinux Guix SD KaOS Kwort Mobilinux NixOS openSUSE SUSE Linux Enterprise GeckoLinux Puppy Source Mage Solus T2 SDE Void","4MLinux Alpine CHAOS Clear Linux OS CRUX Firefox OS (KaiOS) GoboLinux Guix SD KaOS Kwort Mobilinux NixOS openSUSE SUSE Linux Enterprise GeckoLinux Puppy Source Mage Solus T2 SDE Void"
"Discontinued","CentOS Chakra Damn Small Linux Familiar Linux Platypux Sabayon Linux","CentOS Chakra Damn Small Linux Familiar Linux Platypux Sabayon Linux"
"Category List Comparison","Category List Comparison","Category List Comparison"
