"Name","Name","Release date","Version","RTM build","Latest build","Status support","Codename, working name","Supported architectures","Editions","OS type"
"Windows NT 3.1 , URL: /wiki/Windows_NT_3.1
","Windows NT 3.1 , URL: /wiki/Windows_NT_3.1
","1993-07-27","3.1","528","528 (SP3) (1994-11-10)","Unsupported (2000-12-31)[1]","New Technology OS/2","IA-32 , URL: /wiki/IA-32
DEC Alpha , URL: /wiki/DEC_Alpha
MIPS , URL: /wiki/MIPS_architecture
","Workstation, Advanced Server","Workstation, Server"
"Windows NT 3.5 , URL: /wiki/Windows_NT_3.5
","Windows NT 3.5 , URL: /wiki/Windows_NT_3.5
","1994-09-21","3.5","807","807 (SP3) (1995-06-21)","Unsupported (2001-12-31)","Daytona","IA-32 , URL: /wiki/IA-32
DEC Alpha , URL: /wiki/DEC_Alpha
MIPS , URL: /wiki/MIPS_architecture
PowerPC , URL: /wiki/PowerPC
","Workstation, Server","Workstation, Server"
"Windows NT 3.51 , URL: /wiki/Windows_NT_3.51
","Windows NT 3.51 , URL: /wiki/Windows_NT_3.51
","1995-05-30","3.51","1057","1057 (SP5) (1996-09-19)","Unsupported (2001-12-31)","N/A","IA-32 , URL: /wiki/IA-32
DEC Alpha , URL: /wiki/DEC_Alpha
MIPS , URL: /wiki/MIPS_architecture
PowerPC , URL: /wiki/PowerPC
","Workstation , URL: /wiki/Workstation
","Workstation, Server"
"Windows NT 4.0 , URL: /wiki/Windows_NT_4.0
","Windows NT 4.0 , URL: /wiki/Windows_NT_4.0
","1996-07-31","4.0","1381","1381 (SP6a) (1999-11-30)","Unsupported (2004-06-30)","Cairo/Shell Update Release Hydra (Terminal Server) Impala (Embedded)","IA-32 , URL: /wiki/IA-32
DEC Alpha , URL: /wiki/DEC_Alpha
MIPS , URL: /wiki/MIPS_architecture
PowerPC , URL: /wiki/PowerPC
","Workstation, Server, Server Enterprise Edition, Terminal Server, Embedded","Workstation, Server, Embedded PCs"
"Windows 2000 , URL: /wiki/Windows_2000
","Windows 2000 , URL: /wiki/Windows_2000
","1999-12-15","5.0","2195","SP4 Rollup 1 v2 (2005-09-13)","Unsupported (2010-07-13)","N/A Windows 2000 64-bit: Janus","IA-32 , URL: /wiki/IA-32
","Professional, Server, Advanced Server, Datacenter Server, Powered (Embedded)","Desktop, Workstation, Server, Embedded PCs"
"Windows XP , URL: /wiki/Windows_XP
","Windows XP , URL: /wiki/Windows_XP
","2001-08-24","5.1","2600","2600 (SP3) (2008-04-21)","Unsupported (2014-04-08)","Whistler","IA-32 , URL: /wiki/IA-32
IA-64 , URL: /wiki/IA-64
x86-64 , URL: /wiki/X86-64
","Home K, Professional K x64, Media Center, Tablet PC, Starter, Embedded","Desktop, Workstation, Embedded PCs"
"Windows Server 2003 , URL: /wiki/Windows_Server_2003
","Windows Server 2003 , URL: /wiki/Windows_Server_2003
","2003-04-24","5.2","3790","3790 (SP2) (2007-03-13)","Unsupported (2015-07-14)","Whistler Server, Windows .NET Server","IA-32 , URL: /wiki/IA-32
IA-64 , URL: /wiki/IA-64
x86-64 , URL: /wiki/X86-64
","Standard, Enterprise, Datacenter, Web, Storage, Small Business Server, Compute Cluster","Server, Network Appliance, Embedded PCs, HPC"
"Windows Server 2003 R2 , URL: /wiki/Windows_Server_2003
","Windows Server 2003 R2 , URL: /wiki/Windows_Server_2003
","2005","5.2","3790","?","Unsupported (2015-07-14)","?","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","","Server, Network Appliance, Embedded PCs, HPC"
"Windows Fundamentals for Legacy PCs , URL: /wiki/Windows_Fundamentals_for_Legacy_PCs
","Windows Fundamentals for Legacy PCs , URL: /wiki/Windows_Fundamentals_for_Legacy_PCs
","2006-07-08","5.1","2600","N/A","Unsupported (2014-04-08)","Eiger, Mönch","IA-32 , URL: /wiki/IA-32
","Fundamentals for Legacy PCs","Desktop"
"Windows Vista , URL: /wiki/Windows_Vista
","Windows Vista , URL: /wiki/Windows_Vista
","2006-11-30","6.0","6000","6002 (SP2) (2009-04-28)","Unsupported (2017-04-11)","Longhorn","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","Starter, Home Basic K, Home Premium K, Business K, Enterprise K, Ultimate K","Desktop, Workstation"
