"v t e Microsoft Windows","v t e Microsoft Windows","v t e Microsoft Windows","v t e Microsoft Windows"
"Components History Timeline Criticism","Components History Timeline Criticism","Components History Timeline Criticism","Components History Timeline Criticism"
"DOS , URL: /wiki/DOS
","Windows 1.0x Windows 2.0x Windows 2.1x Windows 3.0 Windows 3.1x","Windows 1.0x Windows 2.0x Windows 2.1x Windows 3.0 Windows 3.1x",""
"Windows 9x , URL: /wiki/Windows_9x
","Windows 95 Windows 98 Windows Me","Windows 95 Windows 98 Windows Me",""
"Windows NT , URL: /wiki/Windows_NT
","NT 3.1 NT 3.5 NT 3.51 NT 4.0 2000 XP Pro x64 Media Center Fundamentals for Legacy PCs Vista 7 8, 8.1 Windows RT 10 11","NT 3.1 NT 3.5 NT 3.51 NT 4.0 2000 XP Pro x64 Media Center Fundamentals for Legacy PCs Vista 7 8, 8.1 Windows RT 10 11",""
"Windows NT , URL: /wiki/Windows_NT
","Windows Server , URL: /wiki/Windows_Server
","Server 2003 Home Server Server 2008 EBS 2008 HPC Server 2008 Server 2008 R2 Home Server 2011 Server 2012 Server 2012 R2 Server 2016 Server 2019 Server 2022 MultiPoint Server Server Essentials",""
"Windows NT , URL: /wiki/Windows_NT
","Specialized","Windows Preinstallation Environment Windows IoT Windows 365",""
"Windows Embedded , URL: /wiki/Windows_Embedded
","Embedded Compact CE 5.0 Embedded CE 6.0 Embedded Compact 7 Embedded Automotive Embedded Industry","Embedded Compact CE 5.0 Embedded CE 6.0 Embedded Compact 7 Embedded Automotive Embedded Industry",""
"Windows Mobile , URL: /wiki/Windows_Mobile
","Pocket PC 2000 Pocket PC 2002 Mobile 2003 Mobile 5.0 Mobile 6.0 Mobile 6.1 Mobile 6.5","Pocket PC 2000 Pocket PC 2002 Mobile 2003 Mobile 5.0 Mobile 6.0 Mobile 6.1 Mobile 6.5",""
"Windows Phone , URL: /wiki/Windows_Phone
","Phone 7 Phone 8 Phone 8.1 10 Mobile versions version history removed features","Phone 7 Phone 8 Phone 8.1 10 Mobile versions version history removed features",""
"Cancelled","Cairo Nashville Neptune Odyssey 10X","Cairo Nashville Neptune Odyssey 10X",""
"Related","Development 95 XP Vista 10 11 Editions XP Vista 7 8 10 New features XP Vista 7 8 10 11 Removed features XP Vista 7 8 10 11 Criticism XP Vista 10 Vista vs. XP","Development 95 XP Vista 10 11 Editions XP Vista 7 8 10 New features XP Vista 7 8 10 11 Removed features XP Vista 7 8 10 11 Criticism XP Vista 10 Vista vs. XP",""
"List of versions Comparison Category","List of versions Comparison Category","List of versions Comparison Category","List of versions Comparison Category"
