"NMDC hub","Windows , URL: /wiki/Windows
","Linux , URL: /wiki/Linux
","Mac OS X , URL: /wiki/Mac_OS_X
","Other"
"UFOHub","Yes","No","No","No"
"Eximius","Yes","No","No","No"
"PTDCH","Yes","No","No","No"
"Aquila","Yes","Yes","No","No"
"Dtella","Yes","Yes","Yes","No"
"HeXHub","Yes","No","No","No"
"Open Direct Connect Hub","No","Yes","No","OpenWrt , URL: /wiki/OpenWrt
"
"Flexhub","Yes","Yes","No","Qnap , URL: /w/index.php?title=Qnap&action=edit&redlink=1
Synology , URL: /wiki/Synology
NAS , URL: /wiki/Network-attached_storage
"
"openDCd","Yes","Yes","No","No"
"DDCH DevDirect Connect Hub","Yes","No","No","No"
"DBHub","No","Yes","No","No"
"PtokaX","Yes","Yes","Yes","FreeBSD , URL: /wiki/FreeBSD
OpenBSD , URL: /wiki/OpenBSD
NetBSD , URL: /wiki/NetBSD
Solaris , URL: /wiki/Solaris_(operating_system)
illumos , URL: /wiki/Illumos
Haiku , URL: /wiki/Haiku_(operating_system)
"
"py-dchub","Yes","Yes","Yes","Python , URL: /wiki/Python_(programming_language)
"
"RusHub","Yes","Yes","Yes","FreeBSD , URL: /wiki/FreeBSD
Solaris , URL: /wiki/Solaris_(operating_system)
"
"VerliHub","No","Yes","No","No"
"Yhub","Yes","No","No","No"
"Ynhub","Yes","No","No","No"
"LamaHub","Yes","Yes","Yes","OS/2 , URL: /wiki/OS/2
OpenBSD , URL: /wiki/OpenBSD
NetBSD , URL: /wiki/NetBSD
TrueOS , URL: /wiki/TrueOS
FreeBSD , URL: /wiki/FreeBSD
"
"DC Sharp Hub","Yes","No","No","No"
"NMDC hub","Windows , URL: /wiki/Windows
","Linux , URL: /wiki/Linux
","Mac OS X , URL: /wiki/Mac_OS_X
","Other"
