"v t e Nintendo","v t e Nintendo","v t e Nintendo","v t e Nintendo"
"Presidents","Fusajiro Yamauchi (1889–1929) Sekiryo Kaneda (1929–1949) Hiroshi Yamauchi (1949–2002) Satoru Iwata (2002–2015) Tatsumi Kimishima (2015–2018) Shuntaro Furukawa (2018–present)","Fusajiro Yamauchi (1889–1929) Sekiryo Kaneda (1929–1949) Hiroshi Yamauchi (1949–2002) Satoru Iwata (2002–2015) Tatsumi Kimishima (2015–2018) Shuntaro Furukawa (2018–present)",""
"Products , URL: /wiki/List_of_Nintendo_products
","Video games","Video games mobile games Consoles Controllers",""
"Products , URL: /wiki/List_of_Nintendo_products
","Toys","Love Tester Nintendo tumbler puzzle Ultra Hand Ultra Machine",""
"Services","Nintendo eShop Nintendo Network Nintendo Network Services Club Nintendo Nintendo Account My Nintendo Nintendo Switch Online","Nintendo eShop Nintendo Network Nintendo Network Services Club Nintendo Nintendo Account My Nintendo Nintendo Switch Online",""
"Software divisions","Entertainment Planning & Development Platform Technology Development","Entertainment Planning & Development Platform Technology Development",""
"Publications","Nintendo Fun Club Nintendo La Rivista Ufficiale Nintendo Magazine System (Australia) Nintendo Player's Guide Nintendo Power Nintendo World Official Nintendo Magazine","Nintendo Fun Club Nintendo La Rivista Ufficiale Nintendo Magazine System (Australia) Nintendo Player's Guide Nintendo Power Nintendo World Official Nintendo Magazine",""
"Events","Camp Hyrule Classic Tetris World Championship Iwata Asks interviews Nintendo Campus Challenge Nintendo Direct Nintendo PowerFest '94 Nintendo World Championships","Camp Hyrule Classic Tetris World Championship Iwata Asks interviews Nintendo Campus Challenge Nintendo Direct Nintendo PowerFest '94 Nintendo World Championships",""
"Locations","Nintendo Mégadôme Nintendo New York Shigureden Super Nintendo World","Nintendo Mégadôme Nintendo New York Shigureden Super Nintendo World",""
"Legal cases","Atari Games Corp. v. Nintendo of America Inc. Lewis Galoob Toys, Inc. v. Nintendo of America, Inc. Nintendo of America, Inc. vs. Blockbuster LLC. Universal City Studios, Inc. v. Nintendo Co., Ltd. Nintendo of America, Inc. v. NTDEC","Atari Games Corp. v. Nintendo of America Inc. Lewis Galoob Toys, Inc. v. Nintendo of America, Inc. Nintendo of America, Inc. vs. Blockbuster LLC. Universal City Studios, Inc. v. Nintendo Co., Ltd. Nintendo of America, Inc. v. NTDEC",""
"Related","History Development teams Characters My Nintendo Nintendo Australia Bergsala Marketing Nintendo Power Line Nintendo Selects Nintendo Space World Symphonic Legends – Music from Nintendo Nintendo data leak","History Development teams Characters My Nintendo Nintendo Australia Bergsala Marketing Nintendo Power Line Nintendo Selects Nintendo Space World Symphonic Legends – Music from Nintendo Nintendo data leak",""
