"OLAP server","Semi-additive measures","Many-to-Many","Multi-Cube Model","Perspectives","KPI","Multilingual","Named Sets","Multi-attribute Hierarchies","Actions"
"Apache Druid , URL: /wiki/Apache_Druid
","Yes","Yes","Yes","?","No","Yes","?","Yes","Yes"
"Apache Kylin , URL: /wiki/Apache_Kylin
","No","No","Yes","No","Yes","Yes","No","Yes","Yes"
"Apache Pinot , URL: /wiki/Apache_Pinot
","Yes","Yes","?","?","No","Yes","?","Yes","Yes"
"ClickHouse , URL: /wiki/ClickHouse
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Essbase , URL: /wiki/Essbase
","Yes","?","?","?","Yes","Yes","Yes","Yes","?"
"IBM Cognos BI , URL: /wiki/IBM_Cognos_BI
","Yes","Yes","?","?","?","?","Yes","Yes","?"
"IBM Cognos TM1 , URL: /wiki/IBM_Cognos_TM1
","Yes","Yes","Yes","?","?","?","?","?","?"
"icCube , URL: /wiki/IcCube
","Yes[33]","Yes[34]","Yes","Yes","?","Yes","Yes","?","?"
"Jedox OLAP Server , URL: /wiki/Jedox
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Kyvos , URL: /wiki/Kyvos
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Microsoft Analysis Services , URL: /wiki/Microsoft_Analysis_Services
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicroStrategy Intelligence Server , URL: /wiki/MicroStrategy
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Mondrian OLAP server , URL: /wiki/Mondrian_OLAP_server
","Yes[35]","?","?","?","?","?","?","?","?"
"Oracle Database OLAP Option , URL: /wiki/Oracle_OLAP
","Yes","?","?","?","?","?","?","?","?"
"SAP NetWeaver BW , URL: /wiki/SAP_NetWeaver_Business_Intelligence
","Yes","?","?","?","?","?","?","?","?"
"SAS OLAP Server , URL: /wiki/SAS_System
","Yes","?","?","?","?","?","?","?","?"
