"File format","Office Open XML","OpenDocument"
"Based on a format developed by","Microsoft , URL: /wiki/Microsoft
","Sun Microsystems , URL: /wiki/Sun_Microsystems
"
"Predecessor file format","Microsoft Office XML formats , URL: /wiki/Microsoft_Office_XML_formats
","OpenOffice.org XML , URL: /wiki/OpenOffice.org_XML
"
"Standardized by","Ecma International , URL: /wiki/Ecma_International
ISO , URL: /wiki/International_Organisation_for_Standardisation
IEC , URL: /wiki/International_Electrotechnical_Commission
","OASIS , URL: /wiki/OASIS_(organization)
ISO , URL: /wiki/International_Organisation_for_Standardisation
IEC , URL: /wiki/International_Electrotechnical_Commission
"
"First public release date","2006","2005"
"First stable version","Ecma International Standard ECMA-376 Office Open XML File Formats 1st edition","OASIS OpenDocument Format for Office Applications (OpenDocument) v1.0"
"Latest stable version","ISO/IEC IS 29500-1:2012—Office Open XML File Formats[1]","OASIS Open Document Format for Office Applications (OpenDocument) v1.3"
"Latest ISO/IEC standardised version","ISO/IEC IS 29500-1:2012—Office Open XML File Formats[1]","ISO/IEC IS 26300:2006—Open Document Format for Office Applications (OpenDocument) v1.0"
"Language type","Markup language , URL: /wiki/Markup_language
XML , URL: /wiki/XML
","Markup language , URL: /wiki/Markup_language
XML , URL: /wiki/XML
"
"XML schema representation","XML Schema (W3C) , URL: /wiki/XML_Schema_(W3C)
RELAX NG , URL: /wiki/RELAX_NG
","RELAX NG , URL: /wiki/RELAX_NG
"
"Expression of extensibility rules","NVDL , URL: /wiki/Namespace-based_Validation_Dispatching_Language
",""
"Compression format","ZIP , URL: /wiki/ZIP_(file_format)
","ZIP , URL: /wiki/ZIP_(file_format)
"
"Container structure","Open Packaging Conventions , URL: /wiki/Open_Packaging_Conventions
","ODF Package , URL: /wiki/OpenDocument
"
"Metadata format","Dublin Core , URL: /wiki/Dublin_Core
","Dublin Core , URL: /wiki/Dublin_Core
"
"Drawing language","DrawingML , URL: /wiki/DrawingML
VML , URL: /wiki/VML
","“urn:oasis:names:tc:opendocument:xmlns:drawing” elements and “urn:oasis:names:tc:opendocument:xmlns:svg-compatible” elements"
"Mathematical notation language","Office MathML , URL: /wiki/Office_MathML
","MathML , URL: /wiki/MathML
"
"Change-tracking","supported[6]","supported[7]"
"Conditional formatting in spreadsheets","supported[8]","supported[9]"
"Spreadsheet formula language","part of the standard[citation needed]","OpenFormula , URL: /wiki/OpenFormula
"
"Macro language","application-defined","application-defined"
"Digital signatures","part of the standard[citation needed]","supported"
"Thumbnails","JPEG , URL: /wiki/JPEG
","PNG , URL: /wiki/Portable_Network_Graphics
"
"Interchange of digital font information","Open Font Format , URL: /wiki/OpenType
",""
"PANOSE , URL: /wiki/PANOSE
","part of the standard[10]",""
"Filename extensions","docx, docm, xlsx, xlsm, pptx, pptm","odt, ods, odp, odg, odf"
"Internet media types","application/vnd.openxmlformats-officedocument.wordprocessingml.document application/vnd.ms-word.document.macroEnabled.12 application/vnd.openxmlformats-officedocument.spreadsheetml.sheet application/vnd.ms-excel.sheet.macroEnabled.12 application/vnd.openxmlformats-officedocument.presentationml.presentation application/vnd.ms-powerpoint.presentation.macroEnabled.12","application/vnd.oasis.opendocument.text application/vnd.oasis.opendocument.spreadsheet application/vnd.oasis.opendocument.presentation application/vnd.oasis.opendocument.graphics application/vnd.oasis.opendocument.formula"
"Application support","Office Open XML software , URL: /wiki/Office_Open_XML_software
","OpenDocument software , URL: /wiki/OpenDocument_software
"
"Standard licensing","ISO/IEC copyrighted free download[11] Ecma copyrighted free download / copying allowed","ISO/IEC copyrighted free download[11] OASIS copyrighted free download / copying allowed"
"Additional technology patent licensing","Reasonable and non-discriminatory licensing (RAND-Z) Microsoft Open Specification Promise (OSP)[12] Microsoft Covenant Not to Sue (CNS)[13]","Sun Microsystems intellectual property covenant IBM Interoperability Specifications Pledge[14]"
"Implementations covered by patent license","Patent license covers conforming implementations[12]","Patent license covers fully compliant implementations[14]"
"Implemented","Microsoft Office 2013 , URL: /wiki/Microsoft_Office_2013
Collabora Office , URL: /wiki/Collabora_Online
Collabora Online , URL: /wiki/Collabora_Online
LibreOffice , URL: /wiki/LibreOffice
Office Open XML , URL: /wiki/Office_Open_XML
SoftMaker Office , URL: /wiki/SoftMaker_Office
","Collabora Office , URL: /wiki/Collabora_Online
Collabora Online , URL: /wiki/Collabora_Online
LibreOffice , URL: /wiki/LibreOffice
OpenOffice.org , URL: /wiki/OpenOffice.org
KOffice , URL: /wiki/KOffice
AbiWord , URL: /wiki/AbiWord
Lotus Notes , URL: /wiki/Lotus_Notes
"
"File format","Office Open XML","OpenDocument"
