"","Version","Operating systems","Office suite , URL: /wiki/Office_suite
","Developer","License , URL: /wiki/Software_license
","ECMA-376","ISO/IEC 29500:2008","Notes"
"AbiWord , URL: /wiki/AbiWord
","2.6.0,[7] 2.6.5[8]","Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Unix , URL: /wiki/Unix
","","AbiSource , URL: /wiki/AbiSource
","GPL , URL: /wiki/GPL
","Yes","",""
"Adobe Buzzword , URL: /wiki/Adobe_Buzzword
","beta 3, build 600113[9]","Web application , URL: /wiki/Web_application
","Standalone","Adobe Systems , URL: /wiki/Adobe_Systems
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Limited support"
"Atlantis Word Processor , URL: /wiki/Atlantis_Word_Processor
","1.6.3+[10]","Windows","Standalone","Rising Sun Solutions , URL: /w/index.php?title=Rising_Sun_Solutions&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"Butler Office Pro X , URL: http://www.butlerofficepro.com
","2.2.0[11]","Mac OS X","Butler Office Pro X","Butler Software Solutions","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Full support via email"
"Collabora Office , URL: /wiki/Collabora_Online
","All versions","Windows, macOS, Linux, Android, iOS, iPadOS, Chrome OS Chromebooks","Collabora Office , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","MPL , URL: /wiki/Mozilla_Public_License
","Yes","Yes",""
"Collabora Online , URL: /wiki/Collabora_Online
","All versions","Web application , URL: /wiki/Web_application
","Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","MPL , URL: /wiki/Mozilla_Public_License
","Yes","Yes",""
"DataViz , URL: /wiki/DataViz
Word To Go , URL: /wiki/Documents_To_Go
","11.000[12]","Palm OS , URL: /wiki/Palm_OS
Windows Mobile , URL: /wiki/Windows_Mobile
Symbian , URL: /wiki/Symbian
UIQ , URL: /wiki/UIQ
S80 , URL: /wiki/Series_80_(software_platform)
","Documents To Go , URL: /wiki/Documents_To_Go
","DataViz , URL: /wiki/DataViz
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"EIOffice , URL: /wiki/EIOffice
","2009, 5.0.1272.101[13]","Windows, Linux","EIOffice , URL: /wiki/EIOffice
","Evermore Software , URL: /w/index.php?title=Evermore_Software&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only[13]"
"Go-oo , URL: /wiki/Go-oo
","3.0.0[14]","Windows, Linux, Unix, Mac OS X","Go-oo , URL: /wiki/Go-oo
","Free software community , URL: /wiki/Free_software_community
","LGPL , URL: /wiki/LGPL
CDDL , URL: /wiki/CDDL
","Yes","","Import only Go-oo discontinued in favour of LibreOffice"
"Google Docs , URL: /wiki/Google_Docs
","(current)[15]","Web application , URL: /wiki/Web_application
","Google Docs , URL: /wiki/Google_Docs
","Google , URL: /wiki/Google
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","1.3[16]","Windows, Mac OS X, Linux","IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","IBM , URL: /wiki/IBM
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only"
"Ichitaro , URL: /wiki/Ichitaro_(word_processor)
","2008[17]","Windows, Linux","Standalone","JustSystems , URL: /wiki/JustSystems
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
