"","Version","Operating systems","Office suite","Developer","License","ISO/IEC 26300:2006","Notes"
"AbiWord , URL: /wiki/AbiWord
","2.4.2","Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Unix-based systems , URL: /wiki/Unix
","","AbiSource , URL: /wiki/AbiSource
","GPL , URL: /wiki/GNU_General_Public_License
","Yes","Only supports basic ODT documents. Complex ones created in OpenOffice are likely to be broken in AbiWord."
"Calligra Words , URL: /wiki/Calligra_Words
","2.4+","Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Unix-based systems , URL: /wiki/Unix
","Calligra Suite , URL: /wiki/Calligra_Suite
","KDE Project , URL: /wiki/KDE
","GPL , URL: /wiki/GNU_General_Public_License
LGPL , URL: /wiki/LGPL
","Yes",""
"Collabora Office , URL: /wiki/Collabora_Online
","All","Windows, Linux, macOS, Android, iOS, iPadOS, Chrome OS","Collabora Office , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","MPL2 , URL: /wiki/MPL2
","Yes","enterprise-ready edition of LibreOffice"
"Collabora Online , URL: /wiki/Collabora_Online
","All","Any (Web-based)","Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","MPL2 , URL: /wiki/MPL2
","Yes","enterprise-ready edition of LibreOffice"
"Google Docs & Spreadsheets , URL: /wiki/Google_Docs_%26_Spreadsheets
","2006","Web-based , URL: /wiki/Web_application
","Standalone or Google Apps","Google , URL: /wiki/Google
","Proprietary , URL: /wiki/Proprietary_software
","Yes",""
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","1.0+","Windows, Linux, Mac OS X","IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","IBM , URL: /wiki/IBM
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Based upon OpenOffice.org"
"IBM Workplace , URL: /wiki/IBM_Workplace
","2.5+","Web-based , URL: /wiki/Web_application
","IBM Workplace , URL: /wiki/IBM_Workplace
","IBM , URL: /wiki/IBM
","Proprietary , URL: /wiki/Proprietary_software
","Yes","no longer being actively marketed"
"KWord , URL: /wiki/KWord
","1.4+","Linux , URL: /wiki/Linux
Unix-based systems , URL: /wiki/Unix
","KOffice , URL: /wiki/KOffice
","KDE Project , URL: /wiki/KDE
","LGPL , URL: /wiki/LGPL
","Yes",""
"LibreOffice Writer , URL: /wiki/LibreOffice_Writer
","4.0.3","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Unix-based systems , URL: /wiki/Unix
Mac OS X , URL: /wiki/Mac_OS_X
Solaris , URL: /wiki/Solaris_(operating_system)
","LibreOffice , URL: /wiki/LibreOffice
","LibreOffice , URL: /wiki/LibreOffice
","MPL2 , URL: /wiki/MPL2
","Yes","Multiple ODF versions supported (ISO/ODF 1.0/1.1/1.2/1.3/1.3 Extended )"
"Microsoft Office Word , URL: /wiki/Microsoft_Office_Word
","2007 SP2","Windows , URL: /wiki/Microsoft_Windows
","Microsoft Office , URL: /wiki/Microsoft_Office
","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
","Yes","some limitations[3]"
"NeoOffice , URL: /wiki/NeoOffice
","2.1","Mac OS X , URL: /wiki/Mac_OS_X
","NeoOffice , URL: /wiki/NeoOffice
","Patrick Luby and Edward Peterlin","GPL , URL: /wiki/GNU_General_Public_License
","no (not valid)",""
"OpenOffice.org Writer , URL: /wiki/OpenOffice.org_Writer
","3.0.0","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Unix-based systems , URL: /wiki/Unix
Mac OS X , URL: /wiki/Mac_OS_X
Solaris , URL: /wiki/Solaris_(operating_system)
","OpenOffice.org , URL: /wiki/OpenOffice.org
","OpenOffice.org , URL: /wiki/OpenOffice.org
","LGPL , URL: /wiki/LGPL
","Yes","adjustable ODF version (ISO/ODF 1.2)"
"OpenOffice.org Writer , URL: /wiki/OpenOffice.org_Writer
","2.4.1","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
Unix-based systems , URL: /wiki/Unix
Mac OS X , URL: /wiki/Mac_OS_X
Solaris , URL: /wiki/Solaris_(operating_system)
","OpenOffice.org , URL: /wiki/OpenOffice.org
","OpenOffice.org , URL: /wiki/OpenOffice.org
","LGPL , URL: /wiki/LGPL
","Yes",""
