"Meaning","Spanish","Portuguese"
"mayor","alcalde < Hisp. Ar. < Arabic alqáḍi < qāḍi[70]","presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praefēctus"
"bricklayer, stonemason","albañil < Hisp. Ar. < Arabic albanní < bannā[71]","pedreiro < Lat. petra"
"potter","alfarero < Hisp. Ar. < Arabic alfaẖ ẖār < faẖ ẖār[72]","oleiro < Lat. ollarius"
"vest","chaleco < Alg. Ar. < Turk xileco < yelek[73]","colete < Ita. coletto"
"basil","albahaca < Hisp. Ar. < Arabic alḥabáqa < ḥabaqah[74]","basílico, manjericão < Lat., uncertain origin basilicum, uncertain"
"bean","alubia < Hisp. Ar. < Arabic alubía < al-lubiya اٌٍىتيا[75]","feijão < Lat. faseolus[76]"
"celery","chirivía < Hisp. Ar. alcaravea < alkarawíyya [27][77]","aipo < Lat. apium"
"watermelon","sandía < Hisp. Ar. < Arabic sindiyya ضىذيح[75]","melancia < Lat. bilancia < bilanx"
"pistachio","alfóncigo, pistacho < Hisp. Ar. < Arabic fustuq[78]","pistácio, pistacho < Lat < Gre pistacium < pistákia[79]"
"cheese-flavoured roll","almojábana < Hisp. Ar. almuǧábbana < ǧubn [80]","pão de queijo, bolinha de queijo < Lat. panis, bulla + caseus[81][82][83]"
"thrush","zorzal < Hisp. Ar. < Arabic zurzál < zurzir[84]","tordo < Lat. turdus"
"hobby (bird)","alcotán < Hisp. Ar. < Arabic quṭán < qaṭām[27]","ógea < uncertain origin *maybe O.Fra. hobe[85]"
"mackerel","jurel < Hisp. Ar < Lat šuríl < saurus[86]","cavala < Gaulish < Celt . caballos[87]"
"sea bream","mojarra < Ar. Hisp. < Arabic moharra < muḥárraf[88][89]","dourada < Lat. < Provençal aurata, daurada[90]"
"scorpion","alacrán, escorpión < His. Ar. < Arabic, Lat. al'aqráb < aqrab, scorpīo [27]","escorpião < Lat. scorpīo"
"mercury","azogue, mercurio < His. Ar. < Arabic azzáwq < zāwūq[91]","mercúrio < Lat. Mercurius"
"breast cancer","zaratán, cáncer de mama < Arabic, Lat. saratan, cancer mamma [75]","cancro/câncer da mama < Lat. cancer mamma"
"robe (bath)","albornoz < Hisp. Ar. < Arabic burnús < burnūs[92]","roupão, robe < Gothic, Fra. rauba, robe [93]"
"hostess, stewardess","azafata < Hisp. Ar < Arabic. assafáṭ < safáṭ[94]","hospedeira (de bordo) < Lat. hospitis[95]"
"sewage (system), gutter","alcantarilla < Hisp. Ar. < Arabic alqánṭara < qánṭarah[96]","esgoto, goteira < Lat. guttae[97]"
"jerk","mamarracho < Hisp. Ar < Arabic muharráǧ < muharriǧ[98]","parvo < Lat . parvulus[99]"
"drunk, drunkard","borracho < Cat < Arabic marratxa < mirrassa[100]","bêbado < Lat . bibitum"
"to crimp, to compress, to link (verb)","engarzar < Hisp. Ar. < Arabic ḡárza< ḡarzah[101]","engrenar, endentar, comprimir < Lat. granum, dens, comprimere"
"to duck out, to skive off (verb)","escaquearse < Hisp. Ar. < Arabic iššáh < šāh[102]","escapar < Lat. < Proto-Italic excappā <, kaput"
"to save(financial) (verb)","ahorrar < Arabic. alhurr الحر[103]","poupar < Lat. palpō < palpāre"
"corner, edge","rincón < Hisp. Ar. < Arabic rukán < rukn[27]","canto < Celtic kant[104]"
"flowerbed, small garden, vegetable patch","arriate < Hisp. Ar. < Arabic arriyáḍ < riyāḍ [105]","canteiro < Celtic kant[104]"
"Majorcan","mallorquí, mallorquín < Lat. maiorica + Arabic gentilic suffix -iyy","Maiorquino < Lat maiorica + -inus"
"Iraqi","iraquí, irakí < Arabic demonym iraqiyy عراقي[106]","Iraquiano < Lat. + suffix Iraqi + -anus"
