"Meaning","Spanish","Portuguese","Notes"
"newspaper, journal","periódico < Lat. periodĭcus < gr. περιοδικός[18]","jornal < Fra. journal",""
"journalist","periodista < Lat. periodĭcus < gr. περιοδικός[19]","jornalista < Fra. journaliste",""
"journey","recorrido < Lat. recurrēre[20]","jornada < Provençal. jornada < jorn[21]",""
"shop window","escaparate < Ned. schaprade[22]","montra < Fra. montre","The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used."
"boutique, clothes store","tienda< Lat. tenda[23]","boutique, butique < Fra. boutique[24]",""
"scarf","bufanda < Uncertain, maybe O.Fra. bouffant[25]","cachecol, écharpe cache-col, écharpe[26]",""
"lampshade, bedside lamp","lámpara < Lat. < Gre. lampāda < λαμπάς[27]","abajur < Fra. abat-jour[28]",""
"New Year's Eve","Nochevieja < Lat. noctis + veclus < vetūlus[29]","Reveillon < Fra. Reveillon",""
"frisson","escalofrío < Lat. + prefix ex + cale+ frige[27]","frisson < Fra. frisson[30]",""
"gaffe, blunder","metedura de pata < Lat. + Ar. < mittēre + batt[31]","gafe < Fra. gaffe[32]",""
"brioche","bollo de leche < Lat. < bulla + lactis,[33][34]","brioche < Fra. brioche[35]",""
"croissant","medialuna < Lat. < media + luna[36]","croissant, croassã < Fra. croissant[37]",""
"courgette, zucchini","calabacín < Pre-roman calabaza[27]","courgette, curgete < Fra. courgette[27]",""
"blueberry","arándano < Celt + Lat. aran + rodamdārum[27]","mirtilo < Fra. myrtille[38]","In Por. arando < Celt aran means cranberry"
"billy club, truncheon","porra < Lat. porrum[39]","cassetete, casse-tête < Fra. casse-tête[40]",""
"creche","guarderían infantil < Ger. + Lat. warda + infantīlis [41]","creche < Fra. crèche[42]",""
"voyeur","mirón < Lat. mirāri[43]","voyeur < Fra. voyeur",""
"omelette","tortilla < uncertain + suffix torta + illa","omelete < Fra. omelette[44]",""
"swing","columpio < Leon. < Gr. columbiar < κολυμβᾶν kolymbân [45]","balancé < Fra. balancé[46]",""
"lipstick","pintalabios < Lat. pinctāre + labium[47]","batom < Fra. bâton[48]",""
"cap","gorra < uncertain gorra[49]","boné < Fra. bonnet[50]",""
"hat","sombrero < Lat subumbrāre[51]","chapéu < O.Fra. chapel[52]",""
"fanny, pussy","coño < Lat cunnus[53]","chochota < Fra. chochotte[54]","* popular slang/vulgar word in Brazil"
"(train) station","estación (ferrocarril) < Lat. statiōnis[27]","gare < Fra. gare[55]","The term gare in Port. is also used for bus-station."
"quay, jetty, key","muelle < Lat. mollis[56]","cais < Fra. quai[57]","The term cais in Port. is also used for railway platforms."
"vehicle","vehículo < Lat. vehiculum[58]","viatura < Fr. voiture[59]",""
"package, packaging","envase < Lat. in + vasum[60]","embalagem < Fr. emballage[61]",""
"rissole","empanadilla rellena < Lat. + prefix en + panis + re + plenus","rissol, rissole < Fra. rissole[62]",""
"souvenir","recuerdo < Lat. recordāri[63]","souvenir, suvenir < Fr. souvenir[64]",""
"strike","huelga < Lat. follicāre[65]","greve < Fr. grève[66]",""
