"Name","Version","Date"
"AllegroProlog","1.1.2","2018-12-12"
"BProlog , URL: /wiki/BProlog
","8.1","2014-02-23"
"JIProlog , URL: /w/index.php?title=JIProlog&action=edit&redlink=1
","4.1.6.1","2018-03-17"
"Ciao , URL: /wiki/Ciao_(programming_language)
","1.20.0","2021-03-31"
"DOS-PROLOG , URL: http://www.lpa.co.uk/dos.htm
","6.0",""
"ECLiPSe , URL: /wiki/ECLiPSe
","7.0_54","2020-02-26"
"GNU Prolog , URL: /wiki/GNU_Prolog
","1.4.5","2018-07-14"
"JLog , URL: http://jlogic.sourceforge.net/
","1.3.6","2007-09-13"
"JScriptLog , URL: http://jlogic.sourceforge.net/
","0.7.5 beta","2007-09-10"
"jTrolog , URL: https://web.archive.org/web/20121113023104/http://java.net/projects/jTrolog
","",""
"LPA-PROLOG , URL: http://www.lpa.co.uk/win.htm
","7.0","2019-12-19"
"Open Prolog","",""
"Poplog , URL: /wiki/Poplog
","V15.65","2015-10-14"
"SICStus Prolog , URL: /wiki/SICStus_Prolog
","4.7.0","2021-08-09"
"Strawberry Prolog , URL: /w/index.php?title=Strawberry_Prolog&action=edit&redlink=1
","3.0 Beta 4","2013-12-10"
"SWI-Prolog , URL: /wiki/SWI-Prolog
","8.4.1","2021-11-16"
"tuProlog , URL: /w/index.php?title=TuProlog&action=edit&redlink=1
","3.2.1","2017-02-14"
"Visual Prolog , URL: /wiki/Visual_Prolog
","10, Build 1000","2021-04-15"
"XSB , URL: /wiki/XSB
","3.8","2017-10-29"
"YAProlog , URL: /wiki/YAP_(Prolog)
","6.3.3","2013-01-21"
