"Distribution","architectures , URL: /wiki/Instruction_set_architecture
","desktop environment , URL: /wiki/Desktop_environment
"
"BeleniX , URL: /wiki/BeleniX
","x86 , URL: /wiki/X86
x86-64 , URL: /wiki/X86-64
","KDE , URL: /wiki/KDE
Xfce , URL: /wiki/Xfce
"
"Nexenta OS , URL: /wiki/Nexenta_OS
","x86 , URL: /wiki/X86
x86-64 , URL: /wiki/X86-64
","GNOME , URL: /wiki/GNOME
"
"NexentaStor , URL: /wiki/NexentaStor
","x86 , URL: /wiki/X86
","?"
"OmniOS , URL: /w/index.php?title=OmniOS&action=edit&redlink=1
","x86 , URL: /wiki/X86
x86-64 , URL: /wiki/X86-64
","none"
"OpenIndiana , URL: /wiki/OpenIndiana
","x86 , URL: /wiki/X86
x86-64 , URL: /wiki/X86-64
","MATE , URL: /wiki/MATE_(software)
"
"SmartOS , URL: /wiki/SmartOS
","x86-64 , URL: /wiki/X86-64
","none"
"Tribblix , URL: /w/index.php?title=Tribblix&action=edit&redlink=1
","x86-64 , URL: /wiki/X86-64
SPARC , URL: /wiki/SPARC
","Xfce , URL: /wiki/Xfce
"
"v9os , URL: /w/index.php?title=V9os&action=edit&redlink=1
","SPARC , URL: /wiki/SPARC
","none"
"Distribution","architectures , URL: /wiki/Instruction_set_architecture
","desktop environment , URL: /wiki/Desktop_environment
"
