"Distribution","packages , URL: /wiki/Package_manager
","Package format/tools","Default installer","Graphical , URL: /wiki/Graphical_user_interface
"
"BeleniX , URL: /wiki/BeleniX
","?","RPM , URL: /wiki/Rpm_(software)
","?","?"
"Nexenta OS , URL: /wiki/Nexenta_OS
","?","APT , URL: /wiki/Advanced_Packaging_Tool
","?","?"
"NexentaStor , URL: /wiki/NexentaStor
","?","?","?","?"
"OmniOS , URL: /w/index.php?title=OmniOS&action=edit&redlink=1
","1032[15]","IPS , URL: /wiki/Image_Packaging_System
","Kayak","No"
"OpenIndiana , URL: /wiki/OpenIndiana
","4600[16]","IPS , URL: /wiki/Image_Packaging_System
","Caiman","Yes"
"SmartOS , URL: /wiki/SmartOS
","?","pkgsrc , URL: /wiki/Pkgsrc
","N/A (live system)","N/A"
"Tribblix , URL: /w/index.php?title=Tribblix&action=edit&redlink=1
","130[17]","SVR4","N/A (live system)","N/A"
"v9os , URL: /w/index.php?title=V9os&action=edit&redlink=1
","?","IPS , URL: /wiki/Image_Packaging_System
","?","No"
"Distribution","packages , URL: /wiki/Software_package_(installation)
","Package format/tools","Default installer","Graphical , URL: /wiki/Graphical_user_interface
"
