"Implementation","Developed by","Open source","Software license","Copyright holder","Written in","Latest stable version, release date","Latest stable version, release date","Origin"
"Botan , URL: /wiki/Botan_(programming_library)
","Jack Lloyd","Yes","Simplified BSD License , URL: /wiki/Simplified_BSD_License
","Jack Lloyd","C++ , URL: /wiki/C%2B%2B
","2.18.1 (May 9, 2021; 10 months ago (2021-05-09)[1]) [±]","2.18.1 (May 9, 2021; 10 months ago (2021-05-09)[1]) [±]","US (Vermont)"
"BoringSSL , URL: /wiki/BoringSSL
","Google , URL: /wiki/Google
","Yes","OpenSSL-SSLeay dual-license , URL: /wiki/OpenSSL_license#Licensing
ISC license , URL: /wiki/ISC_license
","Eric Young, Tim Hudson, Sun, OpenSSL project, Google, and others","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Go , URL: /wiki/Go_(programming_language)
assembly , URL: /wiki/Assembly_language
","??","??","Australia/EU"
"Bouncy Castle , URL: /wiki/Bouncy_Castle_(cryptography)
","The Legion of the Bouncy Castle Inc.","Yes","MIT License , URL: /wiki/MIT_License
","Legion of the Bouncy Castle Inc.","Java , URL: /wiki/Java_(programming_language)
C# , URL: /wiki/C_sharp_(programming_language)
","Java","1.70 / November 29, 2021; 3 months ago (2021-11-29)[2]","Australia"
"Bouncy Castle , URL: /wiki/Bouncy_Castle_(cryptography)
","The Legion of the Bouncy Castle Inc.","Yes","MIT License , URL: /wiki/MIT_License
","Legion of the Bouncy Castle Inc.","Java , URL: /wiki/Java_(programming_language)
C# , URL: /wiki/C_sharp_(programming_language)
","Java FIPS","BC-FJA 1.0.2.3 / February 9, 2022; 29 days ago (2022-02-09)[3]","Australia"
"Bouncy Castle , URL: /wiki/Bouncy_Castle_(cryptography)
","The Legion of the Bouncy Castle Inc.","Yes","MIT License , URL: /wiki/MIT_License
","Legion of the Bouncy Castle Inc.","Java , URL: /wiki/Java_(programming_language)
C# , URL: /wiki/C_sharp_(programming_language)
","C#","1.9.0 / October 17, 2021; 4 months ago (2021-10-17)[4]","Australia"
"Bouncy Castle , URL: /wiki/Bouncy_Castle_(cryptography)
","The Legion of the Bouncy Castle Inc.","Yes","MIT License , URL: /wiki/MIT_License
","Legion of the Bouncy Castle Inc.","Java , URL: /wiki/Java_(programming_language)
C# , URL: /wiki/C_sharp_(programming_language)
","C# FIPS","BC-FNA 1.0.1.1 / April 21, 2021; 10 months ago (2021-04-21)[5]","Australia"
"BSAFE , URL: /wiki/BSAFE
","Dell , URL: /wiki/Dell
RSA Security , URL: /wiki/RSA_Security
","No","Proprietary , URL: /wiki/Proprietary_software
","Dell , URL: /wiki/Dell
","Java , URL: /wiki/Java_(programming_language)
C , URL: /wiki/C_(programming_language)
assembly , URL: /wiki/Assembly_language
","SSL-J 6.4 (February 15, 2022; 23 days ago (2022-02-15)[6]) [±] SSL-J 7.0 (April 13, 2021; 10 months ago (2021-04-13)[7]) [±] Micro Edition Suite 4.6.1 (August 17, 2021; 6 months ago (2021-08-17)[8]) [±]","SSL-J 6.4 (February 15, 2022; 23 days ago (2022-02-15)[6]) [±] SSL-J 7.0 (April 13, 2021; 10 months ago (2021-04-13)[7]) [±] Micro Edition Suite 4.6.1 (August 17, 2021; 6 months ago (2021-08-17)[8]) [±]","Australia"
"cryptlib , URL: /wiki/Cryptlib
","Peter Gutmann , URL: /wiki/Peter_Gutmann_(computer_scientist)
","Yes","Sleepycat License , URL: /wiki/Sleepycat_License
","Peter Gutmann , URL: /wiki/Peter_Gutmann_(computer_scientist)
","C , URL: /wiki/C_(programming_language)
","3.4.5 (2019; 3 years ago (2019)[9]) [±]","3.4.5 (2019; 3 years ago (2019)[9]) [±]","NZ"
"GnuTLS , URL: /wiki/GnuTLS
","GnuTLS project , URL: /wiki/GnuTLS
","Yes","GNU LGPLv2.1 , URL: /wiki/GNU_Lesser_General_Public_License#Version_2
","Free Software Foundation , URL: /wiki/Free_Software_Foundation
","C , URL: /wiki/C_(programming_language)
","3.6.16 (May 24, 2021; 9 months ago (2021-05-24)[10]) [±]","3.6.16 (May 24, 2021; 9 months ago (2021-05-24)[10]) [±]","EU (Greece and Sweden)"
