"Implementation","brainpoolP256r1 (26)[152]","brainpoolP384r1 (27)[152]","brainpoolP512r1 (28)[152]","X25519 , URL: /wiki/X25519
","Curve448 Ed448-Goldilocks [154]","M221 Curve2213 [155]","E222 [155]","Curve1174 [155]","E382 [155]","M383 [155]","Curve383187 [155]","Curve41417 Curve3617 [155]","M511 Curve511187 [155]","E521 [155]"
"Botan , URL: /wiki/Botan_(programming_library)
","Yes[156]","Yes[156]","Yes[156]","Yes[123]","No","No","No","No","No","No","No","No","No","No"
"BoringSSL , URL: /wiki/BoringSSL
","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"BSAFE , URL: /wiki/BSAFE
","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"GnuTLS , URL: /wiki/GnuTLS
","No","No","No","Yes[157]","Yes[158]","No","No","No","No","No","No","No","No","No"
"JSSE , URL: /wiki/Java_Secure_Socket_Extension
","No","No","No","Yes x25519: JDK 13+[159] Ed25519:JDK 15+[160]","Yes x448: JDK 13+[159] Ed448: JDK 15+[160]","No","No","No","No","No","No","No","No","No"
"LibreSSL , URL: /wiki/LibreSSL
","Yes[42]","Yes[42]","Yes[42]","Yes[161]","No","No","No","No","No","No","No","No","No","No"
"MatrixSSL , URL: /wiki/MatrixSSL
","Yes","Yes","Yes","TLS 1.3 only[162]","No","No","No","No","No","No","No","No","No","No"
"Mbed TLS , URL: /wiki/Mbed_TLS
","Yes[163]","Yes[163]","Yes[163]","Primitive only[164]","Primitive only[165]","No","No","No","No","No","No","No","No","No"
"NSS , URL: /wiki/Network_Security_Services
","No[166]","No[166]","No[166]","Yes[167]","No","No","No","No","No","No","No","No","No","No"
"OpenSSL , URL: /wiki/OpenSSL
","Yes[55]","Yes[55]","Yes[55]","Yes[168][169]","Yes[170][171]","No","No","No","No","No","No","No","No","No"
"SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10 , URL: /wiki/SChannel
","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Secure Transport , URL: /wiki/MacOS
","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"wolfSSL , URL: /wiki/WolfSSL
","Yes","Yes","Yes","Yes[172]","No","No","No","No","No","No","No","No","No","No"
"Erlang , URL: /wiki/Erlang_(programming_language)
","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Implementation","brainpoolP256r1 (26)","brainpoolP384r1 (27)","brainpoolP512r1 (28)","Curve25519","Curve448 Ed448-Goldilocks","M221 Curve2213","E222","Curve1174","E382","M383","Curve383187","Curve41417 Curve3617","M511 Curve511187","E521"
