"Name","Editing style[Note 1]","Native operating systems","Latest stable version","Costs","License , URL: /wiki/Software_license
","Configurable","Integrated viewer"
"AUCTeX , URL: /wiki/AUCTeX
","Source","Linux, macOS, Windows","(2019-10-30) 12.2","Free","GPL , URL: /wiki/GPL
","Yes","Yes"
"Authorea , URL: /wiki/Authorea
","WYSIWYG , URL: /wiki/WYSIWYG
","Online","N/A","Free","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes"
"Auto-Latex Equations for Google Docs","Source[Note 2]","Online","(2020-04-06) 48","Free","Free","Yes","Yes"
"CoCalc , URL: /wiki/CoCalc
","Source","Online","N/A","Free","AGPL , URL: /wiki/Affero_General_Public_License
","Yes","Yes"
"GNOME LaTeX , URL: /wiki/GNOME_LaTeX
","Source","Linux","(2019-03-10) 3.32","Free","GPL , URL: /wiki/GPL
","Yes","No"
"Gummi , URL: /wiki/Gummi_(software)
","Source","Linux","(2020-01-26) 0.8.1","Free","MIT , URL: /wiki/MIT_license
","Yes","Yes (Live update)"
"Kile , URL: /wiki/Kile
","Source","Linux (macOS, Windows)[Note 3]","(2012-09-23) 2.1.3","Free","GPL , URL: /wiki/GPL
","Yes","Yes (Quick preview)"
"LEd , URL: /wiki/LEd
","Source","Windows","(2009-10-09) 0.53","Free","Proprietary , URL: /wiki/Proprietary_software
","?","Yes (dvi)"
"LyX , URL: /wiki/LyX
","WYSIWYM , URL: /wiki/WYSIWYM
","Linux, macOS, Windows","(2021-01-03) 2.3.6.1","Free","GPL , URL: /wiki/GPL
","Yes","Yes"
"MeWa , URL: /wiki/MeWa
","Source","Windows","(2007-06-06) 1.4.0","Free","GPL , URL: /wiki/GPL
","Yes","No"
"Notepad++ , URL: /wiki/Notepad%2B%2B
","Source","Windows","(2021-02-15) 7.9.3","Free","GPL , URL: /wiki/GPL
","Yes","No, but can be integrated [Note 4]"
"Overleaf , URL: /wiki/Overleaf
","Source","Online","N/A","Free","Unclear","Yes","Yes"
"Scientific WorkPlace , URL: /wiki/Scientific_WorkPlace
","WYSIWYM , URL: /wiki/WYSIWYM
","Windows","(2016-02-23) 6.0.12","Non-free","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes"
"TexLab , URL: /wiki/TexLab
","Source-WYSIWYG","Windows","(2019-04-30) 7.8","Free","Free","Yes","Yes"
"TeXmacs , URL: /wiki/GNU_TeXmacs
","WYSIWYG , URL: /wiki/WYSIWYG
","Linux, macOS, Windows","(2021-05-31) 1.99.21","Free","GPL , URL: /wiki/GPL
","Yes","Partial (preview using system Pdf viewer)"
"Texmaker , URL: /wiki/Texmaker
","Source","Linux, macOS, Windows","(2021-09-04) 5.1.2","Free","GPL2 , URL: /wiki/GPL2
","Yes","Yes"
"TeXnicCenter , URL: /wiki/TeXnicCenter
","Source","Windows","2.02 Stable (September 29, 2013 (2013-09-29)) [±]","Free","GPL , URL: /wiki/GPL
","Yes","No"
"TeXShop , URL: /wiki/TeXShop
","Source","macOS","(2019-10-23) 4.44","Free","GPL , URL: /wiki/GPL
","Yes","Yes"
"TeXstudio , URL: /wiki/TeXstudio
","Source","Linux, macOS, Windows","(2022-02-20) 4.2.2","Free","GPL2 , URL: /wiki/GPL2
","Yes","Yes (pdf, selection with dvi2png)"
"TeXworks , URL: /wiki/TeXworks
","Source","Linux, macOS, Windows","(2021-03-11) 0.6.6","Free","GPL , URL: /wiki/GPL
","No","Yes (pdf)"
"Verbosus , URL: /wiki/Verbosus
","Source","Online, Android, iOS","(2016-05-06) 4.1.3","Free","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes (pdf)"
"Visual Studio Code , URL: /wiki/Visual_Studio_Code
","Source","Windows, Linux, macOS","(2021-05-13) 1.56.2","Free","MPL , URL: /w/index.php?title=Microsoft_Product_License&action=edit&redlink=1
","Yes","Yes (pdf) [Note 6]"
"WinEdt , URL: /wiki/WinEdt
","Source","Windows","(2018-05-07) 10.3","Non-free","Proprietary , URL: /wiki/Proprietary_software
","Yes","No"
"WinShell , URL: /wiki/WinShell
","Source","Windows","(2013-02-10) 3.3.2.6","Free","Proprietary , URL: /wiki/Proprietary_software
","Yes","No"
"Name","Editing Style","Native Operating Systems","Latest stable version","Costs","License","Configurable","Integrated viewer"
