"Name","Collapsible sections","Find and replace using RegEx","Intelligent error handling","Autocompletion of LaTeX commands","Parenthesis matching","Starts up to previous state[Note 13]","Unicode support","RTL Support[Note 14]"
"AUCTeX , URL: /wiki/AUCTeX
","Yes","Yes","Yes","Yes","Yes","Yes[Note 15]","Yes","Yes"
"Authorea , URL: /wiki/Authorea
","No","Yes","No","No","Yes","Yes","Yes","?"
"Auto-Latex Equations for Google Docs","No","Yes","No","No","No","Yes","Yes","?"
"CoCalc , URL: /wiki/CoCalc
","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"GNOME LaTeX , URL: /wiki/GNOME_LaTeX
","Planned","Yes","Yes","Yes","Yes","(just same files)","Yes","Yes"
"Gummi , URL: /wiki/Gummi_(software)
","No","No","No","No","Yes","No","Yes","?"
"Kile , URL: /wiki/Kile
","Yes[Note 16]","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LEd , URL: /wiki/LEd
","Yes","Yes","?","Yes","Yes","No (just same files)","No","?"
"LyX , URL: /wiki/LyX
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MeWa , URL: /wiki/MeWa
","No","Yes","No","No","No","No","Yes","?"
"Notepad++ , URL: /wiki/Notepad%2B%2B
","Yes","Yes","No","Partial[Note 17]","Yes","Yes","Yes","Yes"
"Overleaf , URL: /wiki/Overleaf
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Scientific WorkPlace , URL: /wiki/Scientific_WorkPlace
","No","?","?","N/A","Yes","No","Yes","?"
"TexLab , URL: /wiki/TexLab
","No","No","Yes","Yes","Yes","Yes","Yes","No"
"TeXmacs , URL: /wiki/GNU_TeXmacs
","No","Yes","N/A","N/A","N/A","N/A","Yes","?"
"Texmaker , URL: /wiki/Texmaker
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeXnicCenter , URL: /wiki/TeXnicCenter
","since v2.0","since v2.0","Yes","Yes","Yes","Yes","since v2.0","?"
"TeXShop , URL: /wiki/TeXShop
","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"TeXstudio , URL: /wiki/TeXstudio
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TeXworks , URL: /wiki/TeXworks
","No","Yes[Note 18]","No","Yes[Note 19]","Yes","No","Yes","Yes"
"Verbosus , URL: /wiki/Verbosus
","No","No","Yes","Yes","Yes","No","Yes","?"
"Visual Studio Code , URL: /wiki/Visual_Studio_Code
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"WinEdt , URL: /wiki/WinEdt
","Yes","Yes (modified)","Yes","Yes","Yes","Yes","Yes","Yes"
"WinShell , URL: /wiki/WinShell
","Yes","Yes","Yes","Yes","Yes","No (just same files)","Yes","?"
"Name","Collapsible sections","Find and replace using RegEx","Intelligent error handling","Autocompletion of LaTeX commands","Parenthesis matching","Starts up to previous state[Note 20]","Unicode support","RTL Support[Note 21]"
