"Calculator","CPU , URL: /wiki/Central_processing_unit
","RAM , URL: /wiki/Random_access_memory
","Display Size","Physical Size (inches)","CAS , URL: /wiki/Computer_algebra_system
","Year Released","MSRP , URL: /wiki/Suggested_retail_price
US$ , URL: /wiki/United_States_dollar
","College Board , URL: /wiki/College_Board
","ACT , URL: /wiki/ACT_(test)
"
"
URL: /wiki/File:Ti_73_Graphing_Calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Ti_73_Graphing_Calculator.jpg/50px-Ti_73_Graphing_Calculator.jpg
TI-73, TI-73 Explorer , URL: /wiki/TI-73
","Zilog Z80 , URL: /wiki/Zilog_Z80
MHz , URL: /wiki/Megahertz
","KB , URL: /wiki/Kilobyte
ROM , URL: /wiki/Read_only_memory
","96×64 pixels 16×8 characters","7.3 × 3.5 × 1.0[4]","No","1998/2003","95 (TI-73)","Allowed","Allowed"
"
URL: /wiki/File:TI-80.png
//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/TI-80.png/50px-TI-80.png
TI-80 , URL: /wiki/TI-80
","kHz , URL: /wiki/Kilohertz
","8 KB of RAM (7 KB user accessible)","64×48 pixels 16×8 characters","6.4 × 3.0 × 0.9[5]","No","1995","Unknown","Allowed","Allowed"
"
URL: /wiki/File:TI-81.png
//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/TI-81.png/50px-TI-81.png
TI-81 , URL: /wiki/TI-81
","Zilog Z80 @ 2 MHz","8 KB of RAM (2.4 KB user accessible)","96×64 pixels 16×8 characters","6.75 x 3.125 x 1.0","No","1990","110","Allowed","Allowed"
"
URL: /wiki/File:TI-82.png
//upload.wikimedia.org/wikipedia/commons/thumb/3/34/TI-82.png/65px-TI-82.png
TI-82 , URL: /wiki/TI-82
","Zilog Z80 @ 6 MHz","28 KB of RAM","96×64 pixels 16×8 characters","6.9 × 3.4 × 1.0[6]","No","1993","125","Allowed","Allowed"
"
URL: /wiki/File:TI-83.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/TI-83.png/50px-TI-83.png
TI-83 , URL: /wiki/TI-83
","Zilog Z80 @ 6 MHz","32 KB of RAM","96×64 pixels 16×8 characters","7.3 × 3.5 × 1.0[7]","No","1996","125","Allowed","Allowed"
"
URL: /wiki/File:Ti83plus.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ti83plus.jpg/50px-Ti83plus.jpg
TI-83 Plus , URL: /wiki/TI-83_Plus
","Zilog Z80 @ 6 MHz","32 KB of RAM (24 KB user accessible), 512 KB of Flash ROM (160 KB user accessible)","96×64 pixels 16×8 characters","7.3 × 3.5 × 1.0[8]","No","1999","104.99","Allowed","Allowed"
"
URL: /wiki/File:Ti83-plus-silver.png
//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Ti83-plus-silver.png/50px-Ti83-plus-silver.png
TI-83 Plus Silver Edition , URL: /wiki/TI-83_Plus_Silver_Edition
","Zilog Z80 @ 6 MHz/15 MHz (Dual Speed)","MB , URL: /wiki/Megabyte
","96×64 pixels 16×8 characters","7.3 × 3.5 × 1.0[9]","No","2001","129.95","Allowed","Allowed"
"
URL: /wiki/File:TI-83_Premium_CE.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/3/38/TI-83_Premium_CE.jpg/50px-TI-83_Premium_CE.jpg

URL: /wiki/File:TI-83_Premium_CE_Edition_Python.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/TI-83_Premium_CE_Edition_Python.jpg/50px-TI-83_Premium_CE_Edition_Python.jpg
TI-83 Premium CE, TI-83 Premium CE Edition Python , URL: /wiki/TI-83_Premium_CE
","Zilog eZ80 , URL: /wiki/Zilog_eZ80
","256 KB of RAM (150 KB user accessible), 4 MB of Flash ROM (3 MB user accessible)","320×240 pixels 26×10 characters (large font)","7.6 × 3.4 × 0.75","No","2015/2019","€129","Allowed","Allowed"
"
URL: /wiki/File:TI-84_Plus_plain.jpg
//upload.wikimedia.org/wikipedia/en/thumb/a/a7/TI-84_Plus_plain.jpg/50px-TI-84_Plus_plain.jpg
TI-84 Plus , URL: /wiki/TI-84_Plus
","Zilog Z80 @ 15 MHz","128/48 KB of RAM (24 KB user accessible), 1 MB of Flash ROM (480 KB user accessible)","96×64 pixels 16×8 characters","7.5 × 3.3 × 0.9","No","2004","109.99","Allowed","Allowed"
"
URL: /wiki/File:TI-84_Plus_Silver_Edition.JPG
//upload.wikimedia.org/wikipedia/commons/thumb/6/62/TI-84_Plus_Silver_Edition.JPG/50px-TI-84_Plus_Silver_Edition.JPG
TI-84 Plus Silver Edition , URL: /wiki/TI-84_Plus_Silver_Edition
","Zilog Z80 @ 15 MHz","128/48 KB of RAM (24 KB user accessible), 2 MB of Flash ROM (1.5 MB user accessible)","96×64 pixels 16×8 characters","7.5 × 3.3 × 0.9","No","2004","129.99","Allowed","Allowed"
"
URL: /wiki/File:The_proposed_Ti-84%2B_C_Edition_SE.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/4/44/The_proposed_Ti-84%2B_C_Edition_SE.jpg/50px-The_proposed_Ti-84%2B_C_Edition_SE.jpg
TI-84 Plus C Silver Edition , URL: /wiki/TI-84_Plus_C_Silver_Edition
","Zilog Z80 @ 15 MHz","128 KB of RAM (21 KB user accessible), 4 MB of Flash ROM (3.5 MB user accessible)","320×240 pixels 26×10 characters (large font)","7.5 × 3.3 × 0.9","No","2013","150","Allowed","Allowed"
"
URL: /wiki/File:TI-84_Plus_CE_(red).jpg
//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TI-84_Plus_CE_%28red%29.jpg/50px-TI-84_Plus_CE_%28red%29.jpg
TI-84 Plus CE , URL: /wiki/TI-84_Plus_CE
","Zilog eZ80 @ 48 MHz","256 KB of RAM (154 KB user accessible), 4 MB of Flash ROM (3 MB user accessible)","320×240 pixels 26×10 characters (large font)","7.6 × 3.4 × 0.75","No","2015","150","Allowed","Allowed"
"
URL: /wiki/File:TI85_graphing_calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/6/66/TI85_graphing_calculator.jpg/50px-TI85_graphing_calculator.jpg
TI-85 , URL: /wiki/TI-85
","Zilog Z80 @ 6 MHz","28 KB of RAM","128×64 pixels 21×8 characters","6.875 x 3.31 x 0.938","No","1992","130","Allowed","Allowed"
"
URL: /wiki/File:TI-86.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/54/TI-86.jpg/50px-TI-86.jpg
TI-86 , URL: /wiki/TI-86
","Zilog Z80 @ 6 MHz","128 KiB of RAM","128×64 pixels 21×8 characters","7.3 × 3.5 × 1.0[10]","No","1997","150","Allowed","Allowed"
"
URL: /wiki/File:TI-89.png
//upload.wikimedia.org/wikipedia/commons/thumb/2/22/TI-89.png/50px-TI-89.png
TI-89 , URL: /wiki/TI-89
","Motorola 68000 , URL: /wiki/Motorola_68000
","MiB , URL: /wiki/Mebibyte
","160×100 pixels","7.3 × 3.5 × 1.0[11]","Yes","1998","159.99","Allowed","Not Allowed"
"
URL: /wiki/File:TI-89Titanium.png
//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/TI-89Titanium.png/50px-TI-89Titanium.png
TI-89 Titanium , URL: /wiki/TI-89_Titanium
","Motorola 68000 @ ≤16 MHz","256 KiB of RAM (188 KB user accessible), 2.7 MB of Flash ROM","160×100 pixels","7.5 × 3.3 × 0.9","Yes","2004","149.99","Allowed","Not Allowed"
