"State","Highest court","High court seats","High court term","High court judicial placement method","Mandatory retirement age[note 9]"
"Alabama , URL: /wiki/Courts_of_Alabama
","Supreme Court of Alabama , URL: /wiki/Supreme_Court_of_Alabama
","9","6 years","Partisan election",""
"Alaska , URL: /wiki/Judiciary_of_Alaska
","Alaska Supreme Court , URL: /wiki/Alaska_Supreme_Court
","5","10 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Arizona , URL: /wiki/Courts_of_Arizona
","Arizona Supreme Court , URL: /wiki/Arizona_Supreme_Court
","7","6 years","Missouri Plan , URL: /wiki/Missouri_Plan
","70"
"Arkansas , URL: /wiki/Courts_of_Arkansas
","Arkansas Supreme Court , URL: /wiki/Arkansas_Supreme_Court
","7","8 years","Non-partisan election",""
"California , URL: /wiki/Judiciary_of_California
","Supreme Court of California , URL: /wiki/Supreme_Court_of_California
","7","12 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Colorado , URL: /wiki/Judiciary_of_Colorado
","Colorado Supreme Court , URL: /wiki/Colorado_Supreme_Court
","7","10 years","Missouri Plan , URL: /wiki/Missouri_Plan
",""
"Connecticut , URL: /wiki/Courts_of_Connecticut
","Connecticut Supreme Court , URL: /wiki/Connecticut_Supreme_Court
","7","8 years[9]","Election by the state legislature","70"
"Delaware , URL: /wiki/Courts_of_Delaware
","Delaware Supreme Court , URL: /wiki/Delaware_Supreme_Court
","5","12 years","Appointment by governor",""
"Florida , URL: /wiki/Judiciary_of_Florida
","Florida Supreme Court , URL: /wiki/Florida_Supreme_Court
","7","6 years","Modified Missouri Plan","70 (or end of current term)"
"Georgia , URL: /wiki/Judiciary_of_Georgia_(U.S._state)
","Supreme Court of Georgia , URL: /wiki/Supreme_Court_of_Georgia_(U.S._state)
","7","6 years","Non-partisan election",""
"Hawaii , URL: /wiki/Courts_of_Hawaii
","Supreme Court of Hawaii , URL: /wiki/Supreme_Court_of_Hawaii
","5","10 years","Appointment by the Governor","70"
