"Name","Language","License","Type","titlebar , URL: /wiki/Titlebar
","Graphical configuration","Hotkeys , URL: /wiki/Hotkey
","ICCCM , URL: /wiki/Inter-Client_Communication_Conventions_Manual
EWMH , URL: /wiki/Extended_Window_Manager_Hints
","Panel for window switching","Tabbed windows , URL: /wiki/Tab_(GUI)
","Themeable","Memory (MB)[1]","Initial Release","Latest Stable Release"
"9wm , URL: /wiki/9wm
","C , URL: /wiki/C_(programming_language)
","MIT , URL: /wiki/MIT_License
","Stacking , URL: /wiki/Stacking_window_manager
","No","No","No","","Yes","No","No","0.4","1994","2018-04-09[2]"
"aewm , URL: /w/index.php?title=Aewm&action=edit&redlink=1
","C , URL: /wiki/C_(programming_language)
","MIT , URL: /wiki/MIT_License
","Stacking , URL: /wiki/Stacking_window_manager
","No","No","No","Yes","Yes","No","No","","",""
"awesome , URL: /wiki/Awesome_(window_manager)
","C , URL: /wiki/C_(programming_language)
Lua , URL: /wiki/Lua_(programming_language)
","GPL , URL: /wiki/GNU_General_Public_License
","Dynamic , URL: /wiki/Dynamic_window_manager
","Yes","No","Yes","Yes","Yes","No","Yes","9","2007-09-18",""
"Berry , URL: https://berrywm.org/
","C , URL: /wiki/C_(programming_language)
","MIT , URL: /wiki/MIT_License
","Stacking , URL: /wiki/Stacking_window_manager
","No","via CLI client","via CLI client and third party (e.g. sxhkd)","No","No","No","Yes","","2018-08-24","2019-09-21"
"Blackbox , URL: /wiki/Blackbox
","C++ , URL: /wiki/C%2B%2B
","MIT , URL: /wiki/MIT_License
","Stacking , URL: /wiki/Stacking_window_manager
","No","third-party","with bbkeys","through 0.65 / from 0.70[3]","Yes","No","Yes","3","",""
"bspwm , URL: /w/index.php?title=Bspwm&action=edit&redlink=1
","C , URL: /wiki/C_(programming_language)
","BSD , URL: /wiki/BSD_License
","Tiling , URL: /wiki/Tiling_window_manager
","No","No","with sxhkd","Partial","No","No","No","","2013-04-23","2020-08-02 [5]"
"Compiz , URL: /wiki/Compiz
","C , URL: /wiki/C_(programming_language)
OpenGL , URL: /wiki/OpenGL
","MIT , URL: /wiki/MIT_License
","Compositing , URL: /wiki/Compositing_window_manager
","Yes","Yes","Yes","Yes","third-party","Yes","Yes","","2006","2016-11-11"
"cwm , URL: /wiki/Cwm_(window_manager)
","C , URL: /wiki/C_(programming_language)
","ISC , URL: /wiki/ISC_license
","Stacking , URL: /wiki/Stacking_window_manager
","no titlebar buttons","No","Yes","","No","No","Yes","","2004-07-10","2019-09-17"
"dwm , URL: /wiki/Dwm
","C , URL: /wiki/C_(programming_language)
","MIT , URL: /wiki/MIT_License
","Dynamic , URL: /wiki/Dynamic_window_manager
","no titlebar buttons","No","Yes","","Yes","No","Yes","1","2006-07-14",""
"Enlightenment , URL: /wiki/Enlightenment_(window_manager)
","C , URL: /wiki/C_(programming_language)
","BSD , URL: /wiki/BSD_license
","Compositing , URL: /wiki/Compositing_window_manager
","Yes","Yes","Yes","Yes","Yes","No","Yes","","1997","2020-07-26[6]"
"evilwm , URL: http://www.6809.org.uk/evilwm/
","C , URL: /wiki/C_(programming_language)
","MIT , URL: /wiki/MIT_License
","Stacking , URL: /wiki/Stacking_window_manager
","no titlebar buttons","No","Yes","Partial[7]","No","No","Yes","","2000","2015-07-13"
"EXWM , URL: /w/index.php?title=EXWM&action=edit&redlink=1
","Emacs Lisp , URL: /wiki/Emacs_Lisp
","GPL , URL: /wiki/GNU_General_Public_License
","Tiling , URL: /wiki/Tiling_window_manager
","No","No","Yes","Partial","No","No","Yes","","",""
"Fluxbox , URL: /wiki/Fluxbox
","C++ , URL: /wiki/C%2B%2B
","MIT , URL: /wiki/MIT_License
","Stacking , URL: /wiki/Stacking_window_manager
","Yes","third-party","Yes","Yes[9]","Yes","Yes","Yes","16","2001-09-12","2015-02-08"
"FLWM , URL: /wiki/FLWM
","C++ , URL: /wiki/C%2B%2B
FLTK , URL: /wiki/FLTK
","GPL , URL: /wiki/GNU_General_Public_License
","Stacking , URL: /wiki/Stacking_window_manager
","","No","Yes","","There is a window list menu","No","No","","1998",""
"FVWM , URL: /wiki/FVWM
","C , URL: /wiki/C_(programming_language)
","GPL , URL: /wiki/GNU_General_Public_License
","Dynamic , URL: /wiki/Dynamic_window_manager
","Yes","No","Yes","Yes","Yes","Yes[10]","third-party[11][12]","4","1993-06-01","2021-07-17[13]"
"i3 , URL: /wiki/I3_(window_manager)
","C , URL: /wiki/C_(programming_language)
","BSD , URL: /wiki/BSD_License
","Dynamic , URL: /wiki/Dynamic_window_manager
","no titlebar buttons","No","Yes","Yes","No","Yes","Yes","3","2009-03-15","2021-10-19[14]"
"IceWM , URL: /wiki/IceWM
","C++ , URL: /wiki/C%2B%2B
","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
","Stacking , URL: /wiki/Stacking_window_manager
","Yes","third-party","Yes","Yes","Yes","No","Yes","4.5","1997","2020-09-17"
"Ion , URL: /wiki/Ion_(window_manager)
","C , URL: /wiki/C_(programming_language)
Lua , URL: /wiki/Lua_(programming_language)
","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
","Tiling , URL: /wiki/Tiling_window_manager
","no titlebar buttons","No","Yes","","No","Yes","Yes","","2000","2009-01-10"
"JWM , URL: /wiki/JWM
","C , URL: /wiki/C_(programming_language)
","MIT , URL: /wiki/MIT_License
GPL , URL: /wiki/GNU_General_Public_License
","Stacking , URL: /wiki/Stacking_window_manager
","Yes","third-party","Yes","EWMH","Yes","No","Yes","3","2003",""
"KWin (KDE) , URL: /wiki/KWin
","C++ , URL: /wiki/C%2B%2B
Qt , URL: /wiki/Qt_(toolkit)
","GPL , URL: /wiki/GNU_General_Public_License
","Compositing , URL: /wiki/Compositing_window_manager
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","41","","2019-01"
