"Name","Producer","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Producer","Cola , URL: /wiki/Cola
","Lemonade , URL: /wiki/Lemonade
","Citrus , URL: /wiki/Citrus
","Milk , URL: /wiki/Milk
","Stimulant , URL: /wiki/Stimulant
","US","Australia","UK","D/C*"
"3sum","United Brands Company","No","No","Yes","No","Yes","No","No","No","Yes"
"Country Coolers","Jack Daniels , URL: /wiki/Jack_Daniel%27s
Brown-Forman , URL: /wiki/Brown-Forman_Corporation
","Yes","Yes","No","No","No","Yes","No","No","No"
"Four Loko , URL: /wiki/Four_Loko
","Phusion Projects Inc.","No","Yes","Yes","No","No","Yes","No","Yes","No"
"Jeremiah Weed , URL: /wiki/Jeremiah_Weed
","Diageo , URL: /wiki/Diageo
","Yes","Yes","No","No","No","Yes","No","Yes","No"
"Joose , URL: /wiki/Joose
","United Brands Company","No","No","Yes","No","No","Yes","No","Yes","No"
"Sparks , URL: /wiki/Sparks_(drink)
","Miller Brewing Company , URL: /wiki/Miller_Brewing_Company
","No","No","Yes","No","No","Yes","No","No","No"
"White Mountain Cooler , URL: /wiki/White_Mountain_Cooler
","Stroh Brewery Company , URL: /wiki/Stroh_Brewery_Company
","No","No","Yes","No","No","Yes","No","No","No"
"Zima XXX , URL: /wiki/Zima_(drink)
","Coors Brewing Company , URL: /wiki/Coors_Brewing_Company
","No","No","Yes","No","No","Yes","No","No","Yes"
"Tilt , URL: /wiki/Tilt_(drink)
","Anheuser-Busch , URL: /wiki/Anheuser-Busch
","No","No","Yes","No","No","Yes","No","No","No"
