"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Heuristics , URL: /wiki/Heuristic_(computer_science)
","CloudAV , URL: /wiki/Cloud_computing
","Firewall , URL: /wiki/Firewall_(computing)
","IDS , URL: /wiki/Intrusion_Detection_System
","IPS , URL: /wiki/Intrusion_prevention_system
","Email Security , URL: /wiki/Email_security#Privacy_concerns
","AntiSpam , URL: /wiki/Antispam
","Web protection , URL: /wiki/Web_filter
","Live-Update","Support","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Notes"
"Avast , URL: /wiki/Avast_Software
","Avast Mac Security , URL: /wiki/Avast_Antivirus
","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Free","2012","Czech Republic , URL: /wiki/Czech_Republic
",""
"Avira Operations , URL: /wiki/Avira
","Avira Free Mac Security , URL: /wiki/Avira
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","Free","2011","Germany , URL: /wiki/Germany
",""
"Bitdefender , URL: /wiki/Bitdefender
","Bitdefender Antivirus for Mac , URL: /wiki/BitDefender
","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","Romania , URL: /wiki/Romania
",""
"Cisco , URL: /wiki/Cisco
","Clam AntiVirus , URL: /wiki/Clam_AntiVirus
","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","No","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","Free","2000","United States , URL: /wiki/United_States
",""
"Clario Tech","MacKeeper , URL: /wiki/MacKeeper
","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2010","",""
"Comodo Group , URL: /wiki/Comodo_Group
","Comodo Mac Security , URL: /wiki/Comodo_Internet_Security
","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","Free","2012","United States , URL: /wiki/United_States
",""
"Dr. Web , URL: /wiki/Dr._Web
","Dr. Web Anti-virus for Mac OS X , URL: /wiki/Dr._Web
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2012","Russia , URL: /wiki/Russia
",""
"ESET , URL: /wiki/ESET
","ESET Cyber Security , URL: /wiki/ESET
","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","Slovakia , URL: /wiki/Slovakia
",""
"ESET , URL: /wiki/ESET
","ESET Cyber Security Pro , URL: /wiki/ESET
","Yes","Yes","Yes","Yes","Yes[9]","No","No","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2013","Slovakia , URL: /wiki/Slovakia
",""
"F-Secure , URL: /wiki/F-Secure
","F-Secure Anti-Virus for Mac , URL: /wiki/F-Secure
","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2008","Finland , URL: /wiki/Finland
","Bitdefender , URL: /wiki/Bitdefender
F-PROT , URL: /wiki/FRISK_Software_International
"
