"File extension , URL: /wiki/File_extension
","MIME , URL: /wiki/MIME
","Official name[3]","Creation platform[4]","Restoration platform[7]","free software , URL: /wiki/Free_software
","Description"
".7z","application/x-7z-compressed","7z , URL: /wiki/7z_(file_format)
","Multiple","Multiple","Yes","7-Zip , URL: /wiki/7-Zip
"
".s7z","application/x-7z-compressed","7zX","macOS , URL: /wiki/MacOS
","macOS , URL: /wiki/MacOS
","Yes","Based on 7z. Preserves Spotlight metadata, resource forks, owner/group information, dates and other data which would be otherwise lost with compression. Made obsolete by the introduction of AppleDouble-encoded 7z archives (Macintosh only)."
".ace","application/x-ace-compressed","ACE , URL: /wiki/ACE_(compression_file_format)
","Windows , URL: /wiki/Microsoft_Windows
","Multiple","Yes","Proprietary format"
".afa","application/x-astrotite-afa","AFA","UNIX-like","UNIX-like","No","AFA , URL: /w/index.php?title=Afa_(file_format)&action=edit&redlink=1
"
".alz","application/x-alz-compressed","ALZip , URL: /wiki/ALZip
","Windows , URL: /wiki/Microsoft_Windows
","Multiple","Yes","A mainly Korean format designed for very large archives."
".apk","application/vnd.android.package-archive","APK , URL: /wiki/APK_(file_format)
","Multiple","Multiple","Yes","Android , URL: /wiki/Android_(operating_system)
JAR file format , URL: /wiki/JAR_file_format
"
".arc, .ark","application/octet-stream","ARC , URL: /wiki/ARC_(file_format)
","Multiple","Multiple","Yes","BBSes , URL: /wiki/Bulletin_board_system
"
".arc, .cdx","application/x-freearc","FreeArc , URL: /wiki/FreeArc
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Yes","Zstandard , URL: /wiki/Zstandard
"
".arj","application/x-arj","ARJ , URL: /wiki/ARJ
","DOS , URL: /wiki/DOS
","Multiple","Yes","Competitor to PKZIP in the 1990s, offered better multi-part archive handling."
".b1","application/x-b1","B1 , URL: /wiki/B1_(archive_format)
","Multiple","Multiple","Yes","B1 Free Archiver , URL: /wiki/B1_Free_Archiver
http://dev.b1.org/standard/archive-format.html , URL: http://dev.b1.org/standard/archive-format.html
"
".b6z","","B6Z","macOS , URL: /wiki/MacOS
","Multiple","Yes","B6Zip , URL: http://b6zip.com/
"
".ba","","Scifer","Multiple","Multiple","Yes","Binary Archive with external header"
".bh","","BlakHole","","","Yes","Proprietary format from the ZipTV Compression Components"
".cab","application/vnd.ms-cab-compressed","Cabinet , URL: /wiki/Cabinet_(file_format)
","Windows , URL: /wiki/Microsoft_Windows
","Multiple","Yes","Microsoft Windows , URL: /wiki/Microsoft_Windows
WISE , URL: /wiki/Wise_Solutions,_Inc.
"
".car","","Compressia archive","DOS , URL: /wiki/DOS
Windows , URL: /wiki/Microsoft_Windows
","DOS , URL: /wiki/DOS
Windows , URL: /wiki/Microsoft_Windows
","Yes","Created by Yaakov Gringeler; released last in 2003 (Compressia 1.0.0.1 beta), now apparently defunct. Free trial of 30 days lets user create and extract archives; after that it is possible to extract, but not to create."
".cfs","application/x-cfs-compressed","Compact File Set , URL: /wiki/CFS_(Compact_File_Set_file_format)
","Windows , URL: /wiki/Microsoft_Windows
Unix-like , URL: /wiki/Unix-like
macOS , URL: /wiki/MacOS
","Multiple","Yes","Open source file format."
".cpt","","Compact Pro , URL: /wiki/Compact_Pro
","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","Multiple","Yes","Mac OS 7 , URL: /wiki/Mac_OS_7
"
".dar","application/x-dar","Disk Archiver , URL: /wiki/DAR_(Disk_Archiver)
","Unix-like , URL: /wiki/Unix-like
macOS , URL: /wiki/MacOS
","Unix-like , URL: /wiki/Unix-like
macOS , URL: /wiki/MacOS
Windows , URL: /wiki/Microsoft_Windows
","Yes","Open source file format. Files are compressed individually with either gzip, bzip2 or lzo."
".dd","","DiskDoubler , URL: /wiki/DiskDoubler
","Classic Mac OS , URL: /wiki/Classic_Mac_OS
","","","obsolete"
".dgc","application/x-dgc-compressed","DGCA , URL: /wiki/DGCA_(Computing)
","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","",""
".dmg , URL: /wiki/.dmg
","application/x-apple-diskimage","Apple Disk Image , URL: /wiki/Apple_Disk_Image
","macOS , URL: /wiki/MacOS
","macOS , URL: /wiki/MacOS
Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","Yes","Safari , URL: /wiki/Safari_(web_browser)
"
".ear","","EAR , URL: /wiki/EAR_(file_format)
","Multiple","Multiple","Yes","Enterprise Java Archive archive"
".gca","application/x-gca-compressed","GCA","","","","The predecessor of DGCA."
".genozip","","Genozip , URL: https://genozip.com/
","Linux , URL: /wiki/Linux
macOS , URL: /wiki/MacOS
Windows , URL: /wiki/Microsoft_Windows
","Linux , URL: /wiki/Linux
macOS , URL: /wiki/MacOS
Windows , URL: /wiki/Microsoft_Windows
","No","Optimized for (but not limited to) genomic file types such as FASTQ, BAM, VCF"
".ha","","[2] , URL: http://www.ibiblio.org/pub/Linux/utils/compress/ha0999p-linux.tar.gz
","DOS , URL: /wiki/DOS
","DOS , URL: /wiki/DOS
","Yes, but may be covered by patents","DOS , URL: /wiki/DOS
"
".hki","","WinHKI , URL: http://www.winhki.com/
","MS Windows","MS Windows","No","HKI"
".ice","","ICE","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","Yes","ICEOWS , URL: /w/index.php?title=ICEOWS&action=edit&redlink=1
"
".jar","application/java-archive","JAR , URL: /wiki/JAR_(file_format)
","Multiple","Multiple","Yes","ZIP , URL: /wiki/ZIP_(file_format)
"
".kgb","","KGB Archiver , URL: /wiki/KGB_Archiver
","Multiple","Multiple","Yes","Open sourced archiver with compression using the PAQ family of algorithms and optional encryption."
".lzh, .lha","application/x-lzh","LHA , URL: /wiki/LHA_(file_format)
","DOS , URL: /wiki/DOS
","Multiple","Yes","Amiga , URL: /wiki/Amiga
"
".lzx","application/x-lzx","LZX , URL: /wiki/LZX
","Amiga , URL: /wiki/Amiga
","","","Amiga , URL: /wiki/Amiga
"
".pak","","PAK , URL: /wiki/PAK_(file_format)
","HP NonStop , URL: /w/index.php?title=HP_NonStop&action=edit&redlink=1
","HP NonStop , URL: /w/index.php?title=HP_NonStop&action=edit&redlink=1
","Yes[9]","NoGate Consultings , URL: /w/index.php?title=NoGate_Consultings&action=edit&redlink=1
"
".partimg","","PartImage , URL: /wiki/PartImage
","Multiple","Multiple","Yes","A disk image archive format that supports several compression methods as well as splitting the archive into smaller pieces."
".paq6, .paq7, .paq8 and variants","","PAQ , URL: /wiki/PAQ
","Unix-like , URL: /wiki/Unix-like
Windows , URL: /wiki/Microsoft_Windows
","Unix-like , URL: /wiki/Unix-like
Windows , URL: /wiki/Microsoft_Windows
","Yes","http://mattmahoney.net/dc , URL: http://mattmahoney.net/dc
"
".pea","","PeaZip , URL: /wiki/Peazip
","Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","Yes","CRCs , URL: /wiki/Cyclic_redundancy_check
SHA-512 , URL: /wiki/SHA-512
Whirlpool , URL: /wiki/Whirlpool_(algorithm)
"
".phar","","PHAR , URL: /wiki/PHAR_(file_format)
","Multiple","Multiple","Yes","A package format to enable distribution of applications and libraries by bundling many PHP code files and other resources (e.g. images, stylesheets, etc.) into a single archive file"
".pim","","PIM","Windows , URL: /wiki/Microsoft_Windows
","Windows , URL: /wiki/Microsoft_Windows
","Yes","The format from the PIM - a freeware compression tool by Ilia Muraviev. It uses an LZP-based compression algorithm with set of filters for executable, image and audio files."
