"null","null","null","null","null"
"Shepardson Microsystems","No","Proprietary","MOS Technology 6502","Atari 8-bit family"
"Shepardson Microsystems","No","Proprietary","MOS Technology 6502","Atari 8-bit family"
"Apple Computer","No","","MOS Technology 6502","Apple DOS 3.x"
"Andre Kaesmacher, Hauke Brandes, Börje Sieling","Yes","Artistic License","MOS Technology 6502","Linux, Windows, macOS, possibly other Unices"
"Randall Hyde","No","Proprietary","MOS Technology 6502","Apple II series"
"Optimized Systems Software","No","Proprietary","MOS Technology 6502, WDC 65C02","Atari 8-bit family"
"Glen Bredon","Yes","Public-domain","MOS Technology 6502, WDC 65C02","Apple II series"
"The Byte Works","No","Proprietary, Free for non-commercial use","MOS Technology 6502, WDC 65C02, WDC 65C816","ProDOS 8/16, GS/OS"
"James Hammons, George Nakos, Landon Dyer","Yes","Free","MOS Technology 6502","Linux, Windows, macOS"
"Volker Barthelmann, Frank Wille","","Free","MOS Technology 6502","various"
"Piotr Fusik","Yes","Free","MOS Technology 6502","Linux, Windows, macOS"
