"Audio compression format , URL: /wiki/Audio_compression_format
","Algorithm , URL: /wiki/Algorithm
","Sample rate , URL: /wiki/Sampling_frequency
","Bit rate , URL: /wiki/Bit_rate
","Latency , URL: /wiki/Latency_(audio)
","CBR , URL: /wiki/Constant_bit_rate
","VBR , URL: /wiki/Variable_bit_rate
","Stereo , URL: /wiki/Stereophonic_sound
","Multichannel , URL: /wiki/Surround_sound
"
"AAC , URL: /wiki/Advanced_Audio_Coding
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
Subband , URL: /wiki/Sub-band_coding
","8–192 kHz[50]","8–529 kbit/s (stereo)","20–405 ms[51]","Yes","Yes","Intensity , URL: /wiki/Stereophonic_sound#Recording_methods
","Yes: Up to 48 channels"
"AC3 , URL: /wiki/A/52
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
","32, 44.1, 48 kHz","32–640 kbit/s","32–48 ms","Yes","No","Yes","Yes: Up to 6 channels"
"AMBE , URL: /wiki/Multi-Band_Excitation
","?","8 kHz","2, 9.6 kbit/s","?","?","?","?","?"
"AMR , URL: /wiki/Adaptive_multi-rate_compression
","ACELP , URL: /wiki/ACELP
","8 kHz","4.75, 5.15, 5.90, 6.70, 7.40, 7.95, 10.20, 12.20 kbit/s","25 ms","Yes","Yes","No","No"
"AMR-WB , URL: /wiki/AMR-WB
","ACELP , URL: /wiki/ACELP
","16 kHz","6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s","25 ms","Yes","Yes","MPEG-4 Part 12 , URL: /wiki/MPEG-4_Part_12
container , URL: /wiki/Container_format_(digital)
","No"
"AMR-WB+ , URL: /wiki/AMR-WB%2B
","ACELP , URL: /wiki/ACELP
","8, 11.025, 16, 22.05, 32, 44.1, 48 kHz","6–36 kbit/s (mono) 7–48 kbit/s (stereo)","60–90 ms","Yes","Yes","Yes","No"
"aptX , URL: /wiki/AptX
","Subband , URL: /wiki/Sub-band_coding
ADPCM , URL: /wiki/ADPCM
","24–48 kHz (stereo)","192–384 kbit/s (stereo)","2 ms","Yes (4:1)","No","Yes","Yes: Up to 8 channels"
"ATRAC1 , URL: /wiki/Adaptive_Transform_Acoustic_Coding#ATRAC1
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
Subband , URL: /wiki/Sub-band_coding
","44.1 kHz","292 kbit/s",">100 ms","Yes","No","Yes: Dual Only","No"
"ATRAC3 , URL: /wiki/Adaptive_Transform_Acoustic_Coding#ATRAC3
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
Subband , URL: /wiki/Sub-band_coding
","44.1 kHz","66, 105, 132, 146, 176, 264, 352 kbit/s",">100 ms","Yes","No","Yes: Dual (LP2), Mid/Side (LP4)","No"
"ATRAC3plus , URL: /wiki/Adaptive_Transform_Acoustic_Coding#ATRAC3plus
","MDCT , URL: /wiki/Modified_discrete_cosine_transform
Subband , URL: /wiki/Sub-band_coding
","44.1 kHz","48–352 kbit/s",">100 ms","Yes","?","Yes","Yes: Up to 6 channels"
"BroadVoice , URL: /wiki/Broadcom#BroadVoice
","Two-Stage Noise Feedback Coding (TSNFC)","8, 16 kHz","16, 32 kbit/s[52]","5 ms","Yes","No","No","No"
"Codec2 , URL: /wiki/Codec2
","Speech , URL: /wiki/Speech_encoding
","8 kHz","0.7, 1.2, 1.3, 1.4, 1.6, 2.4, 3.2 kbit/s","20–40 ms","Yes","No","No","No"
