"Audio player","Audio , URL: /wiki/Digital_audio
","Audio , URL: /wiki/Digital_audio
","Audio , URL: /wiki/Digital_audio
"
"Audio player","CD , URL: /wiki/Compact_disc
","DVD-Audio , URL: /wiki/DVD-Audio
","HDCD , URL: /wiki/High_Definition_Compatible_Digital
"
"AIMP , URL: /wiki/AIMP
","Yes","No","No"
"Amarok , URL: /wiki/Amarok_(audio)
","Partial","No","No"
"aTunes , URL: /wiki/ATunes
","No","No","No"
"Audacious , URL: /wiki/Audacious_(software)
","Yes","No","No"
"Audion , URL: /wiki/Audion_(software)
","Yes","No","No"
"cmus , URL: /wiki/Cmus
","No","No","No"
"Cog , URL: /wiki/Cog_(software)
","No","No","No"
"foobar2000 , URL: /wiki/Foobar2000
","Yes","Yes (plugin)[opticalmedianotes 1]","Yes (plugin)[opticalmedianotes 2]"
"JuK , URL: /wiki/JuK
","Yes[opticalmedianotes 3]","No","No"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Yes","Yes[opticalmedianotes 4]","Yes"
"MediaMonkey , URL: /wiki/MediaMonkey
","Yes","No","No"
"MusicBee , URL: /wiki/MusicBee
","Yes","Yes","Yes"
"Musicmatch Jukebox , URL: /wiki/Musicmatch_Jukebox
","Yes","No","No"
"musikCube , URL: /wiki/MusikCube
","Yes","No","No"
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","Yes","No","No"
"Rhythmbox , URL: /wiki/Rhythmbox
","Yes","No","No"
"Sonique , URL: /wiki/Sonique_(media_player)
","Yes","No","No"
"Winamp , URL: /wiki/Winamp
","Yes","No","No"
"XMMS , URL: /wiki/XMMS
","Yes","No","No"
"Zinf , URL: /wiki/Zinf
","Yes","No","No"
"Audio player","CD","DVD-Audio","HDCD"
"Audio player","Audio , URL: /wiki/Digital_audio
","Audio , URL: /wiki/Digital_audio
","Audio , URL: /wiki/Digital_audio
"
