"Birth control method","Brand/common name","Typical-use failure rate (%)","Perfect-use failure rate (%)","Type","Implementation","User action required"
"Contraceptive implant , URL: /wiki/Contraceptive_implant
","Implanon , URL: /wiki/Implanon
Jadelle , URL: /wiki/Jadelle
","0.05 (1 of 2000)","0.05","Progestogen","Subdermal implant","3-5 years"
"Vasectomy , URL: /wiki/Vasectomy
","male sterilization","0.15 (1 of 666)","0.1","Sterilization","Surgical procedure","Once"
"Combined injectable , URL: /wiki/Combined_injectable_contraceptive
","Lunelle, Cyclofem","0.2 (1 of 500)","0.2","Estrogen + progestogen","Injection","Monthly"
"IUD with progestogen , URL: /wiki/IUD_with_progestogen
","Mirena, Skyla, Liletta","0.2 (1 of 500)","0.2","Intrauterine & progestogen","Intrauterine","3-7 years"
"Essure (removed from markets)[26]","female sterilization","0.26 (1 of 384)","0.26","Sterilization","Surgical procedure","Once"
"Tubal ligation , URL: /wiki/Tubal_ligation
","Tube tying, female sterilization","0.5 (1 of 200)","0.5","Sterilization","Surgical procedure","Once"
"salpingectomy , URL: /wiki/Salpingectomy
","Tube removal, ""bisalp""","0.75 (1 of 133) after 10 years[note 1]","0.75 after 10 years","Sterilization","Surgical procedure","Once"
"IUD with copper , URL: /wiki/IUD_with_copper
","Paragard , URL: /wiki/Paragard
","0.8 (1 of 125)","0.6","Intrauterine & copper","Intrauterine","3 to 12+ years"
"Forschungsgruppe NFP symptothermal method, teaching sessions + application[23][28]","Malteser Germany , URL: /wiki/Malteser_International
","1.8 (1 of 55)","0.4","Behavioral","Teaching sessions, observation, charting and evaluating a combination of fertility symptoms","Three teaching sessions + daily application"
"LAM , URL: /wiki/Lactational_amenorrhea_method
","ecological breastfeeding","2 (1 of 50)","0.5","Behavioral","Breastfeeding","Every few hours"
"2002[30] cervical cap and spermicide (discontinued in 2008) used by nulliparous[31][note 3][note 4]","Lea's Shield , URL: /wiki/Lea%27s_Shield
","5 (1 of 20)","no data","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"MPA , URL: /wiki/Medroxyprogesterone_acetate
","Depo Provera , URL: /wiki/Depo_Provera
","4 (1 of 25)","0.2","Progestogen","Injection","12 weeks"
"Testosterone injection for male (unapproved, experimental method)[33]","Testosterone Undecanoate","6.1 (1 of 16)","1.1","Testosterone","Intramuscular Injection","Every 4 weeks"
"cervical cap , URL: /wiki/Cervical_cap
","FemCap , URL: /wiki/FemCap
","7.6[failed verification] (estimated) (1 of 13)","no data","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"Contraceptive patch , URL: /wiki/Contraceptive_patch
","Ortho Evra, the patch","7 (1 of 14)","0.3","Estrogen & progestogen","Transdermal patch","Weekly"
"Combined oral contraceptive pill , URL: /wiki/Combined_oral_contraceptive_pill
","the Pill","7 (1 of 14)[36]","0.3","Estrogen & progestogen + Placebo[37]","Oral medication","Daily"
"Ethinylestradiol/etonogestrel , URL: /wiki/Ethinylestradiol/etonogestrel
","NuvaRing , URL: /wiki/NuvaRing
","7 (1 of 14)","0.3","Estrogen & progestogen","Vaginal insertion","In place 3 weeks / 1 week break"
"Progestogen only pill , URL: /wiki/Progestogen_only_pill
","POP, minipill","9[36]","0.3","Progestogen[37]","Oral medication","Daily"
"Ormeloxifene , URL: /wiki/Ormeloxifene
","Saheli, Centron","9","2","SERM , URL: /wiki/Selective_estrogen_receptor_modulator
","Oral medication","Weekly"
"Emergency contraception pill","Plan B One-Step®","no data","no data","Levonorgestrel","Oral medication","Every act of intercourse"
"Standard Days Method , URL: /wiki/Calendar-based_contraceptive_methods#Standard_Days_Method
","CycleBeads, iCycleBeads","12 (1 of 8.3)","5","Behavioral","Counting days since menstruation","Daily"
"Diaphragm , URL: /wiki/Diaphragm_(contraceptive)
spermicide , URL: /wiki/Spermicide
","","12 (1 of 6)","6","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"contraceptive sponge , URL: /wiki/Contraceptive_sponge
","Today sponge , URL: /wiki/Today_sponge
","14","9","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
