"v t e Birth control methods (G02B, G03A)","v t e Birth control methods (G02B, G03A)","v t e Birth control methods (G02B, G03A)"
"Comparison","Comparison of birth control methods Long-acting reversible contraception","Comparison of birth control methods Long-acting reversible contraception"
"Behavioral","Avoiding vaginal intercourse","Abstinence Anal sex Masturbation Non-penetrative sex Oral sex"
"Behavioral","Including vaginal intercourse","Lactational amenorrhea method (LAM) Calendar-based methods Fertility awareness Billings ovulation method Creighton Model Withdrawal"
"Barrier , URL: /wiki/Barrier_contraception
","Cervical cap Condom Contraceptive sponge Diaphragm Female condom Lactic acid/citric acid/potassium bitartrate Spermicide","Cervical cap Condom Contraceptive sponge Diaphragm Female condom Lactic acid/citric acid/potassium bitartrate Spermicide"
"Hormonal , URL: /wiki/Hormonal_contraception
formulations , URL: /wiki/Oral_contraceptive_formulations
","Combined estrogen-progestogen , URL: /wiki/Hormonal_contraception#Combined
","Contraceptive patch Extended cycle Injectable Combined vaginal ring Pill"
"Hormonal , URL: /wiki/Hormonal_contraception
formulations , URL: /wiki/Oral_contraceptive_formulations
","Progestogen-only , URL: /wiki/Progestogen_only_contraception
","Depo-Provera Etonogestrel Levonorgestrel Progestogen-only pill Progesterone vaginal ring"
"Anti-estrogen , URL: /wiki/Selective_estrogen-receptor_modulator
","Ormeloxifene (Centchroman)","Ormeloxifene (Centchroman)"
"Post-intercourse","Emergency contraception (Ulipristal acetate Yuzpe regimen Levonorgestrel)","Emergency contraception (Ulipristal acetate Yuzpe regimen Levonorgestrel)"
"Intrauterine device , URL: /wiki/Intrauterine_device
","Copper Hormone","Copper Hormone"
"Sterilization , URL: /wiki/Sterilization_(medicine)
","Female","Essure Tubal ligation"
"Sterilization , URL: /wiki/Sterilization_(medicine)
","Male","Vasectomy"
"Experimental","Reversible inhibition of sperm under guidance","Reversible inhibition of sperm under guidance"
"Long-acting reversible contraception , URL: /wiki/Long-acting_reversible_contraception
","Intrauterine device (Hormonal IUD Copper IUD) Contraceptive implant (Etonogestrel implant, Levonorgestrel implant)","Intrauterine device (Hormonal IUD Copper IUD) Contraceptive implant (Etonogestrel implant, Levonorgestrel implant)"
